Parametro,Fecha,Hora,Concentraciones horarias,Unidad
,,,,
CO,01/01/2024,0:00 - 1:00,7.05,ppm
CO,01/01/2024,1:00 - 2:00,6.47,ppm
CO,01/01/2024,2:00 - 3:00,4.55,ppm
CO,01/01/2024,3:00 - 4:00,4.11,ppm
CO,01/01/2024,4:00 - 5:00,7.78,ppm
CO,01/01/2024,5:00 - 6:00,4.69,ppm
CO,01/01/2024,6:00 - 7:00,3.13,ppm
CO,01/01/2024,7:00 - 8:00,2.13,ppm
CO,01/01/2024,8:00 - 9:00,2.08,ppm
CO,01/01/2024,9:00 - 10:00,1.91,ppm
CO,01/01/2024,10:00 - 11:00,1.85,ppm
CO,01/01/2024,11:00 - 12:00,1.73,ppm
CO,01/01/2024,12:00 - 13:00,1.76,ppm
CO,01/01/2024,13:00 - 14:00,1.7,ppm
CO,01/01/2024,14:00 - 15:00,1.79,ppm
CO,01/01/2024,15:00 - 16:00,1.74,ppm
CO,01/01/2024,16:00 - 17:00,1.79,ppm
CO,01/01/2024,17:00 - 18:00,1.84,ppm
CO,01/01/2024,18:00 - 19:00,2.01,ppm
CO,01/01/2024,19:00 - 20:00,2.05,ppm
CO,01/01/2024,20:00 - 21:00,1.89,ppm
CO,01/01/2024,21:00 - 22:00,1.91,ppm
CO,01/01/2024,22:00 - 23:00,1.85,ppm
CO,02/01/2024,23:00 - 0:00,1.79,ppm
CO,02/01/2024,0:00 - 1:00,1.81,ppm
CO,02/01/2024,1:00 - 2:00,1.81,ppm
CO,02/01/2024,2:00 - 3:00,1.69,ppm
CO,02/01/2024,3:00 - 4:00,1.71,ppm
CO,02/01/2024,4:00 - 5:00,1.71,ppm
CO,02/01/2024,5:00 - 6:00,1.7,ppm
CO,02/01/2024,6:00 - 7:00,1.85,ppm
CO,02/01/2024,7:00 - 8:00,1.97,ppm
CO,02/01/2024,8:00 - 9:00,2.28,ppm
CO,02/01/2024,9:00 - 10:00,2.55,ppm
CO,02/01/2024,10:00 - 11:00,2.33,ppm
CO,02/01/2024,11:00 - 12:00,2.17,ppm
CO,02/01/2024,12:00 - 13:00,2.07,ppm
CO,02/01/2024,13:00 - 14:00,2.07,ppm
CO,02/01/2024,14:00 - 15:00,2.09,ppm
CO,02/01/2024,15:00 - 16:00,2.35,ppm
CO,02/01/2024,16:00 - 17:00,2.16,ppm
CO,02/01/2024,17:00 - 18:00,2.14,ppm
CO,02/01/2024,18:00 - 19:00,2.16,ppm
CO,02/01/2024,19:00 - 20:00,2.22,ppm
CO,02/01/2024,20:00 - 21:00,2.17,ppm
CO,02/01/2024,21:00 - 22:00,2.02,ppm
CO,02/01/2024,22:00 - 23:00,2.01,ppm
CO,03/01/2024,23:00 - 0:00,1.88,ppm
CO,03/01/2024,0:00 - 1:00,1.87,ppm
CO,03/01/2024,1:00 - 2:00,1.8,ppm
CO,03/01/2024,2:00 - 3:00,1.74,ppm
CO,03/01/2024,3:00 - 4:00,1.77,ppm
CO,03/01/2024,4:00 - 5:00,1.75,ppm
CO,03/01/2024,5:00 - 6:00,1.76,ppm
CO,03/01/2024,6:00 - 7:00,1.89,ppm
CO,03/01/2024,7:00 - 8:00,2.09,ppm
CO,03/01/2024,8:00 - 9:00,2.24,ppm
CO,03/01/2024,9:00 - 10:00,2.04,ppm
CO,03/01/2024,10:00 - 11:00,2.05,ppm
CO,03/01/2024,11:00 - 12:00,1.98,ppm
CO,03/01/2024,12:00 - 13:00,1.88,ppm
CO,03/01/2024,13:00 - 14:00,1.91,ppm
CO,03/01/2024,14:00 - 15:00,1.9,ppm
CO,03/01/2024,15:00 - 16:00,1.95,ppm
CO,03/01/2024,16:00 - 17:00,2.07,ppm
CO,03/01/2024,17:00 - 18:00,2.26,ppm
CO,03/01/2024,18:00 - 19:00,2.31,ppm
CO,03/01/2024,19:00 - 20:00,2.31,ppm
CO,03/01/2024,20:00 - 21:00,2.3,ppm
CO,03/01/2024,21:00 - 22:00,2.15,ppm
CO,03/01/2024,22:00 - 23:00,2.19,ppm
CO,04/01/2024,23:00 - 0:00,2.16,ppm
CO,04/01/2024,0:00 - 1:00,2.37,ppm
CO,04/01/2024,1:00 - 2:00,3,ppm
CO,04/01/2024,2:00 - 3:00,2.55,ppm
CO,04/01/2024,3:00 - 4:00,1.85,ppm
CO,04/01/2024,4:00 - 5:00,1.86,ppm
CO,04/01/2024,5:00 - 6:00,2.04,ppm
CO,04/01/2024,6:00 - 7:00,2.13,ppm
CO,04/01/2024,7:00 - 8:00,2.32,ppm
CO,04/01/2024,8:00 - 9:00,2.42,ppm
CO,04/01/2024,9:00 - 10:00,2.5,ppm
CO,04/01/2024,10:00 - 11:00,2.32,ppm
CO,04/01/2024,11:00 - 12:00,2.34,ppm
CO,04/01/2024,12:00 - 13:00,2.57,ppm
CO,04/01/2024,13:00 - 14:00,2.38,ppm
CO,04/01/2024,14:00 - 15:00,2.5,ppm
CO,04/01/2024,15:00 - 16:00,2.53,ppm
CO,04/01/2024,16:00 - 17:00,2.62,ppm
CO,04/01/2024,17:00 - 18:00,2.79,ppm
CO,04/01/2024,18:00 - 19:00,2.88,ppm
CO,04/01/2024,19:00 - 20:00,3.27,ppm
CO,04/01/2024,20:00 - 21:00,2.82,ppm
CO,04/01/2024,21:00 - 22:00,2.77,ppm
