Parametro,Fecha,valor,Unidad
,,,
DV,01/01/2024,109,°A
DV,01/01/2024,103,°A
DV,01/01/2024,101,°A
DV,01/01/2024,84,°A
DV,01/01/2024,95,°A
DV,01/01/2024,109,°A
DV,01/01/2024,111,°A
DV,01/01/2024,115,°A
DV,01/01/2024,108,°A
DV,01/01/2024,124,°A
DV,01/01/2024,146,°A
DV,01/01/2024,145,°A
DV,01/01/2024,150,°A
DV,01/01/2024,160,°A
DV,01/01/2024,171,°A
DV,01/01/2024,182,°A
DV,01/01/2024,167,°A
DV,01/01/2024,184,°A
DV,01/01/2024,313,°A
DV,01/01/2024,319,°A
DV,01/01/2024,323,°A
DV,01/01/2024,317,°A
DV,01/01/2024,221,°A
DV,02/01/2024,315,°A
DV,02/01/2024,301,°A
DV,02/01/2024,314,°A
DV,02/01/2024,263,°A
DV,02/01/2024,314,°A
DV,02/01/2024,253,°A
DV,02/01/2024,159,°A
DV,02/01/2024,167,°A
DV,02/01/2024,171,°A
DV,02/01/2024,214,°A
DV,02/01/2024,259,°A
DV,02/01/2024,228,°A
DV,02/01/2024,168,°A
DV,02/01/2024,147,°A
DV,02/01/2024,172,°A
DV,02/01/2024,342,°A
DV,02/01/2024,300,°A
DV,02/01/2024,273,°A
DV,02/01/2024,175,°A
DV,02/01/2024,72,°A
DV,02/01/2024,147,°A
DV,02/01/2024,138,°A
DV,02/01/2024,146,°A
DV,02/01/2024,129,°A
DV,03/01/2024,136,°A
DV,03/01/2024,149,°A
DV,03/01/2024,153,°A
DV,03/01/2024,153,°A
DV,03/01/2024,153,°A
DV,03/01/2024,155,°A
DV,03/01/2024,156,°A
DV,03/01/2024,156,°A
DV,03/01/2024,135,°A
DV,03/01/2024,117,°A
DV,03/01/2024,134,°A
DV,03/01/2024,144,°A
DV,03/01/2024,145,°A
DV,03/01/2024,128,°A
DV,03/01/2024,163,°A
DV,03/01/2024,185,°A
DV,03/01/2024,231,°A
DV,03/01/2024,259,°A
DV,03/01/2024,307,°A
DV,03/01/2024,313,°A
DV,03/01/2024,311,°A
DV,03/01/2024,317,°A
DV,03/01/2024,322,°A
DV,03/01/2024,315,°A
DV,04/01/2024,311,°A
DV,04/01/2024,290,°A
DV,04/01/2024,293,°A
DV,04/01/2024,299,°A
DV,04/01/2024,302,°A
DV,04/01/2024,304,°A
DV,04/01/2024,311,°A
DV,04/01/2024,309,°A
DV,04/01/2024,288,°A
DV,04/01/2024,297,°A
