Parametro,Fecha,valor,Unidad
,,,
HR,01/01/2024,59,%
HR,01/01/2024,59,%
HR,01/01/2024,56,%
HR,01/01/2024,55,%
HR,01/01/2024,59,%
HR,01/01/2024,59,%
HR,01/01/2024,54,%
HR,01/01/2024,53,%
HR,01/01/2024,49,%
HR,01/01/2024,44,%
HR,01/01/2024,40,%
HR,01/01/2024,38,%
HR,01/01/2024,39,%
HR,01/01/2024,41,%
HR,01/01/2024,43,%
HR,01/01/2024,41,%
HR,01/01/2024,49,%
HR,01/01/2024,54,%
HR,01/01/2024,56,%
HR,01/01/2024,62,%
HR,01/01/2024,65,%
HR,01/01/2024,64,%
HR,01/01/2024,69,%
HR,02/01/2024,71,%
HR,02/01/2024,73,%
HR,02/01/2024,77,%
HR,02/01/2024,80,%
HR,02/01/2024,84,%
HR,02/01/2024,87,%
HR,02/01/2024,88,%
HR,02/01/2024,88,%
HR,02/01/2024,88,%
HR,02/01/2024,88,%
HR,02/01/2024,88,%
HR,02/01/2024,88,%
HR,02/01/2024,87,%
HR,02/01/2024,87,%
HR,02/01/2024,86,%
HR,02/01/2024,80,%
HR,02/01/2024,73,%
HR,02/01/2024,70,%
HR,02/01/2024,71,%
HR,02/01/2024,74,%
HR,02/01/2024,76,%
HR,02/01/2024,78,%
HR,02/01/2024,80,%
HR,02/01/2024,82,%
HR,03/01/2024,83,%
HR,03/01/2024,84,%
HR,03/01/2024,85,%
HR,03/01/2024,84,%
HR,03/01/2024,83,%
HR,03/01/2024,83,%
HR,03/01/2024,83,%
HR,03/01/2024,81,%
HR,03/01/2024,82,%
HR,03/01/2024,81,%
HR,03/01/2024,73,%
HR,03/01/2024,64,%
HR,03/01/2024,54,%
HR,03/01/2024,48,%
HR,03/01/2024,43,%
HR,03/01/2024,40,%
HR,03/01/2024,36,%
HR,03/01/2024,38,%
HR,03/01/2024,49,%
HR,03/01/2024,54,%
HR,03/01/2024,55,%
HR,03/01/2024,59,%
HR,03/01/2024,59,%
HR,03/01/2024,59,%
HR,04/01/2024,61,%
HR,04/01/2024,62,%
HR,04/01/2024,71,%
HR,04/01/2024,78,%
HR,04/01/2024,81,%
HR,04/01/2024,81,%
HR,04/01/2024,79,%
HR,04/01/2024,81,%
HR,04/01/2024,81,%
HR,04/01/2024,82,%
HR,04/01/2024,82,%
HR,04/01/2024,85,%
HR,04/01/2024,85,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,86,%
HR,04/01/2024,85,%
HR,04/01/2024,85,%
HR,04/01/2024,86,%
HR,05/01/2024,87,%
HR,05/01/2024,87,%
HR,05/01/2024,83,%
HR,05/01/2024,79,%
HR,05/01/2024,80,%
HR,05/01/2024,81,%
HR,05/01/2024,81,%
HR,05/01/2024,83,%
HR,05/01/2024,84,%
HR,05/01/2024,77,%
HR,05/01/2024,63,%
HR,05/01/2024,55,%
HR,05/01/2024,45,%
HR,05/01/2024,39,%
HR,05/01/2024,34,%
HR,05/01/2024,29,%
HR,05/01/2024,27,%
HR,05/01/2024,28,%
HR,05/01/2024,31,%
HR,05/01/2024,38,%
HR,05/01/2024,42,%
HR,05/01/2024,45,%
HR,05/01/2024,46,%
HR,05/01/2024,47,%
HR,06/01/2024,54,%
HR,06/01/2024,65,%
HR,06/01/2024,66,%
HR,06/01/2024,63,%
HR,06/01/2024,67,%
HR,06/01/2024,68,%
HR,06/01/2024,66,%
HR,06/01/2024,68,%
HR,06/01/2024,70,%
HR,06/01/2024,61,%
HR,06/01/2024,49,%
HR,06/01/2024,46,%
HR,06/01/2024,39,%
HR,06/01/2024,33,%
HR,06/01/2024,36,%
HR,06/01/2024,35,%
HR,06/01/2024,37,%
HR,06/01/2024,39,%
HR,06/01/2024,41,%
HR,06/01/2024,44,%
HR,06/01/2024,46,%
HR,06/01/2024,52,%
HR,06/01/2024,55,%
HR,06/01/2024,56,%
HR,07/01/2024,57,%
HR,07/01/2024,56,%
HR,07/01/2024,58,%
HR,07/01/2024,61,%
HR,07/01/2024,62,%
HR,07/01/2024,66,%
HR,07/01/2024,67,%
HR,07/01/2024,67,%
HR,07/01/2024,63,%
HR,07/01/2024,67,%
HR,07/01/2024,72,%
HR,07/01/2024,74,%
HR,07/01/2024,73,%
HR,07/01/2024,70,%
HR,07/01/2024,70,%
HR,07/01/2024,70,%
HR,07/01/2024,67,%
HR,07/01/2024,67,%
HR,07/01/2024,65,%
HR,07/01/2024,67,%
HR,07/01/2024,69,%
HR,07/01/2024,72,%
HR,07/01/2024,73,%
HR,08/01/2024,74,%
HR,08/01/2024,76,%
HR,08/01/2024,79,%
HR,08/01/2024,82,%
HR,08/01/2024,84,%
HR,08/01/2024,85,%
HR,08/01/2024,84,%
HR,08/01/2024,84,%
HR,08/01/2024,85,%
HR,08/01/2024,81,%
HR,08/01/2024,70,%
HR,08/01/2024,59,%
HR,08/01/2024,51,%
HR,08/01/2024,42,%
HR,08/01/2024,38,%
HR,08/01/2024,28,%
HR,08/01/2024,23,%
HR,08/01/2024,21,%
HR,08/01/2024,23,%
HR,08/01/2024,38,%
HR,08/01/2024,32,%
HR,08/01/2024,28,%
HR,08/01/2024,26,%
HR,08/01/2024,28,%
HR,09/01/2024,29,%
