Parametro,Fecha,valor,Unidad
,,,
PB,01/01/2024,717.4,mmHg
PB,01/01/2024,717.5,mmHg
PB,01/01/2024,717.6,mmHg
PB,01/01/2024,717.7,mmHg
PB,01/01/2024,717.6,mmHg
PB,01/01/2024,717.7,mmHg
PB,01/01/2024,718.4,mmHg
PB,01/01/2024,719.1,mmHg
PB,01/01/2024,720.2,mmHg
PB,01/01/2024,720.8,mmHg
PB,01/01/2024,721.4,mmHg
PB,01/01/2024,721.6,mmHg
PB,01/01/2024,720.8,mmHg
PB,01/01/2024,719.9,mmHg
PB,01/01/2024,719.1,mmHg
PB,01/01/2024,719.1,mmHg
PB,01/01/2024,719.3,mmHg
PB,01/01/2024,719.7,mmHg
PB,01/01/2024,720.1,mmHg
PB,01/01/2024,720.6,mmHg
PB,01/01/2024,720.8,mmHg
PB,01/01/2024,720.8,mmHg
PB,01/01/2024,720.7,mmHg
PB,02/01/2024,720,mmHg
PB,02/01/2024,720,mmHg
PB,02/01/2024,720.1,mmHg
PB,02/01/2024,719.8,mmHg
PB,02/01/2024,719.2,mmHg
PB,02/01/2024,718.9,mmHg
PB,02/01/2024,718.5,mmHg
PB,02/01/2024,718.5,mmHg
PB,02/01/2024,718.9,mmHg
PB,02/01/2024,718.7,mmHg
PB,02/01/2024,718.6,mmHg
PB,02/01/2024,718.6,mmHg
PB,02/01/2024,718.1,mmHg
PB,02/01/2024,716.9,mmHg
PB,02/01/2024,716,mmHg
PB,02/01/2024,714.8,mmHg
PB,02/01/2024,714.1,mmHg
PB,02/01/2024,714.1,mmHg
PB,02/01/2024,714.5,mmHg
PB,02/01/2024,714.9,mmHg
PB,02/01/2024,715.4,mmHg
PB,02/01/2024,715.7,mmHg
PB,02/01/2024,716.1,mmHg
PB,02/01/2024,716.6,mmHg
PB,03/01/2024,716.9,mmHg
PB,03/01/2024,716.9,mmHg
PB,03/01/2024,717,mmHg
PB,03/01/2024,717.3,mmHg
PB,03/01/2024,717.8,mmHg
PB,03/01/2024,718.1,mmHg
PB,03/01/2024,718.4,mmHg
PB,03/01/2024,719,mmHg
PB,03/01/2024,719.4,mmHg
PB,03/01/2024,720.3,mmHg
PB,03/01/2024,720.7,mmHg
PB,03/01/2024,720.8,mmHg
PB,03/01/2024,720.2,mmHg
PB,03/01/2024,719.1,mmHg
PB,03/01/2024,717.7,mmHg
PB,03/01/2024,716.7,mmHg
PB,03/01/2024,716.6,mmHg
PB,03/01/2024,716.7,mmHg
PB,03/01/2024,717.3,mmHg
PB,03/01/2024,718.1,mmHg
PB,03/01/2024,718.9,mmHg
PB,03/01/2024,719.3,mmHg
PB,03/01/2024,719.4,mmHg
PB,03/01/2024,719.2,mmHg
PB,04/01/2024,719,mmHg
PB,04/01/2024,718.6,mmHg
PB,04/01/2024,718.3,mmHg
PB,04/01/2024,718,mmHg
PB,04/01/2024,717.7,mmHg
PB,04/01/2024,717.4,mmHg
PB,04/01/2024,717.1,mmHg
PB,04/01/2024,717.2,mmHg
PB,04/01/2024,717.4,mmHg
PB,04/01/2024,717.6,mmHg
PB,04/01/2024,717.5,mmHg
PB,04/01/2024,717.1,mmHg
PB,04/01/2024,716.3,mmHg
PB,04/01/2024,715.2,mmHg
PB,04/01/2024,713.5,mmHg
PB,04/01/2024,712.7,mmHg
PB,04/01/2024,712.3,mmHg
PB,04/01/2024,711.8,mmHg
PB,04/01/2024,711.5,mmHg
PB,04/01/2024,711.3,mmHg
PB,04/01/2024,711.3,mmHg
PB,04/01/2024,711.3,mmHg
PB,04/01/2024,711.3,mmHg
PB,04/01/2024,711.9,mmHg
PB,05/01/2024,712.4,mmHg
PB,05/01/2024,712.6,mmHg
PB,05/01/2024,712.7,mmHg
PB,05/01/2024,712.7,mmHg
PB,05/01/2024,712.6,mmHg
PB,05/01/2024,712.5,mmHg
PB,05/01/2024,712.6,mmHg
PB,05/01/2024,712.7,mmHg
PB,05/01/2024,713,mmHg
PB,05/01/2024,713.5,mmHg
PB,05/01/2024,714,mmHg
PB,05/01/2024,714,mmHg
PB,05/01/2024,713.3,mmHg
PB,05/01/2024,712.3,mmHg
PB,05/01/2024,711.2,mmHg
PB,05/01/2024,710.5,mmHg
PB,05/01/2024,710.2,mmHg
PB,05/01/2024,710.3,mmHg
PB,05/01/2024,710.7,mmHg
PB,05/01/2024,711.4,mmHg
PB,05/01/2024,712.1,mmHg
PB,05/01/2024,712.5,mmHg
PB,05/01/2024,712.8,mmHg
PB,05/01/2024,712.8,mmHg
PB,06/01/2024,712.5,mmHg
PB,06/01/2024,712.2,mmHg
PB,06/01/2024,711.9,mmHg
PB,06/01/2024,711.8,mmHg
PB,06/01/2024,711.9,mmHg
PB,06/01/2024,711.8,mmHg
PB,06/01/2024,711.5,mmHg
PB,06/01/2024,712.1,mmHg
