Parametro,Fecha,valor,Unidad
,,,
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,6,W/m2
RS,01/01/2024,62,W/m2
RS,01/01/2024,181,W/m2
RS,01/01/2024,273,W/m2
RS,01/01/2024,358,W/m2
RS,01/01/2024,370,W/m2
RS,01/01/2024,298,W/m2
RS,01/01/2024,355,W/m2
RS,01/01/2024,233,W/m2
RS,01/01/2024,103,W/m2
RS,01/01/2024,24,W/m2
RS,01/01/2024,1,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,01/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,1,W/m2
RS,02/01/2024,11,W/m2
RS,02/01/2024,26,W/m2
RS,02/01/2024,34,W/m2
RS,02/01/2024,51,W/m2
RS,02/01/2024,75,W/m2
RS,02/01/2024,110,W/m2
RS,02/01/2024,224,W/m2
RS,02/01/2024,191,W/m2
RS,02/01/2024,86,W/m2
RS,02/01/2024,23,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,02/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,9,W/m2
RS,03/01/2024,112,W/m2
RS,03/01/2024,270,W/m2
RS,03/01/2024,399,W/m2
RS,03/01/2024,491,W/m2
RS,03/01/2024,533,W/m2
RS,03/01/2024,495,W/m2
RS,03/01/2024,465,W/m2
RS,03/01/2024,351,W/m2
RS,03/01/2024,210,W/m2
RS,03/01/2024,51,W/m2
RS,03/01/2024,1,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,03/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,1,W/m2
RS,04/01/2024,13,W/m2
RS,04/01/2024,32,W/m2
RS,04/01/2024,63,W/m2
RS,04/01/2024,79,W/m2
RS,04/01/2024,69,W/m2
RS,04/01/2024,98,W/m2
RS,04/01/2024,83,W/m2
RS,04/01/2024,68,W/m2
RS,04/01/2024,44,W/m2
RS,04/01/2024,9,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,04/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,8,W/m2
RS,05/01/2024,107,W/m2
RS,05/01/2024,263,W/m2
RS,05/01/2024,388,W/m2
RS,05/01/2024,483,W/m2
RS,05/01/2024,532,W/m2
RS,05/01/2024,495,W/m2
RS,05/01/2024,468,W/m2
RS,05/01/2024,359,W/m2
RS,05/01/2024,218,W/m2
RS,05/01/2024,64,W/m2
RS,05/01/2024,1,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,05/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,10,W/m2
RS,06/01/2024,137,W/m2
RS,06/01/2024,295,W/m2
RS,06/01/2024,399,W/m2
RS,06/01/2024,476,W/m2
RS,06/01/2024,508,W/m2
RS,06/01/2024,447,W/m2
RS,06/01/2024,398,W/m2
RS,06/01/2024,272,W/m2
RS,06/01/2024,187,W/m2
RS,06/01/2024,51,W/m2
RS,06/01/2024,1,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,06/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,4,W/m2
RS,07/01/2024,37,W/m2
RS,07/01/2024,113,W/m2
RS,07/01/2024,114,W/m2
RS,07/01/2024,93,W/m2
RS,07/01/2024,125,W/m2
RS,07/01/2024,45,W/m2
RS,07/01/2024,28,W/m2
RS,07/01/2024,42,W/m2
RS,07/01/2024,18,W/m2
RS,07/01/2024,5,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,07/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,7,W/m2
RS,08/01/2024,115,W/m2
RS,08/01/2024,262,W/m2
RS,08/01/2024,388,W/m2
RS,08/01/2024,480,W/m2
RS,08/01/2024,523,W/m2
RS,08/01/2024,493,W/m2
RS,08/01/2024,465,W/m2
RS,08/01/2024,330,W/m2
RS,08/01/2024,202,W/m2
RS,08/01/2024,65,W/m2
RS,08/01/2024,1,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,08/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,4,W/m2
RS,09/01/2024,92,W/m2
RS,09/01/2024,231,W/m2
RS,09/01/2024,391,W/m2
RS,09/01/2024,468,W/m2
RS,09/01/2024,463,W/m2
RS,09/01/2024,509,W/m2
RS,09/01/2024,481,W/m2
RS,09/01/2024,351,W/m2
RS,09/01/2024,209,W/m2
RS,09/01/2024,58,W/m2
RS,09/01/2024,1,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,09/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,6,W/m2
RS,10/01/2024,106,W/m2
RS,10/01/2024,229,W/m2
RS,10/01/2024,380,W/m2
RS,10/01/2024,470,W/m2
RS,10/01/2024,475,W/m2
RS,10/01/2024,458,W/m2
RS,10/01/2024,379,W/m2
RS,10/01/2024,260,W/m2
RS,10/01/2024,145,W/m2
RS,10/01/2024,36,W/m2
RS,10/01/2024,1,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,10/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,4,W/m2
RS,11/01/2024,119,W/m2
RS,11/01/2024,161,W/m2
RS,11/01/2024,273,W/m2
RS,11/01/2024,537,W/m2
RS,11/01/2024,548,W/m2
RS,11/01/2024,450,W/m2
RS,11/01/2024,331,W/m2
RS,11/01/2024,313,W/m2
RS,11/01/2024,161,W/m2
RS,11/01/2024,46,W/m2
RS,11/01/2024,2,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,11/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,0,W/m2
RS,12/01/2024,6,W/m2
RS,16/01/2024,227,W/m2
RS,16/01/2024,254,W/m2
RS,16/01/2024,233,W/m2
RS,16/01/2024,252,W/m2
RS,16/01/2024,213,W/m2
RS,16/01/2024,86,W/m2
RS,16/01/2024,2,W/m2
RS,16/01/2024,0,W/m2
RS,16/01/2024,0,W/m2
RS,16/01/2024,0,W/m2
RS,16/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,4,W/m2
RS,17/01/2024,115,W/m2
RS,17/01/2024,271,W/m2
RS,17/01/2024,408,W/m2
RS,17/01/2024,501,W/m2
RS,17/01/2024,440,W/m2
RS,17/01/2024,440,W/m2
RS,17/01/2024,422,W/m2
RS,17/01/2024,277,W/m2
RS,17/01/2024,172,W/m2
RS,17/01/2024,62,W/m2
RS,17/01/2024,3,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,17/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,3,W/m2
RS,18/01/2024,55,W/m2
RS,18/01/2024,138,W/m2
RS,18/01/2024,253,W/m2
RS,18/01/2024,359,W/m2
RS,18/01/2024,404,W/m2
RS,18/01/2024,383,W/m2
RS,18/01/2024,347,W/m2
RS,18/01/2024,270,W/m2
RS,18/01/2024,157,W/m2
RS,18/01/2024,64,W/m2
RS,18/01/2024,3,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,18/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,6,W/m2
RS,19/01/2024,104,W/m2
RS,19/01/2024,264,W/m2
RS,19/01/2024,400,W/m2
RS,19/01/2024,501,W/m2
RS,19/01/2024,539,W/m2
RS,19/01/2024,500,W/m2
RS,19/01/2024,437,W/m2
RS,19/01/2024,390,W/m2
RS,19/01/2024,183,W/m2
RS,19/01/2024,32,W/m2
RS,19/01/2024,2,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,19/01/2024,0,W/m2
RS,20/01/2024,0,W/m2
RS,20/01/2024,0,W/m2
