Parametro,Fecha,valor,Unidad
,,,
TMP,01/01/2024,14.8,°C
TMP,01/01/2024,14.41,°C
TMP,01/01/2024,14.34,°C
TMP,01/01/2024,14.58,°C
TMP,01/01/2024,14.55,°C
TMP,01/01/2024,13.33,°C
TMP,01/01/2024,13.29,°C
TMP,01/01/2024,13.44,°C
TMP,01/01/2024,13.87,°C
TMP,01/01/2024,16.08,°C
TMP,01/01/2024,18.94,°C
TMP,01/01/2024,20.93,°C
TMP,01/01/2024,22,°C
TMP,01/01/2024,22.8,°C
TMP,01/01/2024,22.99,°C
TMP,01/01/2024,23.41,°C
TMP,01/01/2024,21.94,°C
TMP,01/01/2024,20.59,°C
TMP,01/01/2024,19.83,°C
TMP,01/01/2024,18.69,°C
TMP,01/01/2024,18.24,°C
TMP,01/01/2024,17.61,°C
TMP,01/01/2024,15.73,°C
TMP,02/01/2024,16.31,°C
TMP,02/01/2024,15.98,°C
TMP,02/01/2024,15.64,°C
TMP,02/01/2024,14.81,°C
TMP,02/01/2024,14.65,°C
TMP,02/01/2024,14.31,°C
TMP,02/01/2024,13.3,°C
TMP,02/01/2024,13.35,°C
TMP,02/01/2024,13.49,°C
TMP,02/01/2024,13.82,°C
TMP,02/01/2024,14.52,°C
TMP,02/01/2024,14.65,°C
TMP,02/01/2024,14.5,°C
TMP,02/01/2024,14.71,°C
TMP,02/01/2024,15.11,°C
TMP,02/01/2024,16.68,°C
TMP,02/01/2024,17.75,°C
TMP,02/01/2024,18.04,°C
TMP,02/01/2024,17.59,°C
TMP,02/01/2024,17.34,°C
TMP,02/01/2024,16.37,°C
TMP,02/01/2024,14.98,°C
TMP,02/01/2024,13.79,°C
TMP,02/01/2024,13.02,°C
TMP,03/01/2024,12.23,°C
TMP,03/01/2024,11.78,°C
TMP,03/01/2024,11.32,°C
TMP,03/01/2024,11.54,°C
TMP,03/01/2024,11.57,°C
TMP,03/01/2024,11.41,°C
TMP,03/01/2024,11.34,°C
TMP,03/01/2024,11.5,°C
TMP,03/01/2024,11.22,°C
TMP,03/01/2024,12.03,°C
TMP,03/01/2024,13.68,°C
TMP,03/01/2024,15.26,°C
TMP,03/01/2024,16.95,°C
TMP,03/01/2024,18.88,°C
TMP,03/01/2024,20.39,°C
TMP,03/01/2024,21.1,°C
TMP,03/01/2024,21.88,°C
TMP,03/01/2024,21.13,°C
TMP,03/01/2024,19.08,°C
TMP,03/01/2024,17.16,°C
TMP,03/01/2024,16.15,°C
TMP,03/01/2024,15.12,°C
TMP,03/01/2024,14.43,°C
TMP,03/01/2024,14.07,°C
TMP,04/01/2024,13.52,°C
TMP,04/01/2024,12.95,°C
TMP,04/01/2024,11.04,°C
TMP,04/01/2024,9.87,°C
TMP,04/01/2024,9.4,°C
TMP,04/01/2024,9.2,°C
TMP,04/01/2024,9.31,°C
TMP,04/01/2024,9.21,°C
TMP,04/01/2024,9.28,°C
TMP,04/01/2024,9.22,°C
TMP,04/01/2024,9.36,°C
TMP,04/01/2024,9.4,°C
TMP,04/01/2024,9.57,°C
TMP,04/01/2024,9.68,°C
TMP,04/01/2024,9.82,°C
TMP,04/01/2024,10.26,°C
TMP,04/01/2024,10.42,°C
TMP,04/01/2024,10.63,°C
TMP,04/01/2024,10.74,°C
TMP,04/01/2024,10.94,°C
TMP,04/01/2024,11.48,°C
TMP,04/01/2024,11.62,°C
TMP,04/01/2024,11.75,°C
TMP,04/01/2024,12.05,°C
TMP,05/01/2024,11.9,°C
TMP,05/01/2024,11.81,°C
TMP,05/01/2024,11.64,°C
TMP,05/01/2024,11.31,°C
TMP,05/01/2024,10.89,°C
TMP,05/01/2024,10.31,°C
TMP,05/01/2024,10.11,°C
TMP,05/01/2024,9.43,°C
TMP,05/01/2024,9.29,°C
TMP,05/01/2024,11.04,°C
TMP,05/01/2024,14.26,°C
TMP,05/01/2024,16.61,°C
TMP,05/01/2024,18.67,°C
TMP,05/01/2024,19.71,°C
TMP,05/01/2024,20.98,°C
TMP,05/01/2024,22.49,°C
TMP,05/01/2024,23.26,°C
TMP,05/01/2024,22.44,°C
TMP,05/01/2024,21.37,°C
TMP,05/01/2024,18.74,°C
TMP,05/01/2024,17.14,°C
TMP,05/01/2024,16.45,°C
TMP,05/01/2024,15.93,°C
TMP,05/01/2024,15.28,°C
TMP,06/01/2024,13.84,°C
TMP,06/01/2024,11.26,°C
TMP,06/01/2024,11.04,°C
TMP,06/01/2024,10.96,°C
TMP,06/01/2024,10.45,°C
TMP,06/01/2024,9.95,°C
TMP,06/01/2024,10.29,°C
TMP,06/01/2024,10.19,°C
TMP,06/01/2024,9.37,°C
TMP,06/01/2024,11.8,°C
TMP,06/01/2024,14.96,°C
TMP,06/01/2024,16.45,°C
TMP,06/01/2024,19.24,°C
TMP,06/01/2024,20.58,°C
TMP,06/01/2024,21.1,°C
TMP,06/01/2024,21.79,°C
TMP,06/01/2024,21.43,°C
TMP,06/01/2024,21.22,°C
TMP,06/01/2024,20.65,°C
TMP,06/01/2024,19.62,°C
TMP,06/01/2024,18.67,°C
TMP,06/01/2024,17.13,°C
TMP,06/01/2024,16.27,°C
TMP,06/01/2024,16.15,°C
TMP,07/01/2024,15.79,°C
TMP,07/01/2024,15.43,°C
TMP,07/01/2024,14.52,°C
TMP,07/01/2024,13.95,°C
TMP,07/01/2024,13.55,°C
TMP,07/01/2024,12.4,°C
TMP,07/01/2024,12.44,°C
TMP,07/01/2024,12.53,°C
TMP,07/01/2024,12.65,°C
TMP,07/01/2024,13.31,°C
TMP,07/01/2024,14.1,°C
TMP,07/01/2024,14.35,°C
TMP,07/01/2024,15.43,°C
TMP,07/01/2024,16.9,°C
TMP,07/01/2024,17.12,°C
TMP,07/01/2024,17.08,°C
TMP,07/01/2024,17.98,°C
TMP,07/01/2024,17.95,°C
TMP,07/01/2024,18.42,°C
TMP,07/01/2024,18.26,°C
TMP,07/01/2024,17.98,°C
TMP,07/01/2024,17.68,°C
TMP,07/01/2024,17.52,°C
TMP,08/01/2024,17.26,°C
TMP,08/01/2024,16.89,°C
TMP,08/01/2024,15.96,°C
TMP,08/01/2024,14.91,°C
TMP,08/01/2024,14.19,°C
TMP,08/01/2024,14.16,°C
TMP,08/01/2024,14.63,°C
TMP,08/01/2024,14.24,°C
TMP,08/01/2024,13.83,°C
TMP,08/01/2024,15.21,°C
TMP,08/01/2024,18.61,°C
TMP,08/01/2024,22.12,°C
TMP,08/01/2024,23.89,°C
TMP,08/01/2024,25.57,°C
TMP,08/01/2024,26.96,°C
TMP,08/01/2024,29.06,°C
TMP,08/01/2024,30.36,°C
TMP,08/01/2024,30.45,°C
TMP,08/01/2024,29.59,°C
TMP,08/01/2024,21.22,°C
TMP,08/01/2024,17.59,°C
TMP,08/01/2024,16.23,°C
TMP,08/01/2024,15.01,°C
TMP,08/01/2024,14.09,°C
TMP,09/01/2024,13.51,°C
TMP,09/01/2024,12.97,°C
TMP,09/01/2024,13.78,°C
TMP,09/01/2024,13.76,°C
TMP,09/01/2024,13.63,°C
TMP,09/01/2024,13.47,°C
TMP,09/01/2024,12.11,°C
TMP,09/01/2024,12.12,°C
TMP,09/01/2024,11.41,°C
TMP,09/01/2024,11.26,°C
TMP,09/01/2024,12.28,°C
TMP,09/01/2024,14.09,°C
TMP,09/01/2024,15.75,°C
TMP,09/01/2024,17.03,°C
TMP,09/01/2024,17.75,°C
TMP,09/01/2024,18.79,°C
TMP,09/01/2024,18.61,°C
TMP,09/01/2024,18,°C
TMP,09/01/2024,16.89,°C
TMP,09/01/2024,15.52,°C
TMP,09/01/2024,14.34,°C
TMP,09/01/2024,13.16,°C
TMP,09/01/2024,12.45,°C
TMP,09/01/2024,11.26,°C
TMP,10/01/2024,11.01,°C
TMP,10/01/2024,9.45,°C
TMP,10/01/2024,8.19,°C
TMP,10/01/2024,8.23,°C
TMP,10/01/2024,8.13,°C
TMP,10/01/2024,8.03,°C
TMP,10/01/2024,7.65,°C
TMP,10/01/2024,7.21,°C
TMP,10/01/2024,6.99,°C
TMP,10/01/2024,8.74,°C
TMP,10/01/2024,11.28,°C
TMP,10/01/2024,15.44,°C
TMP,10/01/2024,18.1,°C
TMP,10/01/2024,19.72,°C
TMP,10/01/2024,21.76,°C
TMP,10/01/2024,23.12,°C
TMP,10/01/2024,22.26,°C
TMP,10/01/2024,21.77,°C
TMP,10/01/2024,20.36,°C
TMP,10/01/2024,18.64,°C
TMP,10/01/2024,17.5,°C
TMP,10/01/2024,16.76,°C
TMP,10/01/2024,16.01,°C
TMP,10/01/2024,13.91,°C
TMP,11/01/2024,13.13,°C
TMP,11/01/2024,11.76,°C
TMP,11/01/2024,11.25,°C
TMP,11/01/2024,11.64,°C
TMP,11/01/2024,11.26,°C
TMP,11/01/2024,11.36,°C
TMP,11/01/2024,12,°C
TMP,11/01/2024,12.18,°C
TMP,11/01/2024,12.29,°C
TMP,11/01/2024,15.79,°C
TMP,11/01/2024,19.19,°C
TMP,11/01/2024,20.68,°C
TMP,11/01/2024,25.83,°C
TMP,11/01/2024,28.41,°C
