Parametro,Fecha,valor,Unidad
,,,
NO,2024-01-01,0.099,ppm
NO,2024-01-01,0.094,ppm
NO,2024-01-01,0.088,ppm
NO,2024-01-01,0.06,ppm
NO,2024-01-01,0.057,ppm
NO,2024-01-01,0.03,ppm
NO,2024-01-01,0.017,ppm
NO,2024-01-01,0.018,ppm
NO,2024-01-01,0.014,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.007,ppm
NO,2024-01-02,0.008,ppm
NO,2024-01-02,0.007,ppm
NO,2024-01-02,0.008,ppm
NO,2024-01-02,0.008,ppm
NO,2024-01-02,0.008,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.013,ppm
NO,2024-01-02,0.011,ppm
NO,2024-01-02,0.007,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-03,0.018,ppm
NO,2024-01-03,0.007,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-03,0.014,ppm
NO,2024-01-03,0.012,ppm
NO,2024-01-03,0.01,ppm
NO,2024-01-03,0.007,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.007,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.007,ppm
NO,2024-01-04,0.01,ppm
NO,2024-01-04,0.01,ppm
NO,2024-01-04,0.01,ppm
NO,2024-01-04,0.011,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-05,0.036,ppm
NO,2024-01-05,0.009,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.005,ppm
NO,2024-01-05,0.011,ppm
NO,2024-01-05,0.029,ppm
NO,2024-01-05,0.085,ppm
NO,2024-01-05,0.143,ppm
NO,2024-01-06,0.058,ppm
NO,2024-01-06,0.038,ppm
NO,2024-01-06,0.017,ppm
NO,2024-01-06,0.017,ppm
NO,2024-01-06,0.009,ppm
NO,2024-01-06,0.026,ppm
NO,2024-01-06,0.045,ppm
NO,2024-01-06,0.091,ppm
NO,2024-01-06,0.123,ppm
NO,2024-01-06,0.079,ppm
NO,2024-01-06,0.034,ppm
NO,2024-01-06,0.011,ppm
NO,2024-01-06,0.009,ppm
NO,2024-01-06,0.006,ppm
NO,2024-01-06,0.004,ppm
NO,2024-01-06,0.004,ppm
NO,2024-01-06,0.003,ppm
NO,2024-01-06,0.004,ppm
NO,2024-01-06,0.005,ppm
NO,2024-01-06,0.006,ppm
