Parametro,Fecha,valor,Unidad
,,,
HR,2024-01-01,72,%
HR,2024-01-01,72,%
HR,2024-01-01,71,%
HR,2024-01-01,66,%
HR,2024-01-01,68,%
HR,2024-01-01,62,%
HR,2024-01-01,64,%
HR,2024-01-01,71,%
HR,2024-01-01,62,%
HR,2024-01-01,51,%
HR,2024-01-01,42,%
HR,2024-01-01,39,%
HR,2024-01-01,40,%
HR,2024-01-01,38,%
HR,2024-01-01,37,%
HR,2024-01-01,41,%
HR,2024-01-01,49,%
HR,2024-01-01,55,%
HR,2024-01-01,62,%
HR,2024-01-01,68,%
HR,2024-01-01,70,%
HR,2024-01-01,71,%
HR,2024-01-01,75,%
HR,2024-01-02,80,%
HR,2024-01-02,85,%
HR,2024-01-02,89,%
HR,2024-01-02,91,%
HR,2024-01-02,92,%
HR,2024-01-02,92,%
HR,2024-01-02,92,%
HR,2024-01-02,93,%
HR,2024-01-02,94,%
HR,2024-01-02,94,%
HR,2024-01-02,94,%
HR,2024-01-02,94,%
HR,2024-01-02,93,%
HR,2024-01-02,93,%
HR,2024-01-02,92,%
HR,2024-01-02,88,%
HR,2024-01-02,83,%
HR,2024-01-02,80,%
HR,2024-01-02,82,%
HR,2024-01-02,86,%
HR,2024-01-02,89,%
HR,2024-01-02,90,%
HR,2024-01-02,90,%
HR,2024-01-02,91,%
HR,2024-01-03,92,%
HR,2024-01-03,88,%
HR,2024-01-03,88,%
HR,2024-01-03,89,%
HR,2024-01-03,89,%
HR,2024-01-03,89,%
HR,2024-01-03,89,%
HR,2024-01-03,88,%
HR,2024-01-03,88,%
HR,2024-01-03,82,%
HR,2024-01-03,75,%
HR,2024-01-03,64,%
HR,2024-01-03,55,%
HR,2024-01-03,55,%
HR,2024-01-03,52,%
HR,2024-01-03,49,%
HR,2024-01-03,49,%
HR,2024-01-03,49,%
HR,2024-01-03,53,%
HR,2024-01-03,58,%
HR,2024-01-03,59,%
HR,2024-01-03,63,%
HR,2024-01-03,64,%
HR,2024-01-03,67,%
HR,2024-01-04,69,%
HR,2024-01-04,69,%
HR,2024-01-04,78,%
HR,2024-01-04,85,%
HR,2024-01-04,85,%
HR,2024-01-04,84,%
HR,2024-01-04,83,%
HR,2024-01-04,84,%
HR,2024-01-04,85,%
HR,2024-01-04,87,%
HR,2024-01-04,90,%
HR,2024-01-04,91,%
HR,2024-01-04,91,%
HR,2024-01-04,90,%
HR,2024-01-04,89,%
HR,2024-01-04,90,%
HR,2024-01-04,90,%
HR,2024-01-04,91,%
HR,2024-01-04,90,%
HR,2024-01-04,90,%
HR,2024-01-04,89,%
HR,2024-01-04,88,%
HR,2024-01-04,86,%
HR,2024-01-04,86,%
HR,2024-01-05,90,%
HR,2024-01-05,91,%
HR,2024-01-05,88,%
HR,2024-01-05,83,%
HR,2024-01-05,83,%
HR,2024-01-05,83,%
