Parametro,Fecha,valor,Unidad
,,,
PB,2024-01-01,734.1,mmHg
PB,2024-01-01,734.1,mmHg
PB,2024-01-01,734.1,mmHg
PB,2024-01-01,734.2,mmHg
PB,2024-01-01,734.1,mmHg
PB,2024-01-01,734.2,mmHg
PB,2024-01-01,734.8,mmHg
PB,2024-01-01,735.6,mmHg
PB,2024-01-01,736.2,mmHg
PB,2024-01-01,736.8,mmHg
PB,2024-01-01,737.2,mmHg
PB,2024-01-01,737.2,mmHg
PB,2024-01-01,736.6,mmHg
PB,2024-01-01,735.9,mmHg
PB,2024-01-01,735.2,mmHg
PB,2024-01-01,735.2,mmHg
PB,2024-01-01,735.6,mmHg
PB,2024-01-01,735.9,mmHg
PB,2024-01-01,736.4,mmHg
PB,2024-01-01,736.9,mmHg
PB,2024-01-01,737.1,mmHg
PB,2024-01-01,737.1,mmHg
PB,2024-01-01,737,mmHg
PB,2024-01-02,736.5,mmHg
PB,2024-01-02,736.3,mmHg
PB,2024-01-02,736.3,mmHg
PB,2024-01-02,736.1,mmHg
PB,2024-01-02,735.7,mmHg
PB,2024-01-02,735.5,mmHg
PB,2024-01-02,735,mmHg
PB,2024-01-02,735,mmHg
PB,2024-01-02,735.3,mmHg
PB,2024-01-02,735.4,mmHg
PB,2024-01-02,735.2,mmHg
PB,2024-01-02,735.1,mmHg
PB,2024-01-02,734.6,mmHg
PB,2024-01-02,733.5,mmHg
PB,2024-01-02,732.8,mmHg
PB,2024-01-02,732,mmHg
PB,2024-01-02,731.4,mmHg
PB,2024-01-02,731.3,mmHg
PB,2024-01-02,731.6,mmHg
PB,2024-01-02,732.1,mmHg
PB,2024-01-02,732.5,mmHg
PB,2024-01-02,732.7,mmHg
PB,2024-01-02,733,mmHg
PB,2024-01-02,733.5,mmHg
PB,2024-01-03,733.6,mmHg
PB,2024-01-03,733.7,mmHg
PB,2024-01-03,733.8,mmHg
PB,2024-01-03,734.2,mmHg
PB,2024-01-03,734.5,mmHg
PB,2024-01-03,734.8,mmHg
PB,2024-01-03,735.1,mmHg
PB,2024-01-03,735.6,mmHg
PB,2024-01-03,736,mmHg
PB,2024-01-03,736.5,mmHg
PB,2024-01-03,736.9,mmHg
PB,2024-01-03,736.9,mmHg
PB,2024-01-03,736.2,mmHg
PB,2024-01-03,735.3,mmHg
PB,2024-01-03,734.2,mmHg
PB,2024-01-03,733.4,mmHg
PB,2024-01-03,733.3,mmHg
PB,2024-01-03,733.7,mmHg
PB,2024-01-03,734.3,mmHg
PB,2024-01-03,735,mmHg
PB,2024-01-03,735.7,mmHg
PB,2024-01-03,736.1,mmHg
PB,2024-01-03,736.1,mmHg
PB,2024-01-03,735.9,mmHg
PB,2024-01-04,735.7,mmHg
PB,2024-01-04,735.5,mmHg
PB,2024-01-04,735.2,mmHg
PB,2024-01-04,734.9,mmHg
PB,2024-01-04,734.8,mmHg
PB,2024-01-04,734.6,mmHg
PB,2024-01-04,734.4,mmHg
PB,2024-01-04,734.4,mmHg
PB,2024-01-04,734.5,mmHg
PB,2024-01-04,734.7,mmHg
PB,2024-01-04,734.7,mmHg
PB,2024-01-04,734.3,mmHg
PB,2024-01-04,733.5,mmHg
PB,2024-01-04,732.6,mmHg
PB,2024-01-04,731.3,mmHg
