Parametro,Fecha,valor,Unidad
,,,
RS,2024-01-01,0,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,11,W/m2
RS,2024-01-01,75,W/m2
RS,2024-01-01,156,W/m2
RS,2024-01-01,216,W/m2
RS,2024-01-01,295,W/m2
RS,2024-01-01,352,W/m2
RS,2024-01-01,353,W/m2
RS,2024-01-01,341,W/m2
RS,2024-01-01,238,W/m2
RS,2024-01-01,94,W/m2
RS,2024-01-01,18,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-01,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,2,W/m2
RS,2024-01-02,9,W/m2
RS,2024-01-02,15,W/m2
RS,2024-01-02,32,W/m2
RS,2024-01-02,47,W/m2
RS,2024-01-02,78,W/m2
RS,2024-01-02,96,W/m2
RS,2024-01-02,167,W/m2
RS,2024-01-02,120,W/m2
RS,2024-01-02,89,W/m2
RS,2024-01-02,13,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,12,W/m2
RS,2024-01-03,114,W/m2
RS,2024-01-03,254,W/m2
RS,2024-01-03,363,W/m2
RS,2024-01-03,451,W/m2
RS,2024-01-03,486,W/m2
RS,2024-01-03,474,W/m2
RS,2024-01-03,412,W/m2
RS,2024-01-03,310,W/m2
RS,2024-01-03,164,W/m2
RS,2024-01-03,35,W/m2
RS,2024-01-03,2,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,5,W/m2
RS,2024-01-04,13,W/m2
RS,2024-01-04,31,W/m2
RS,2024-01-04,48,W/m2
RS,2024-01-04,61,W/m2
RS,2024-01-04,55,W/m2
RS,2024-01-04,76,W/m2
RS,2024-01-04,51,W/m2
RS,2024-01-04,35,W/m2
RS,2024-01-04,20,W/m2
RS,2024-01-04,6,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-04,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,12,W/m2
RS,2024-01-05,115,W/m2
RS,2024-01-05,252,W/m2
RS,2024-01-05,374,W/m2
RS,2024-01-05,459,W/m2
RS,2024-01-05,498,W/m2
RS,2024-01-05,484,W/m2
RS,2024-01-05,422,W/m2
RS,2024-01-05,319,W/m2
RS,2024-01-05,191,W/m2
RS,2024-01-05,53,W/m2
RS,2024-01-05,2,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,11,W/m2
RS,2024-01-06,112,W/m2
RS,2024-01-06,210,W/m2
RS,2024-01-06,333,W/m2
RS,2024-01-06,421,W/m2
RS,2024-01-06,497,W/m2
RS,2024-01-06,430,W/m2
RS,2024-01-06,401,W/m2
RS,2024-01-06,322,W/m2
RS,2024-01-06,184,W/m2
RS,2024-01-06,36,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,6,W/m2
RS,2024-01-07,47,W/m2
RS,2024-01-07,94,W/m2
RS,2024-01-07,123,W/m2
RS,2024-01-07,212,W/m2
RS,2024-01-07,92,W/m2
RS,2024-01-07,57,W/m2
RS,2024-01-07,104,W/m2
RS,2024-01-07,66,W/m2
RS,2024-01-07,24,W/m2
RS,2024-01-07,8,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-07,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,12,W/m2
RS,2024-01-08,117,W/m2
RS,2024-01-08,258,W/m2
RS,2024-01-08,382,W/m2
RS,2024-01-08,466,W/m2
RS,2024-01-08,506,W/m2
RS,2024-01-08,499,W/m2
RS,2024-01-08,441,W/m2
RS,2024-01-08,293,W/m2
RS,2024-01-08,183,W/m2
RS,2024-01-08,42,W/m2
RS,2024-01-08,2,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,7,W/m2
RS,2024-01-09,97,W/m2
RS,2024-01-09,209,W/m2
RS,2024-01-09,354,W/m2
RS,2024-01-09,474,W/m2
RS,2024-01-09,514,W/m2
RS,2024-01-09,463,W/m2
RS,2024-01-09,450,W/m2
RS,2024-01-09,327,W/m2
RS,2024-01-09,181,W/m2
RS,2024-01-09,48,W/m2
RS,2024-01-09,2,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,11,W/m2
RS,2024-01-10,126,W/m2
RS,2024-01-10,276,W/m2
RS,2024-01-10,346,W/m2
RS,2024-01-10,468,W/m2
RS,2024-01-10,459,W/m2
RS,2024-01-10,423,W/m2
RS,2024-01-10,388,W/m2
RS,2024-01-10,237,W/m2
RS,2024-01-10,122,W/m2
RS,2024-01-10,36,W/m2
RS,2024-01-10,2,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,6,W/m2
RS,2024-01-11,63,W/m2
RS,2024-01-11,314,W/m2
RS,2024-01-11,415,W/m2
RS,2024-01-11,486,W/m2
RS,2024-01-11,502,W/m2
RS,2024-01-11,492,W/m2
RS,2024-01-11,466,W/m2
RS,2024-01-11,328,W/m2
RS,2024-01-11,197,W/m2
RS,2024-01-11,57,W/m2
RS,2024-01-11,2,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,1,W/m2
RS,2024-01-12,8,W/m2
RS,2024-01-16,384,W/m2
RS,2024-01-16,354,W/m2
RS,2024-01-16,426,W/m2
RS,2024-01-16,363,W/m2
RS,2024-01-16,223,W/m2
RS,2024-01-16,90,W/m2
RS,2024-01-16,38,W/m2
RS,2024-01-16,37,W/m2
RS,2024-01-16,37,W/m2
RS,2024-01-16,37,W/m2
RS,2024-01-16,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,41,W/m2
RS,2024-01-17,88,W/m2
RS,2024-01-17,280,W/m2
RS,2024-01-17,421,W/m2
RS,2024-01-17,382,W/m2
RS,2024-01-17,510,W/m2
RS,2024-01-17,475,W/m2
RS,2024-01-17,414,W/m2
RS,2024-01-17,306,W/m2
RS,2024-01-17,243,W/m2
RS,2024-01-17,94,W/m2
RS,2024-01-17,38,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-17,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,43,W/m2
RS,2024-01-18,104,W/m2
RS,2024-01-18,202,W/m2
RS,2024-01-18,355,W/m2
RS,2024-01-18,440,W/m2
RS,2024-01-18,515,W/m2
RS,2024-01-18,495,W/m2
RS,2024-01-18,427,W/m2
RS,2024-01-18,332,W/m2
RS,2024-01-18,187,W/m2
RS,2024-01-18,87,W/m2
RS,2024-01-18,39,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-18,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,45,W/m2
RS,2024-01-19,152,W/m2
RS,2024-01-19,308,W/m2
RS,2024-01-19,434,W/m2
RS,2024-01-19,527,W/m2
RS,2024-01-19,571,W/m2
RS,2024-01-19,564,W/m2
RS,2024-01-19,506,W/m2
RS,2024-01-19,397,W/m2
RS,2024-01-19,144,W/m2
RS,2024-01-19,58,W/m2
RS,2024-01-19,38,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
RS,2024-01-19,37,W/m2
