Parametro,Fecha,valor,Unidad
,,,
TMP,2024-01-01,13.88,¡C
TMP,2024-01-01,13.7,¡C
TMP,2024-01-01,13.17,¡C
TMP,2024-01-01,13.56,¡C
TMP,2024-01-01,12.68,¡C
TMP,2024-01-01,13.23,¡C
TMP,2024-01-01,12.94,¡C
TMP,2024-01-01,11.63,¡C
TMP,2024-01-01,13.77,¡C
TMP,2024-01-01,17.21,¡C
TMP,2024-01-01,19.06,¡C
TMP,2024-01-01,21.23,¡C
TMP,2024-01-01,23.3,¡C
TMP,2024-01-01,24.48,¡C
TMP,2024-01-01,25.05,¡C
TMP,2024-01-01,24.09,¡C
TMP,2024-01-01,22.64,¡C
TMP,2024-01-01,21.22,¡C
TMP,2024-01-01,19.7,¡C
TMP,2024-01-01,17.95,¡C
TMP,2024-01-01,16.91,¡C
TMP,2024-01-01,16.24,¡C
TMP,2024-01-01,15.64,¡C
TMP,2024-01-02,15.37,¡C
TMP,2024-01-02,15.26,¡C
TMP,2024-01-02,14.87,¡C
TMP,2024-01-02,14.57,¡C
TMP,2024-01-02,14.51,¡C
TMP,2024-01-02,14.5,¡C
TMP,2024-01-02,14.4,¡C
TMP,2024-01-02,14.18,¡C
TMP,2024-01-02,14.14,¡C
TMP,2024-01-02,14.2,¡C
TMP,2024-01-02,14.14,¡C
TMP,2024-01-02,14.29,¡C
TMP,2024-01-02,14.67,¡C
TMP,2024-01-02,15.23,¡C
TMP,2024-01-02,15.63,¡C
TMP,2024-01-02,16.83,¡C
TMP,2024-01-02,17.25,¡C
TMP,2024-01-02,17.5,¡C
TMP,2024-01-02,17.12,¡C
TMP,2024-01-02,16.69,¡C
TMP,2024-01-02,16.01,¡C
TMP,2024-01-02,15.37,¡C
TMP,2024-01-02,15.04,¡C
TMP,2024-01-02,14.94,¡C
TMP,2024-01-03,14.93,¡C
TMP,2024-01-03,13.34,¡C
TMP,2024-01-03,11.98,¡C
TMP,2024-01-03,11.44,¡C
TMP,2024-01-03,11.2,¡C
TMP,2024-01-03,10.96,¡C
TMP,2024-01-03,11.66,¡C
TMP,2024-01-03,11.44,¡C
TMP,2024-01-03,10.89,¡C
TMP,2024-01-03,12.55,¡C
TMP,2024-01-03,14.47,¡C
TMP,2024-01-03,16.22,¡C
TMP,2024-01-03,17.94,¡C
TMP,2024-01-03,18.68,¡C
TMP,2024-01-03,19.72,¡C
TMP,2024-01-03,20.55,¡C
TMP,2024-01-03,20.32,¡C
TMP,2024-01-03,19.72,¡C
TMP,2024-01-03,18.22,¡C
TMP,2024-01-03,16.74,¡C
TMP,2024-01-03,15.46,¡C
TMP,2024-01-03,14.38,¡C
TMP,2024-01-03,13.8,¡C
TMP,2024-01-03,13.08,¡C
TMP,2024-01-04,12.81,¡C
TMP,2024-01-04,12.22,¡C
TMP,2024-01-04,10.62,¡C
TMP,2024-01-04,9.82,¡C
TMP,2024-01-04,9.5,¡C
TMP,2024-01-04,9.35,¡C
TMP,2024-01-04,9.35,¡C
TMP,2024-01-04,9.34,¡C
TMP,2024-01-04,9.21,¡C
TMP,2024-01-04,9.17,¡C
TMP,2024-01-04,8.96,¡C
TMP,2024-01-04,9.01,¡C
TMP,2024-01-04,9.18,¡C
TMP,2024-01-04,9.39,¡C
TMP,2024-01-04,9.85,¡C
TMP,2024-01-04,10.09,¡C
TMP,2024-01-04,10.33,¡C
TMP,2024-01-04,10.35,¡C
TMP,2024-01-04,10.57,¡C
TMP,2024-01-04,10.87,¡C
TMP,2024-01-04,11.15,¡C
TMP,2024-01-04,11.46,¡C
TMP,2024-01-04,12.16,¡C
TMP,2024-01-04,12.59,¡C
TMP,2024-01-05,12.3,¡C
TMP,2024-01-05,12.43,¡C
TMP,2024-01-05,12.49,¡C
TMP,2024-01-05,12.04,¡C
TMP,2024-01-05,11.51,¡C
TMP,2024-01-05,11.02,¡C
TMP,2024-01-05,10.51,¡C
TMP,2024-01-05,10.39,¡C
TMP,2024-01-05,10.54,¡C
TMP,2024-01-05,11.45,¡C
TMP,2024-01-05,14.09,¡C
TMP,2024-01-05,16.71,¡C
TMP,2024-01-05,18.8,¡C
TMP,2024-01-05,20.35,¡C
TMP,2024-01-05,21.43,¡C
TMP,2024-01-05,22.85,¡C
TMP,2024-01-05,23.55,¡C
TMP,2024-01-05,22.31,¡C
TMP,2024-01-05,20.28,¡C
TMP,2024-01-05,18.28,¡C
TMP,2024-01-05,16.43,¡C
TMP,2024-01-05,15,¡C
TMP,2024-01-05,14.23,¡C
TMP,2024-01-05,12.47,¡C
TMP,2024-01-06,11.2,¡C
TMP,2024-01-06,10.32,¡C
TMP,2024-01-06,10.61,¡C
TMP,2024-01-06,10.55,¡C
TMP,2024-01-06,9.82,¡C
TMP,2024-01-06,9.32,¡C
TMP,2024-01-06,8.81,¡C
TMP,2024-01-06,8.81,¡C
TMP,2024-01-06,8.73,¡C
TMP,2024-01-06,11.13,¡C
TMP,2024-01-06,14.69,¡C
TMP,2024-01-06,18.19,¡C
TMP,2024-01-06,20.09,¡C
TMP,2024-01-06,20.85,¡C
TMP,2024-01-06,20.98,¡C
TMP,2024-01-06,22.15,¡C
TMP,2024-01-06,23.03,¡C
TMP,2024-01-06,22.58,¡C
TMP,2024-01-06,21,¡C
TMP,2024-01-06,19.8,¡C
TMP,2024-01-06,17.54,¡C
TMP,2024-01-06,16.03,¡C
TMP,2024-01-06,15.22,¡C
TMP,2024-01-06,14.81,¡C
TMP,2024-01-07,14.17,¡C
TMP,2024-01-07,13.3,¡C
TMP,2024-01-07,13.2,¡C
TMP,2024-01-07,13.4,¡C
TMP,2024-01-07,13.29,¡C
TMP,2024-01-07,12.43,¡C
TMP,2024-01-07,12.33,¡C
TMP,2024-01-07,12.11,¡C
TMP,2024-01-07,12.26,¡C
TMP,2024-01-07,12.37,¡C
TMP,2024-01-07,13.82,¡C
