Parametro,Fecha,valor,Unidad
,,,
VV,2024-01-01,0.889,m/s
VV,2024-01-01,0.583,m/s
VV,2024-01-01,0.722,m/s
VV,2024-01-01,1.25,m/s
VV,2024-01-01,1.083,m/s
VV,2024-01-01,1.25,m/s
VV,2024-01-01,2.278,m/s
VV,2024-01-01,1.528,m/s
VV,2024-01-01,2.111,m/s
VV,2024-01-01,2.611,m/s
VV,2024-01-01,2.778,m/s
VV,2024-01-01,1.972,m/s
VV,2024-01-01,1.056,m/s
VV,2024-01-01,0.917,m/s
VV,2024-01-01,0.889,m/s
VV,2024-01-01,1.861,m/s
VV,2024-01-01,2,m/s
VV,2024-01-01,1.972,m/s
VV,2024-01-01,1.25,m/s
VV,2024-01-01,0.722,m/s
VV,2024-01-01,1.056,m/s
VV,2024-01-01,1.139,m/s
VV,2024-01-01,0.806,m/s
VV,2024-01-02,1.139,m/s
VV,2024-01-02,1.333,m/s
VV,2024-01-02,1.556,m/s
VV,2024-01-02,0.639,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,1.556,m/s
VV,2024-01-02,2.306,m/s
VV,2024-01-02,1.639,m/s
VV,2024-01-02,0.639,m/s
VV,2024-01-02,1.056,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,1.361,m/s
VV,2024-01-02,0.833,m/s
VV,2024-01-02,1.111,m/s
VV,2024-01-02,0.694,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.694,m/s
VV,2024-01-02,0.5,m/s
VV,2024-01-02,0.694,m/s
VV,2024-01-02,0.861,m/s
VV,2024-01-03,0.667,m/s
VV,2024-01-03,2.167,m/s
VV,2024-01-03,2.694,m/s
VV,2024-01-03,2.611,m/s
VV,2024-01-03,1.722,m/s
VV,2024-01-03,1,m/s
VV,2024-01-03,2.278,m/s
VV,2024-01-03,1.778,m/s
VV,2024-01-03,1.111,m/s
VV,2024-01-03,2.25,m/s
VV,2024-01-03,2.75,m/s
VV,2024-01-03,2.833,m/s
VV,2024-01-03,2.5,m/s
VV,2024-01-03,2.194,m/s
VV,2024-01-03,1.833,m/s
VV,2024-01-03,1.917,m/s
VV,2024-01-03,2.028,m/s
VV,2024-01-03,3.111,m/s
VV,2024-01-03,3.194,m/s
VV,2024-01-03,2.444,m/s
VV,2024-01-03,1.722,m/s
VV,2024-01-03,0.5,m/s
VV,2024-01-03,1.472,m/s
VV,2024-01-03,0.583,m/s
VV,2024-01-04,0.5,m/s
VV,2024-01-04,1.917,m/s
VV,2024-01-04,3.278,m/s
VV,2024-01-04,3.667,m/s
VV,2024-01-04,2.944,m/s
VV,2024-01-04,1.556,m/s
VV,2024-01-04,1.556,m/s
VV,2024-01-04,1.861,m/s
VV,2024-01-04,2.083,m/s
VV,2024-01-04,2.028,m/s
VV,2024-01-04,2.111,m/s
VV,2024-01-04,2,m/s
VV,2024-01-04,1.806,m/s
VV,2024-01-04,1.028,m/s
VV,2024-01-04,0.611,m/s
VV,2024-01-04,0.5,m/s
VV,2024-01-04,0.5,m/s
VV,2024-01-04,0.5,m/s
VV,2024-01-04,1.333,m/s
VV,2024-01-04,0.778,m/s
VV,2024-01-04,1,m/s
VV,2024-01-04,1.417,m/s
VV,2024-01-04,1.778,m/s
VV,2024-01-04,2.25,m/s
VV,2024-01-05,2.694,m/s
VV,2024-01-05,3.833,m/s
VV,2024-01-05,4.639,m/s
VV,2024-01-05,4.5,m/s
