Parametro,Fecha,valor,Unidad
,,,
DV,2024-01-01,355,°A
DV,2024-01-01,261,°A
DV,2024-01-01,14,°A
DV,2024-01-01,352,°A
DV,2024-01-01,17,°A
DV,2024-01-01,4,°A
DV,2024-01-01,12,°A
DV,2024-01-01,27,°A
DV,2024-01-01,124,°A
DV,2024-01-01,19,°A
DV,2024-01-01,358,°A
DV,2024-01-01,255,°A
DV,2024-01-01,75,°A
DV,2024-01-01,79,°A
DV,2024-01-01,100,°A
DV,2024-01-01,86,°A
DV,2024-01-01,81,°A
DV,2024-01-01,61,°A
DV,2024-01-01,22,°A
DV,2024-01-01,44,°A
DV,2024-01-01,43,°A
DV,2024-01-01,30,°A
DV,2024-01-01,42,°A
DV,2024-01-02,51,°A
DV,2024-01-02,135,°A
DV,2024-01-02,33,°A
DV,2024-01-02,338,°A
DV,2024-01-02,37,°A
DV,2024-01-02,53,°A
DV,2024-01-02,76,°A
DV,2024-01-02,38,°A
DV,2024-01-02,43,°A
DV,2024-01-02,59,°A
DV,2024-01-02,39,°A
DV,2024-01-02,82,°A
DV,2024-01-02,106,°A
DV,2024-01-02,88,°A
DV,2024-01-02,73,°A
DV,2024-01-02,159,°A
DV,2024-01-02,154,°A
DV,2024-01-02,334,°A
DV,2024-01-02,22,°A
DV,2024-01-02,335,°A
DV,2024-01-02,39,°A
DV,2024-01-02,65,°A
DV,2024-01-02,35,°A
DV,2024-01-02,21,°A
DV,2024-01-03,5,°A
DV,2024-01-03,76,°A
DV,2024-01-03,54,°A
DV,2024-01-03,262,°A
DV,2024-01-03,99,°A
DV,2024-01-03,47,°A
DV,2024-01-03,38,°A
DV,2024-01-03,10,°A
DV,2024-01-03,359,°A
DV,2024-01-03,72,°A
DV,2024-01-03,118,°A
DV,2024-01-03,85,°A
DV,2024-01-03,23,°A
DV,2024-01-03,150,°A
DV,2024-01-03,99,°A
DV,2024-01-03,99,°A
DV,2024-01-03,121,°A
DV,2024-01-03,143,°A
DV,2024-01-03,142,°A
DV,2024-01-03,176,°A
DV,2024-01-03,172,°A
DV,2024-01-03,178,°A
DV,2024-01-03,185,°A
DV,2024-01-03,182,°A
DV,2024-01-04,177,°A
DV,2024-01-04,174,°A
DV,2024-01-04,143,°A
DV,2024-01-04,149,°A
DV,2024-01-04,174,°A
DV,2024-01-04,166,°A
DV,2024-01-04,159,°A
DV,2024-01-04,146,°A
DV,2024-01-04,151,°A
DV,2024-01-04,147,°A
DV,2024-01-04,159,°A
DV,2024-01-04,185,°A
DV,2024-01-04,177,°A
DV,2024-01-04,200,°A
DV,2024-01-04,186,°A
DV,2024-01-04,185,°A
DV,2024-01-04,187,°A
DV,2024-01-04,189,°A
DV,2024-01-04,208,°A
DV,2024-01-04,236,°A
DV,2024-01-04,71,°A
DV,2024-01-04,12,°A
DV,2024-01-04,28,°A
DV,2024-01-04,23,°A
DV,2024-01-05,17,°A
DV,2024-01-05,21,°A
DV,2024-01-05,62,°A
