Parametro,Fecha,valor,Unidad
,,,
HR,2024-01-07,-9999,%
HR,2024-01-07,-9999,%
HR,2024-01-07,-9999,%
HR,2024-01-07,-9999,%
HR,2024-01-07,-9999,%
HR,2024-01-07,-9999,%
HR,2024-02-11,14,%
HR,2024-02-11,16,%
HR,2024-02-11,16,%
HR,2024-02-11,16,%
HR,2024-02-11,16,%
HR,2024-02-11,14,%
HR,2024-02-11,12,%
HR,2024-02-11,9,%
HR,2024-02-11,8,%
HR,2024-02-11,7,%
HR,2024-02-11,7,%
HR,2024-02-11,6,%
HR,2024-02-12,6,%
HR,2024-02-12,6,%
HR,2024-02-12,7,%
HR,2024-02-12,6,%
HR,2024-02-12,6,%
HR,2024-02-12,5,%
HR,2024-02-12,4,%
HR,2024-02-12,4,%
HR,2024-02-12,4,%
HR,2024-02-12,5,%
HR,2024-02-12,7,%
HR,2024-02-12,10,%
HR,2024-02-12,12,%
HR,2024-02-12,13,%
HR,2024-02-12,14,%
HR,2024-02-12,15,%
HR,2024-02-12,15,%
HR,2024-02-12,13,%
HR,2024-02-12,10,%
HR,2024-02-12,8,%
HR,2024-02-12,7,%
HR,2024-02-12,7,%
HR,2024-02-12,7,%
HR,2024-02-12,7,%
HR,2024-02-13,6,%
HR,2024-02-13,6,%
HR,2024-02-13,6,%
HR,2024-02-13,6,%
HR,2024-02-13,5,%
HR,2024-02-13,4,%
HR,2024-02-13,2,%
HR,2024-02-13,3,%
HR,2024-02-13,1,%
HR,2024-02-13,3,%
HR,2024-02-13,3,%
HR,2024-02-13,4,%
HR,2024-02-13,8,%
HR,2024-02-13,11,%
HR,2024-02-13,12,%
HR,2024-02-13,12,%
HR,2024-02-13,12,%
HR,2024-02-13,11,%
HR,2024-02-13,10,%
HR,2024-02-13,8,%
HR,2024-02-13,7,%
HR,2024-02-13,7,%
HR,2024-02-13,7,%
HR,2024-02-13,7,%
HR,2024-02-14,8,%
HR,2024-02-14,8,%
HR,2024-02-14,9,%
HR,2024-02-14,10,%
HR,2024-02-14,10,%
HR,2024-02-14,7,%
HR,2024-02-14,7,%
HR,2024-02-14,6,%
HR,2024-02-14,7,%
HR,2024-02-14,9,%
HR,2024-02-14,7,%
HR,2024-02-14,7,%
HR,2024-02-14,9,%
HR,2024-02-14,10,%
HR,2024-02-14,10,%
HR,2024-02-14,10,%
HR,2024-02-14,10,%
HR,2024-02-14,8,%
HR,2024-02-14,8,%
HR,2024-02-14,7,%
HR,2024-02-14,8,%
HR,2024-02-14,8,%
HR,2024-02-14,8,%
HR,2024-02-14,6,%
HR,2024-02-15,6,%
HR,2024-02-15,2,%
HR,2024-02-15,3,%
HR,2024-02-15,5,%
HR,2024-02-15,3,%
HR,2024-02-15,8,%
HR,2024-02-15,12,%
HR,2024-02-15,5,%
HR,2024-02-15,3,%
HR,2024-02-15,1,%
HR,2024-02-15,5,%
HR,2024-02-15,12,%
HR,2024-02-15,16,%
HR,2024-02-15,14,%
HR,2024-02-15,1,%
HR,2024-02-15,16,%
HR,2024-02-16,12,%
HR,2024-02-16,4,%
HR,2024-02-16,5,%
HR,2024-02-16,17,%
HR,2024-02-16,15,%
HR,2024-02-16,12,%
HR,2024-02-16,14,%
HR,2024-02-16,14,%
HR,2024-02-16,14,%
HR,2024-02-16,3,%
HR,2024-02-16,5,%
HR,2024-02-16,16,%
HR,2024-02-16,1,%
HR,2024-02-17,11,%
HR,2024-02-17,10,%
HR,2024-02-17,-9999,%
HR,2024-02-17,11,%
HR,2024-02-17,9,%
HR,2024-02-17,19,%
HR,2024-02-17,27,%
HR,2024-02-17,28,%
HR,2024-02-17,24,%
HR,2024-02-17,25,%
HR,2024-02-17,36,%
HR,2024-02-17,35,%
HR,2024-02-17,28,%
HR,2024-02-17,29,%
HR,2024-02-17,33,%
HR,2024-02-17,45,%
HR,2024-02-17,34,%
HR,2024-02-17,17,%
HR,2024-02-17,17,%
HR,2024-02-17,20,%
HR,2024-02-18,22,%
HR,2024-02-18,19,%
HR,2024-02-18,17,%
HR,2024-02-18,16,%
HR,2024-02-18,16,%
HR,2024-02-18,13,%
HR,2024-02-18,7,%
HR,2024-02-18,6,%
HR,2024-02-18,5,%
HR,2024-02-18,5,%
HR,2024-02-18,5,%
HR,2024-02-18,6,%
HR,2024-02-18,8,%
HR,2024-02-18,8,%
HR,2024-02-18,9,%
HR,2024-02-18,8,%
HR,2024-02-18,8,%
HR,2024-02-18,7,%
HR,2024-02-18,6,%
HR,2024-02-18,5,%
HR,2024-02-18,5,%
HR,2024-02-18,5,%
HR,2024-02-18,5,%
HR,2024-02-18,7,%
HR,2024-02-19,9,%
HR,2024-02-19,5,%
HR,2024-02-19,2,%
HR,2024-02-19,2,%
HR,2024-02-19,1,%
HR,2024-02-19,11,%
HR,2024-02-19,16,%
HR,2024-02-19,10,%
HR,2024-02-19,6,%
HR,2024-02-19,7,%
HR,2024-02-19,8,%
HR,2024-02-19,10,%
HR,2024-02-19,10,%
HR,2024-02-19,11,%
HR,2024-02-19,10,%
HR,2024-02-19,7,%
HR,2024-02-19,5,%
HR,2024-02-19,5,%
HR,2024-02-19,6,%
HR,2024-02-19,7,%
HR,2024-02-20,6,%
HR,2024-02-20,2,%
HR,2024-02-20,3,%
HR,2024-02-20,6,%
HR,2024-02-20,6,%
HR,2024-02-20,11,%
HR,2024-02-20,9,%
HR,2024-02-20,5,%
HR,2024-02-20,2,%
HR,2024-02-20,3,%
HR,2024-02-20,13,%
HR,2024-02-20,18,%
HR,2024-02-20,17,%
HR,2024-02-20,16,%
HR,2024-02-20,17,%
HR,2024-02-20,16,%
HR,2024-02-20,14,%
HR,2024-02-20,11,%
HR,2024-02-20,8,%
HR,2024-02-20,5,%
HR,2024-02-20,2,%
HR,2024-02-20,7,%
HR,2024-02-21,11,%
HR,2024-02-21,13,%
HR,2024-02-21,9,%
HR,2024-02-21,6,%
HR,2024-02-21,4,%
HR,2024-02-21,6,%
HR,2024-02-21,5,%
HR,2024-02-21,5,%
HR,2024-02-21,11,%
HR,2024-02-21,9,%
HR,2024-02-21,13,%
HR,2024-02-21,16,%
HR,2024-02-21,15,%
HR,2024-02-21,17,%
HR,2024-02-21,17,%
HR,2024-02-21,15,%
HR,2024-02-21,12,%
HR,2024-02-21,9,%
HR,2024-02-21,6,%
HR,2024-02-21,5,%
HR,2024-02-21,8,%
HR,2024-02-22,10,%
HR,2024-02-22,13,%
HR,2024-02-22,16,%
HR,2024-02-22,16,%
