Parametro,Fecha,valor,Unidad
,,,
NOx,2024-01-01,0.086,ppm
NOx,2024-01-01,0.093,ppm
NOx,2024-01-01,0.122,ppm
NOx,2024-01-01,0.108,ppm
NOx,2024-01-01,0.111,ppm
NOx,2024-01-01,0.083,ppm
NOx,2024-01-01,0.047,ppm
NOx,2024-01-01,0.04,ppm
NOx,2024-01-01,0.025,ppm
NOx,2024-01-01,0.025,ppm
NOx,2024-01-01,0.014,ppm
NOx,2024-01-01,0.01,ppm
NOx,2024-01-01,0.008,ppm
NOx,2024-01-01,0.007,ppm
NOx,2024-01-01,0.008,ppm
NOx,2024-01-01,0.008,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.01,ppm
NOx,2024-01-01,0.01,ppm
NOx,2024-01-01,0.015,ppm
NOx,2024-01-01,0.016,ppm
NOx,2024-01-01,0.013,ppm
NOx,2024-01-02,0.02,ppm
NOx,2024-01-02,0.01,ppm
NOx,2024-01-02,0.012,ppm
NOx,2024-01-02,0.01,ppm
NOx,2024-01-02,0.015,ppm
NOx,2024-01-02,0.02,ppm
NOx,2024-01-02,0.016,ppm
NOx,2024-01-02,0.021,ppm
NOx,2024-01-02,0.033,ppm
NOx,2024-01-02,0.036,ppm
NOx,2024-01-02,0.035,ppm
NOx,2024-01-02,0.039,ppm
NOx,2024-01-02,0.045,ppm
NOx,2024-01-02,0.048,ppm
NOx,2024-01-02,0.038,ppm
NOx,2024-01-02,0.023,ppm
NOx,2024-01-02,0.023,ppm
NOx,2024-01-02,0.02,ppm
NOx,2024-01-02,0.025,ppm
NOx,2024-01-02,0.038,ppm
NOx,2024-01-02,0.029,ppm
NOx,2024-01-02,0.059,ppm
NOx,2024-01-02,0.06,ppm
NOx,2024-01-02,0.039,ppm
NOx,2024-01-03,0.025,ppm
NOx,2024-01-03,0.031,ppm
NOx,2024-01-03,0.017,ppm
NOx,2024-01-03,0.013,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.013,ppm
NOx,2024-01-03,0.009,ppm
NOx,2024-01-03,0.016,ppm
NOx,2024-01-03,0.02,ppm
NOx,2024-01-03,0.041,ppm
NOx,2024-01-03,0.049,ppm
NOx,2024-01-03,0.044,ppm
NOx,2024-01-03,0.029,ppm
NOx,2024-01-03,0.013,ppm
NOx,2024-01-03,0.012,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.01,ppm
