Parametro,Fecha,valor,Unidad
,,,
PB,2024-01-01,718,mmHg
PB,2024-01-01,718.1,mmHg
PB,2024-01-01,718.2,mmHg
PB,2024-01-01,718.2,mmHg
PB,2024-01-01,718.2,mmHg
PB,2024-01-01,718.3,mmHg
PB,2024-01-01,718.9,mmHg
PB,2024-01-01,719.4,mmHg
PB,2024-01-01,720.3,mmHg
PB,2024-01-01,720.9,mmHg
PB,2024-01-01,721.3,mmHg
PB,2024-01-01,721.2,mmHg
PB,2024-01-01,720.6,mmHg
PB,2024-01-01,719.9,mmHg
PB,2024-01-01,719.3,mmHg
PB,2024-01-01,719.3,mmHg
PB,2024-01-01,719.5,mmHg
PB,2024-01-01,719.8,mmHg
PB,2024-01-01,720.4,mmHg
PB,2024-01-01,720.7,mmHg
PB,2024-01-01,720.8,mmHg
PB,2024-01-01,720.8,mmHg
PB,2024-01-01,720.6,mmHg
PB,2024-01-02,720,mmHg
PB,2024-01-02,720,mmHg
PB,2024-01-02,720.2,mmHg
PB,2024-01-02,719.9,mmHg
PB,2024-01-02,719.5,mmHg
PB,2024-01-02,719.1,mmHg
PB,2024-01-02,718.9,mmHg
PB,2024-01-02,719,mmHg
PB,2024-01-02,719.2,mmHg
PB,2024-01-02,719.1,mmHg
PB,2024-01-02,719,mmHg
PB,2024-01-02,718.9,mmHg
PB,2024-01-02,718.5,mmHg
PB,2024-01-02,717.4,mmHg
PB,2024-01-02,716.7,mmHg
PB,2024-01-02,715.7,mmHg
PB,2024-01-02,715.2,mmHg
PB,2024-01-02,715.4,mmHg
PB,2024-01-02,715.6,mmHg
PB,2024-01-02,716,mmHg
PB,2024-01-02,716.3,mmHg
PB,2024-01-02,716.6,mmHg
PB,2024-01-02,717,mmHg
PB,2024-01-02,717.4,mmHg
PB,2024-01-03,717.6,mmHg
PB,2024-01-03,717.6,mmHg
PB,2024-01-03,717.7,mmHg
PB,2024-01-03,718,mmHg
PB,2024-01-03,718.3,mmHg
PB,2024-01-03,718.7,mmHg
PB,2024-01-03,718.9,mmHg
PB,2024-01-03,719.4,mmHg
PB,2024-01-03,719.7,mmHg
PB,2024-01-03,720.2,mmHg
PB,2024-01-03,720.5,mmHg
PB,2024-01-03,720.5,mmHg
PB,2024-01-03,720,mmHg
PB,2024-01-03,719.1,mmHg
PB,2024-01-03,718,mmHg
PB,2024-01-03,717.3,mmHg
PB,2024-01-03,717.3,mmHg
PB,2024-01-03,717.2,mmHg
PB,2024-01-03,717.8,mmHg
PB,2024-01-03,718.5,mmHg
PB,2024-01-03,719.1,mmHg
PB,2024-01-03,719.5,mmHg
PB,2024-01-03,719.5,mmHg
PB,2024-01-03,719.4,mmHg
PB,2024-01-04,719.2,mmHg
PB,2024-01-04,718.8,mmHg
PB,2024-01-04,718.5,mmHg
PB,2024-01-04,718.3,mmHg
PB,2024-01-04,718.2,mmHg
PB,2024-01-04,718,mmHg
PB,2024-01-04,717.7,mmHg
PB,2024-01-04,717.7,mmHg
PB,2024-01-04,717.9,mmHg
PB,2024-01-04,718.1,mmHg
PB,2024-01-04,717.9,mmHg
PB,2024-01-04,717.7,mmHg
PB,2024-01-04,717,mmHg
PB,2024-01-04,716.1,mmHg
PB,2024-01-04,714.7,mmHg
PB,2024-01-04,714.1,mmHg
PB,2024-01-04,713.8,mmHg
PB,2024-01-04,713.5,mmHg
PB,2024-01-04,713.3,mmHg
PB,2024-01-04,713.1,mmHg
PB,2024-01-04,713.1,mmHg
PB,2024-01-04,713.2,mmHg
PB,2024-01-04,713.3,mmHg
PB,2024-01-04,713.7,mmHg
PB,2024-01-05,714.1,mmHg
PB,2024-01-05,714.1,mmHg
PB,2024-01-05,714.1,mmHg
PB,2024-01-05,714.1,mmHg
PB,2024-01-05,714,mmHg
PB,2024-01-05,714,mmHg
PB,2024-01-05,714,mmHg
PB,2024-01-05,714,mmHg
PB,2024-01-05,714.3,mmHg
PB,2024-01-05,714.7,mmHg
PB,2024-01-05,715,mmHg
PB,2024-01-05,714.8,mmHg
PB,2024-01-05,714.4,mmHg
PB,2024-01-05,713.6,mmHg
PB,2024-01-05,712.7,mmHg
PB,2024-01-05,712.2,mmHg
PB,2024-01-05,712.1,mmHg
PB,2024-01-05,712.2,mmHg
PB,2024-01-05,712.6,mmHg
PB,2024-01-05,713.1,mmHg
PB,2024-01-05,713.8,mmHg
PB,2024-01-05,714.1,mmHg
PB,2024-01-05,714.4,mmHg
PB,2024-01-05,714.3,mmHg
PB,2024-01-06,714,mmHg
PB,2024-01-06,713.8,mmHg
PB,2024-01-06,713.5,mmHg
PB,2024-01-06,713.5,mmHg
PB,2024-01-06,713.6,mmHg
PB,2024-01-06,713.5,mmHg
PB,2024-01-06,713.2,mmHg
PB,2024-01-06,713.8,mmHg
PB,2024-01-06,714.4,mmHg
PB,2024-01-06,715.1,mmHg
PB,2024-01-06,715.7,mmHg
PB,2024-01-06,715.8,mmHg
PB,2024-01-06,715.2,mmHg
PB,2024-01-06,714.3,mmHg
PB,2024-01-06,713.6,mmHg
PB,2024-01-06,713.3,mmHg
PB,2024-01-06,713.5,mmHg
PB,2024-01-06,714,mmHg
PB,2024-01-06,714.8,mmHg
PB,2024-01-06,715.7,mmHg
PB,2024-01-06,716.5,mmHg
PB,2024-01-06,717.4,mmHg
PB,2024-01-06,718,mmHg
PB,2024-01-06,718.2,mmHg
PB,2024-01-07,718.1,mmHg
PB,2024-01-07,718,mmHg
PB,2024-01-07,718,mmHg
PB,2024-01-07,717.9,mmHg
PB,2024-01-07,717.7,mmHg
PB,2024-01-07,717.8,mmHg
PB,2024-01-07,718.1,mmHg
PB,2024-01-07,718.2,mmHg
PB,2024-01-07,718.4,mmHg
PB,2024-01-07,718.7,mmHg
PB,2024-01-07,718.7,mmHg
PB,2024-01-07,717.8,mmHg
PB,2024-01-07,716.6,mmHg
PB,2024-01-07,715.6,mmHg
PB,2024-01-07,714.6,mmHg
PB,2024-01-07,713.9,mmHg
PB,2024-01-07,713.8,mmHg
PB,2024-01-07,713.4,mmHg
