Parametro,Fecha,valor,Unidad
,,,
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,6,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
