Parametro,Fecha,valor,Unidad
,,,
TMP,2024-01-01,14.03,°C
TMP,2024-01-01,13.5,°C
TMP,2024-01-01,13.18,°C
TMP,2024-01-01,13.02,°C
TMP,2024-01-01,12.92,°C
TMP,2024-01-01,12.97,°C
TMP,2024-01-01,12.99,°C
TMP,2024-01-01,12.96,°C
TMP,2024-01-01,12.47,°C
TMP,2024-01-01,14.72,°C
TMP,2024-01-01,18.59,°C
TMP,2024-01-01,21.94,°C
TMP,2024-01-01,21.9,°C
TMP,2024-01-01,21.71,°C
TMP,2024-01-01,22.69,°C
TMP,2024-01-01,22,°C
TMP,2024-01-01,20.59,°C
TMP,2024-01-01,19.04,°C
TMP,2024-01-01,17.18,°C
TMP,2024-01-01,16.22,°C
TMP,2024-01-01,15.67,°C
TMP,2024-01-01,14.92,°C
TMP,2024-01-01,14.53,°C
TMP,2024-01-02,14.68,°C
TMP,2024-01-02,15.26,°C
TMP,2024-01-02,13.99,°C
TMP,2024-01-02,13.33,°C
TMP,2024-01-02,13.45,°C
TMP,2024-01-02,13.42,°C
TMP,2024-01-02,13.31,°C
TMP,2024-01-02,13.16,°C
TMP,2024-01-02,13.19,°C
TMP,2024-01-02,13.39,°C
TMP,2024-01-02,13.87,°C
TMP,2024-01-02,14.08,°C
TMP,2024-01-02,14.26,°C
TMP,2024-01-02,14.98,°C
TMP,2024-01-02,14.81,°C
TMP,2024-01-02,15.93,°C
TMP,2024-01-02,16.63,°C
TMP,2024-01-02,17.2,°C
TMP,2024-01-02,16.77,°C
TMP,2024-01-02,16.39,°C
TMP,2024-01-02,15.5,°C
TMP,2024-01-02,14.58,°C
TMP,2024-01-02,13.16,°C
TMP,2024-01-02,12.08,°C
TMP,2024-01-03,11.67,°C
TMP,2024-01-03,11.24,°C
TMP,2024-01-03,10.36,°C
TMP,2024-01-03,10.8,°C
TMP,2024-01-03,10.82,°C
TMP,2024-01-03,10.44,°C
TMP,2024-01-03,10.43,°C
TMP,2024-01-03,10.73,°C
TMP,2024-01-03,10.85,°C
TMP,2024-01-03,12.26,°C
TMP,2024-01-03,13.86,°C
TMP,2024-01-03,15.97,°C
TMP,2024-01-03,17.37,°C
TMP,2024-01-03,19.73,°C
TMP,2024-01-03,20.01,°C
TMP,2024-01-03,20.94,°C
TMP,2024-01-03,21,°C
TMP,2024-01-03,20.37,°C
TMP,2024-01-03,18.51,°C
TMP,2024-01-03,16.74,°C
TMP,2024-01-03,15.67,°C
TMP,2024-01-03,14.86,°C
TMP,2024-01-03,14.18,°C
TMP,2024-01-03,13.84,°C
TMP,2024-01-04,13.51,°C
TMP,2024-01-04,13.42,°C
TMP,2024-01-04,11.63,°C
TMP,2024-01-04,10.27,°C
TMP,2024-01-04,9.08,°C
TMP,2024-01-04,8.77,°C
TMP,2024-01-04,8.62,°C
TMP,2024-01-04,8.64,°C
TMP,2024-01-04,8.62,°C
TMP,2024-01-04,8.57,°C
TMP,2024-01-04,8.64,°C
TMP,2024-01-04,8.72,°C
TMP,2024-01-04,9.07,°C
TMP,2024-01-04,9.31,°C
TMP,2024-01-04,9.76,°C
