Parametro,Fecha,valor,Unidad
,,,
VV,2024-01-01,0.806,m/s
VV,2024-01-01,0.167,m/s
VV,2024-01-01,0.694,m/s
VV,2024-01-01,0.361,m/s
VV,2024-01-01,0.472,m/s
VV,2024-01-01,0.278,m/s
VV,2024-01-01,0.889,m/s
VV,2024-01-01,0.389,m/s
VV,2024-01-01,0.667,m/s
VV,2024-01-01,1.278,m/s
VV,2024-01-01,1.361,m/s
VV,2024-01-01,0.694,m/s
VV,2024-01-01,1.972,m/s
VV,2024-01-01,2.361,m/s
VV,2024-01-01,1.917,m/s
VV,2024-01-01,2.611,m/s
VV,2024-01-01,2.778,m/s
VV,2024-01-01,1.889,m/s
VV,2024-01-01,1.278,m/s
VV,2024-01-01,1.361,m/s
VV,2024-01-01,1.444,m/s
VV,2024-01-01,1.556,m/s
VV,2024-01-01,1.222,m/s
VV,2024-01-02,0.722,m/s
VV,2024-01-02,1.722,m/s
VV,2024-01-02,1.194,m/s
VV,2024-01-02,1.083,m/s
VV,2024-01-02,1.028,m/s
VV,2024-01-02,0.833,m/s
VV,2024-01-02,1.056,m/s
VV,2024-01-02,0.722,m/s
VV,2024-01-02,0.667,m/s
VV,2024-01-02,0.389,m/s
VV,2024-01-02,0.333,m/s
VV,2024-01-02,0.806,m/s
VV,2024-01-02,1.028,m/s
VV,2024-01-02,0.667,m/s
VV,2024-01-02,1.611,m/s
VV,2024-01-02,1.194,m/s
VV,2024-01-02,1.083,m/s
VV,2024-01-02,0.25,m/s
VV,2024-01-02,0.278,m/s
VV,2024-01-02,0.528,m/s
VV,2024-01-02,0.917,m/s
VV,2024-01-02,0.722,m/s
VV,2024-01-02,1.083,m/s
VV,2024-01-02,0.75,m/s
VV,2024-01-03,0.333,m/s
VV,2024-01-03,0.806,m/s
VV,2024-01-03,1.083,m/s
VV,2024-01-03,0.5,m/s
VV,2024-01-03,0.583,m/s
VV,2024-01-03,1,m/s
VV,2024-01-03,1.139,m/s
VV,2024-01-03,0.861,m/s
VV,2024-01-03,0.944,m/s
