Parametro,Fecha,valor,Unidad
,,,
DV,2024-01-01,286,°A
DV,2024-01-01,277,°A
DV,2024-01-01,295,°A
DV,2024-01-01,293,°A
DV,2024-01-01,288,°A
DV,2024-01-01,305,°A
DV,2024-01-01,289,°A
DV,2024-01-01,304,°A
DV,2024-01-01,293,°A
DV,2024-01-01,294,°A
DV,2024-01-01,289,°A
DV,2024-01-01,211,°A
DV,2024-01-01,98,°A
DV,2024-01-01,115,°A
DV,2024-01-01,120,°A
DV,2024-01-01,119,°A
DV,2024-01-01,102,°A
DV,2024-01-01,106,°A
DV,2024-01-01,108,°A
DV,2024-01-01,99,°A
DV,2024-01-01,101,°A
DV,2024-01-01,93,°A
DV,2024-01-01,92,°A
DV,2024-01-02,91,°A
DV,2024-01-02,99,°A
DV,2024-01-02,112,°A
DV,2024-01-02,109,°A
DV,2024-01-02,111,°A
DV,2024-01-02,124,°A
DV,2024-01-02,117,°A
DV,2024-01-02,128,°A
DV,2024-01-02,129,°A
DV,2024-01-02,117,°A
DV,2024-01-02,133,°A
DV,2024-01-02,122,°A
DV,2024-01-02,120,°A
DV,2024-01-02,98,°A
DV,2024-01-02,89,°A
DV,2024-01-02,96,°A
DV,2024-01-02,113,°A
DV,2024-01-02,109,°A
DV,2024-01-02,104,°A
DV,2024-01-02,115,°A
DV,2024-01-02,74,°A
DV,2024-01-02,284,°A
DV,2024-01-02,317,°A
DV,2024-01-02,302,°A
DV,2024-01-03,300,°A
DV,2024-01-03,297,°A
DV,2024-01-03,290,°A
DV,2024-01-03,258,°A
DV,2024-01-03,272,°A
DV,2024-01-03,135,°A
DV,2024-01-03,143,°A
DV,2024-01-03,340,°A
DV,2024-01-03,346,°A
DV,2024-01-03,28,°A
DV,2024-01-03,328,°A
DV,2024-01-03,151,°A
DV,2024-01-03,119,°A
DV,2024-01-03,101,°A
DV,2024-01-03,95,°A
DV,2024-01-03,111,°A
DV,2024-01-03,105,°A
DV,2024-01-03,113,°A
DV,2024-01-03,126,°A
DV,2024-01-03,110,°A
DV,2024-01-03,100,°A
DV,2024-01-03,96,°A
DV,2024-01-03,102,°A
DV,2024-01-03,98,°A
DV,2024-01-04,100,°A
DV,2024-01-04,99,°A
DV,2024-01-04,97,°A
DV,2024-01-04,103,°A
DV,2024-01-04,111,°A
DV,2024-01-04,117,°A
DV,2024-01-04,112,°A
DV,2024-01-04,101,°A
DV,2024-01-04,110,°A
DV,2024-01-04,97,°A
DV,2024-01-04,97,°A
DV,2024-01-04,116,°A
DV,2024-01-04,128,°A
DV,2024-01-04,140,°A
DV,2024-01-04,127,°A
DV,2024-01-04,128,°A
DV,2024-01-04,129,°A
DV,2024-01-04,132,°A
DV,2024-01-04,129,°A
DV,2024-01-04,127,°A
DV,2024-01-04,117,°A
DV,2024-01-04,114,°A
DV,2024-01-04,347,°A
DV,2024-01-04,302,°A
DV,2024-01-05,285,°A
DV,2024-01-05,277,°A
DV,2024-01-05,264,°A
DV,2024-01-05,263,°A
DV,2024-01-05,271,°A
DV,2024-01-05,275,°A
DV,2024-01-05,270,°A
DV,2024-01-05,266,°A
DV,2024-01-05,262,°A
DV,2024-01-05,259,°A
DV,2024-01-05,277,°A
DV,2024-01-05,298,°A
DV,2024-01-05,299,°A
DV,2024-01-05,293,°A
DV,2024-01-05,298,°A
DV,2024-01-05,306,°A
DV,2024-01-05,296,°A
DV,2024-01-05,112,°A
DV,2024-01-05,111,°A
DV,2024-01-05,97,°A
DV,2024-01-05,84,°A
DV,2024-01-05,134,°A
DV,2024-01-05,153,°A
DV,2024-01-05,156,°A
DV,2024-01-06,249,°A
DV,2024-01-06,52,°A
DV,2024-01-06,72,°A
DV,2024-01-06,339,°A
DV,2024-01-06,281,°A
DV,2024-01-06,304,°A
DV,2024-01-06,296,°A
DV,2024-01-06,285,°A
DV,2024-01-06,318,°A
DV,2024-01-06,297,°A
DV,2024-01-06,291,°A
DV,2024-01-06,152,°A
DV,2024-01-07,14,°A
DV,2024-01-07,122,°A
DV,2024-01-07,19,°A
DV,2024-01-07,101,°A
DV,2024-01-07,145,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,-9999,°A
DV,2024-01-07,125,°A
DV,2024-01-07,117,°A
DV,2024-01-07,105,°A
DV,2024-01-07,105,°A
DV,2024-01-07,106,°A
DV,2024-01-07,95,°A
DV,2024-01-07,96,°A
DV,2024-01-07,101,°A
DV,2024-01-07,102,°A
DV,2024-01-07,113,°A
DV,2024-01-07,124,°A
DV,2024-01-08,128,°A
DV,2024-01-08,111,°A
DV,2024-01-08,121,°A
DV,2024-01-08,155,°A
DV,2024-01-08,252,°A
DV,2024-01-08,249,°A
DV,2024-01-08,205,°A
DV,2024-01-08,158,°A
DV,2024-01-08,142,°A
DV,2024-01-08,212,°A
DV,2024-01-08,294,°A
DV,2024-01-08,266,°A
DV,2024-01-08,274,°A
DV,2024-01-08,274,°A
DV,2024-01-08,257,°A
DV,2024-01-08,188,°A
DV,2024-01-08,103,°A
DV,2024-01-08,64,°A
DV,2024-01-08,9,°A
DV,2024-01-08,131,°A
DV,2024-01-09,164,°A
DV,2024-01-09,306,°A
DV,2024-01-09,296,°A
DV,2024-01-09,283,°A
DV,2024-01-09,281,°A
DV,2024-01-09,296,°A
DV,2024-01-09,301,°A
DV,2024-01-09,297,°A
DV,2024-01-09,294,°A
DV,2024-01-09,302,°A
DV,2024-01-09,310,°A
DV,2024-01-09,321,°A
DV,2024-01-09,321,°A
DV,2024-01-09,320,°A
DV,2024-01-09,318,°A
DV,2024-01-09,24,°A
DV,2024-01-09,111,°A
DV,2024-01-09,113,°A
DV,2024-01-09,109,°A
DV,2024-01-09,98,°A
DV,2024-01-09,133,°A
DV,2024-01-09,154,°A
DV,2024-01-09,140,°A
DV,2024-01-09,108,°A
DV,2024-01-10,53,°A
DV,2024-01-10,91,°A
DV,2024-01-10,320,°A
DV,2024-01-10,302,°A
DV,2024-01-10,293,°A
DV,2024-01-10,303,°A
DV,2024-01-10,313,°A
DV,2024-01-10,297,°A
DV,2024-01-10,303,°A
DV,2024-01-10,300,°A
DV,2024-01-10,305,°A
DV,2024-01-10,300,°A
DV,2024-01-10,305,°A
DV,2024-01-10,307,°A
DV,2024-01-10,113,°A
DV,2024-01-10,103,°A
DV,2024-01-10,103,°A
DV,2024-01-10,99,°A
DV,2024-01-10,107,°A
DV,2024-01-10,30,°A
DV,2024-01-10,45,°A
DV,2024-01-10,341,°A
DV,2024-01-10,250,°A
DV,2024-01-10,285,°A
DV,2024-01-11,290,°A
DV,2024-01-11,297,°A
DV,2024-01-11,297,°A
DV,2024-01-11,290,°A
DV,2024-01-11,291,°A
DV,2024-01-11,278,°A
DV,2024-01-11,284,°A
DV,2024-01-11,289,°A
DV,2024-01-11,301,°A
DV,2024-01-11,301,°A
DV,2024-01-11,298,°A
DV,2024-01-11,297,°A
DV,2024-01-11,300,°A
DV,2024-01-11,306,°A
DV,2024-01-11,304,°A
DV,2024-01-11,300,°A
DV,2024-01-11,290,°A
DV,2024-01-11,291,°A
DV,2024-01-11,102,°A
DV,2024-01-11,4,°A
DV,2024-01-11,262,°A
DV,2024-01-11,274,°A
DV,2024-01-11,261,°A
DV,2024-01-11,279,°A
DV,2024-01-12,294,°A
DV,2024-01-12,275,°A
DV,2024-01-12,284,°A
DV,2024-01-12,284,°A
DV,2024-01-12,282,°A
DV,2024-01-12,277,°A
DV,2024-01-12,297,°A
DV,2024-01-16,143,°A
DV,2024-01-16,146,°A
DV,2024-01-16,108,°A
DV,2024-01-16,55,°A
DV,2024-01-16,95,°A
DV,2024-01-16,95,°A
DV,2024-01-16,56,°A
DV,2024-01-16,6,°A
DV,2024-01-16,40,°A
DV,2024-01-16,82,°A
DV,2024-01-16,87,°A
DV,2024-01-17,68,°A
DV,2024-01-17,69,°A
DV,2024-01-17,68,°A
DV,2024-01-17,108,°A
DV,2024-01-17,96,°A
DV,2024-01-17,29,°A
DV,2024-01-17,115,°A
DV,2024-01-17,72,°A
DV,2024-01-17,357,°A
DV,2024-01-17,77,°A
DV,2024-01-17,83,°A
DV,2024-01-17,116,°A
DV,2024-01-17,106,°A
DV,2024-01-17,124,°A
DV,2024-01-17,106,°A
DV,2024-01-17,113,°A
DV,2024-01-17,105,°A
DV,2024-01-17,97,°A
DV,2024-01-17,104,°A
DV,2024-01-17,103,°A
DV,2024-01-17,53,°A
DV,2024-01-17,325,°A
DV,2024-01-17,344,°A
DV,2024-01-17,25,°A
DV,2024-01-18,311,°A
DV,2024-01-18,292,°A
DV,2024-01-18,291,°A
DV,2024-01-18,284,°A
DV,2024-01-18,295,°A
DV,2024-01-18,284,°A
DV,2024-01-18,287,°A
DV,2024-01-18,288,°A
DV,2024-01-18,282,°A
DV,2024-01-18,290,°A
DV,2024-01-18,285,°A
DV,2024-01-18,307,°A
DV,2024-01-18,317,°A
DV,2024-01-18,303,°A
DV,2024-01-18,315,°A
DV,2024-01-18,310,°A
DV,2024-01-18,314,°A
DV,2024-01-18,320,°A
DV,2024-01-18,300,°A
DV,2024-01-18,111,°A
DV,2024-01-18,75,°A
DV,2024-01-18,47,°A
DV,2024-01-18,311,°A
DV,2024-01-19,281,°A
DV,2024-01-19,287,°A
DV,2024-01-19,299,°A
DV,2024-01-19,295,°A
DV,2024-01-19,308,°A
DV,2024-01-19,292,°A
DV,2024-01-19,315,°A
DV,2024-01-19,295,°A
DV,2024-01-19,293,°A
DV,2024-01-19,311,°A
DV,2024-01-19,283,°A
DV,2024-01-19,107,°A
DV,2024-01-19,110,°A
DV,2024-01-19,102,°A
DV,2024-01-19,96,°A
DV,2024-01-19,94,°A
DV,2024-01-19,92,°A
DV,2024-01-19,97,°A
DV,2024-01-19,100,°A
DV,2024-01-19,91,°A
DV,2024-01-19,91,°A
DV,2024-01-19,88,°A
DV,2024-01-19,91,°A
DV,2024-01-20,90,°A
DV,2024-01-20,88,°A
DV,2024-01-20,90,°A
DV,2024-01-20,90,°A
DV,2024-01-20,99,°A
DV,2024-01-20,97,°A
DV,2024-01-20,98,°A
DV,2024-01-20,98,°A
DV,2024-01-20,97,°A
DV,2024-01-20,96,°A
DV,2024-01-20,105,°A
DV,2024-01-20,100,°A
DV,2024-01-20,108,°A
DV,2024-01-20,105,°A
DV,2024-01-20,103,°A
DV,2024-01-20,110,°A
DV,2024-01-20,115,°A
DV,2024-01-20,109,°A
DV,2024-01-20,112,°A
DV,2024-01-20,98,°A
DV,2024-01-20,112,°A
DV,2024-01-20,113,°A
DV,2024-01-20,90,°A
DV,2024-01-20,96,°A
DV,2024-01-21,125,°A
DV,2024-01-21,130,°A
DV,2024-01-21,136,°A
DV,2024-01-21,122,°A
DV,2024-01-21,64,°A
DV,2024-01-21,57,°A
DV,2024-01-21,40,°A
DV,2024-01-21,83,°A
DV,2024-01-21,105,°A
DV,2024-01-21,97,°A
DV,2024-01-21,139,°A
DV,2024-01-21,71,°A
DV,2024-01-21,81,°A
DV,2024-01-21,51,°A
DV,2024-01-21,89,°A
DV,2024-01-21,78,°A
DV,2024-01-21,101,°A
DV,2024-01-21,119,°A
DV,2024-01-21,94,°A
DV,2024-01-21,45,°A
DV,2024-01-21,119,°A
DV,2024-01-21,69,°A
DV,2024-01-21,324,°A
DV,2024-01-21,333,°A
DV,2024-01-22,312,°A
DV,2024-01-22,211,°A
DV,2024-01-22,87,°A
DV,2024-01-22,14,°A
DV,2024-01-22,297,°A
DV,2024-01-22,287,°A
DV,2024-01-22,320,°A
DV,2024-01-22,314,°A
DV,2024-01-22,337,°A
DV,2024-01-22,69,°A
DV,2024-01-22,81,°A
DV,2024-01-22,177,°A
DV,2024-01-22,182,°A
DV,2024-01-22,112,°A
DV,2024-01-22,114,°A
DV,2024-01-22,99,°A
DV,2024-01-22,93,°A
DV,2024-01-22,93,°A
DV,2024-01-22,103,°A
DV,2024-01-22,111,°A
DV,2024-01-22,247,°A
DV,2024-01-22,17,°A
DV,2024-01-22,255,°A
DV,2024-01-22,276,°A
DV,2024-01-23,284,°A
DV,2024-01-23,47,°A
DV,2024-01-23,298,°A
DV,2024-01-23,295,°A
DV,2024-01-23,289,°A
DV,2024-01-23,299,°A
DV,2024-01-23,312,°A
DV,2024-01-23,334,°A
DV,2024-01-23,350,°A
DV,2024-01-23,223,°A
DV,2024-01-23,310,°A
DV,2024-01-23,112,°A
DV,2024-01-23,91,°A
DV,2024-01-23,99,°A
DV,2024-01-23,99,°A
DV,2024-01-23,93,°A
DV,2024-01-23,102,°A
DV,2024-01-23,101,°A
DV,2024-01-23,100,°A
DV,2024-01-23,119,°A
DV,2024-01-23,120,°A
DV,2024-01-23,103,°A
DV,2024-01-23,87,°A
DV,2024-01-23,38,°A
DV,2024-01-24,19,°A
DV,2024-01-24,317,°A
DV,2024-01-24,288,°A
DV,2024-01-24,285,°A
DV,2024-01-24,303,°A
DV,2024-01-24,295,°A
DV,2024-01-24,331,°A
DV,2024-01-24,356,°A
DV,2024-01-24,297,°A
DV,2024-01-24,41,°A
DV,2024-01-24,105,°A
DV,2024-01-24,79,°A
DV,2024-01-24,191,°A
DV,2024-01-24,149,°A
DV,2024-01-24,96,°A
DV,2024-01-24,98,°A
DV,2024-01-24,94,°A
DV,2024-01-24,104,°A
DV,2024-01-24,119,°A
DV,2024-01-24,128,°A
DV,2024-01-24,120,°A
DV,2024-01-24,98,°A
DV,2024-01-24,85,°A
DV,2024-01-24,12,°A
DV,2024-01-25,150,°A
DV,2024-01-25,49,°A
DV,2024-01-25,103,°A
DV,2024-01-25,103,°A
DV,2024-01-25,120,°A
DV,2024-01-25,33,°A
DV,2024-01-25,25,°A
DV,2024-01-25,206,°A
DV,2024-01-25,170,°A
DV,2024-01-25,42,°A
DV,2024-01-25,111,°A
DV,2024-01-25,117,°A
DV,2024-01-25,121,°A
DV,2024-01-25,113,°A
DV,2024-01-25,95,°A
DV,2024-01-25,106,°A
DV,2024-01-25,109,°A
DV,2024-01-25,111,°A
DV,2024-01-25,112,°A
DV,2024-01-25,106,°A
DV,2024-01-25,114,°A
DV,2024-01-25,145,°A
DV,2024-01-25,147,°A
DV,2024-01-25,125,°A
DV,2024-01-26,140,°A
DV,2024-01-26,124,°A
DV,2024-01-26,143,°A
DV,2024-01-26,121,°A
DV,2024-01-26,115,°A
DV,2024-01-26,121,°A
DV,2024-01-26,101,°A
