Parametro,Fecha,valor,Unidad
,,,
HR,2024-01-01,53,%
HR,2024-01-01,50,%
HR,2024-01-01,48,%
HR,2024-01-01,48,%
HR,2024-01-01,43,%
HR,2024-01-01,45,%
HR,2024-01-01,42,%
HR,2024-01-01,44,%
HR,2024-01-01,42,%
HR,2024-01-01,40,%
HR,2024-01-01,31,%
HR,2024-01-01,26,%
HR,2024-01-01,29,%
HR,2024-01-01,34,%
HR,2024-01-01,41,%
HR,2024-01-01,44,%
HR,2024-01-01,51,%
HR,2024-01-01,58,%
HR,2024-01-01,63,%
HR,2024-01-01,67,%
HR,2024-01-01,68,%
HR,2024-01-01,72,%
HR,2024-01-01,73,%
HR,2024-01-02,72,%
HR,2024-01-02,75,%
HR,2024-01-02,78,%
HR,2024-01-02,82,%
HR,2024-01-02,85,%
HR,2024-01-02,86,%
HR,2024-01-02,86,%
HR,2024-01-02,87,%
HR,2024-01-02,87,%
HR,2024-01-02,87,%
HR,2024-01-02,88,%
HR,2024-01-02,87,%
HR,2024-01-02,85,%
HR,2024-01-02,80,%
HR,2024-01-02,75,%
HR,2024-01-02,73,%
HR,2024-01-02,71,%
HR,2024-01-02,73,%
HR,2024-01-02,76,%
HR,2024-01-02,78,%
HR,2024-01-02,77,%
HR,2024-01-02,79,%
HR,2024-01-02,81,%
HR,2024-01-02,82,%
HR,2024-01-03,82,%
HR,2024-01-03,83,%
HR,2024-01-03,83,%
HR,2024-01-03,83,%
HR,2024-01-03,80,%
HR,2024-01-03,80,%
HR,2024-01-03,84,%
HR,2024-01-03,86,%
HR,2024-01-03,87,%
HR,2024-01-03,88,%
HR,2024-01-03,88,%
HR,2024-01-03,87,%
HR,2024-01-03,84,%
HR,2024-01-03,67,%
HR,2024-01-03,56,%
HR,2024-01-03,53,%
HR,2024-01-03,50,%
HR,2024-01-03,49,%
HR,2024-01-03,50,%
HR,2024-01-03,53,%
HR,2024-01-03,58,%
HR,2024-01-03,63,%
HR,2024-01-03,64,%
HR,2024-01-03,61,%
HR,2024-01-04,59,%
HR,2024-01-04,61,%
HR,2024-01-04,62,%
HR,2024-01-04,65,%
