Parametro,Fecha,valor,Unidad
,,,
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.006,ppm
NO,2024-01-02,0.006,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.007,ppm
NO,2024-01-02,0.019,ppm
NO,2024-01-02,0.018,ppm
NO,2024-01-02,0.013,ppm
NO,2024-01-03,0.009,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.016,ppm
NO,2024-01-03,0.017,ppm
NO,2024-01-03,0.027,ppm
NO,2024-01-03,0.018,ppm
NO,2024-01-03,0.015,ppm
NO,2024-01-03,0.014,ppm
NO,2024-01-03,0.014,ppm
NO,2024-01-03,0.009,ppm
NO,2024-01-03,0.006,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-04,0.002,ppm
NO,2024-01-04,0.002,ppm
NO,2024-01-04,0.002,ppm
NO,2024-01-04,0.002,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.011,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.002,ppm
NO,2024-01-05,0.002,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.008,ppm
NO,2024-01-05,0.004,ppm
NO,2024-01-05,0.003,ppm
NO,2024-01-05,0.008,ppm
NO,2024-01-06,0.026,ppm
NO,2024-01-06,0.011,ppm
NO,2024-01-06,0.006,ppm
NO,2024-01-06,0.005,ppm
NO,2024-01-06,0.008,ppm
NO,2024-01-06,0.01,ppm
NO,2024-01-06,0.021,ppm
NO,2024-01-06,0.01,ppm
NO,2024-01-06,0.019,ppm
