Parametro,Fecha,valor,Unidad
,,,
NOx,2024-01-01,0.016,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.009,ppm
NOx,2024-01-01,0.01,ppm
NOx,2024-01-01,0.007,ppm
NOx,2024-01-01,0.008,ppm
NOx,2024-01-01,0.006,ppm
NOx,2024-01-01,0.006,ppm
NOx,2024-01-01,0.006,ppm
NOx,2024-01-01,0.009,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.009,ppm
NOx,2024-01-01,0.007,ppm
NOx,2024-01-01,0.005,ppm
NOx,2024-01-01,0.004,ppm
NOx,2024-01-01,0.004,ppm
NOx,2024-01-01,0.005,ppm
NOx,2024-01-01,0.005,ppm
NOx,2024-01-01,0.006,ppm
NOx,2024-01-01,0.007,ppm
NOx,2024-01-01,0.007,ppm
NOx,2024-01-01,0.006,ppm
NOx,2024-01-01,0.005,ppm
NOx,2024-01-02,0.005,ppm
NOx,2024-01-02,0.005,ppm
NOx,2024-01-02,0.005,ppm
NOx,2024-01-02,0.004,ppm
NOx,2024-01-02,0.004,ppm
NOx,2024-01-02,0.005,ppm
NOx,2024-01-02,0.006,ppm
NOx,2024-01-02,0.006,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.01,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.016,ppm
NOx,2024-01-02,0.028,ppm
NOx,2024-01-02,0.026,ppm
NOx,2024-01-02,0.02,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.008,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.005,ppm
NOx,2024-01-03,0.021,ppm
NOx,2024-01-03,0.021,ppm
NOx,2024-01-03,0.031,ppm
NOx,2024-01-03,0.023,ppm
NOx,2024-01-03,0.02,ppm
NOx,2024-01-03,0.019,ppm
NOx,2024-01-03,0.023,ppm
NOx,2024-01-03,0.016,ppm
NOx,2024-01-03,0.012,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.008,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.007,ppm
NOx,2024-01-03,0.008,ppm
NOx,2024-01-03,0.006,ppm
NOx,2024-01-04,0.005,ppm
NOx,2024-01-04,0.004,ppm
NOx,2024-01-04,0.004,ppm
NOx,2024-01-04,0.005,ppm
NOx,2024-01-04,0.006,ppm
NOx,2024-01-04,0.005,ppm
NOx,2024-01-04,0.006,ppm
NOx,2024-01-04,0.006,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.011,ppm
NOx,2024-01-04,0.012,ppm
NOx,2024-01-04,0.012,ppm
NOx,2024-01-04,0.011,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.011,ppm
NOx,2024-01-04,0.013,ppm
NOx,2024-01-04,0.018,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-05,0.007,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.004,ppm
NOx,2024-01-05,0.004,ppm
NOx,2024-01-05,0.004,ppm
NOx,2024-01-05,0.004,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.005,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.006,ppm
NOx,2024-01-05,0.008,ppm
NOx,2024-01-05,0.01,ppm
NOx,2024-01-05,0.017,ppm
NOx,2024-01-05,0.021,ppm
NOx,2024-01-05,0.013,ppm
NOx,2024-01-05,0.012,ppm
NOx,2024-01-05,0.018,ppm
NOx,2024-01-06,0.036,ppm
NOx,2024-01-06,0.02,ppm
NOx,2024-01-06,0.013,ppm
NOx,2024-01-06,0.013,ppm
NOx,2024-01-06,0.015,ppm
NOx,2024-01-06,0.017,ppm
NOx,2024-01-06,0.028,ppm
NOx,2024-01-06,0.017,ppm
NOx,2024-01-06,0.026,ppm
NOx,2024-01-06,0.021,ppm
NOx,2024-01-06,0.016,ppm
NOx,2024-01-06,0.023,ppm
NOx,2024-01-07,0.034,ppm
NOx,2024-01-07,0.033,ppm
NOx,2024-01-07,0.016,ppm
NOx,2024-01-07,0.012,ppm
NOx,2024-01-07,0.012,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,-9.999,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.008,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.007,ppm
NOx,2024-01-07,0.006,ppm
NOx,2024-01-07,0.005,ppm
NOx,2024-01-07,0.005,ppm
NOx,2024-01-07,0.005,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.009,ppm
NOx,2024-01-08,0.031,ppm
NOx,2024-01-08,0.031,ppm
NOx,2024-01-08,0.023,ppm
NOx,2024-01-08,0.012,ppm
NOx,2024-01-08,0.008,ppm
NOx,2024-01-08,0.011,ppm
NOx,2024-01-08,0.005,ppm
NOx,2024-01-08,0.005,ppm
NOx,2024-01-08,0.006,ppm
NOx,2024-01-08,0.007,ppm
NOx,2024-01-08,0.007,ppm
NOx,2024-01-08,0.009,ppm
NOx,2024-01-08,0.019,ppm
NOx,2024-01-08,0.014,ppm
NOx,2024-01-09,0.014,ppm
NOx,2024-01-09,0.01,ppm
NOx,2024-01-09,0.004,ppm
NOx,2024-01-09,0.003,ppm
NOx,2024-01-09,0.003,ppm
NOx,2024-01-09,0.003,ppm
NOx,2024-01-09,0.005,ppm
NOx,2024-01-09,0.004,ppm
NOx,2024-01-09,0.006,ppm
NOx,2024-01-09,0.006,ppm
NOx,2024-01-09,0.005,ppm
NOx,2024-01-09,0.004,ppm
NOx,2024-01-09,0.005,ppm
NOx,2024-01-09,0.005,ppm
NOx,2024-01-09,0.006,ppm
NOx,2024-01-09,0.007,ppm
NOx,2024-01-09,0.01,ppm
NOx,2024-01-09,0.009,ppm
NOx,2024-01-09,0.011,ppm
NOx,2024-01-09,0.014,ppm
NOx,2024-01-09,0.011,ppm
NOx,2024-01-09,0.013,ppm
NOx,2024-01-09,0.016,ppm
NOx,2024-01-09,0.021,ppm
NOx,2024-01-10,0.019,ppm
NOx,2024-01-10,0.022,ppm
NOx,2024-01-10,0.015,ppm
NOx,2024-01-10,0.012,ppm
NOx,2024-01-10,0.009,ppm
NOx,2024-01-10,0.01,ppm
NOx,2024-01-10,0.023,ppm
NOx,2024-01-10,0.014,ppm
NOx,2024-01-10,0.016,ppm
NOx,2024-01-10,0.015,ppm
NOx,2024-01-10,0.014,ppm
NOx,2024-01-10,0.011,ppm
NOx,2024-01-10,0.008,ppm
NOx,2024-01-10,0.007,ppm
NOx,2024-01-10,0.008,ppm
NOx,2024-01-10,0.012,ppm
NOx,2024-01-10,0.016,ppm
NOx,2024-01-10,0.021,ppm
NOx,2024-01-10,0.032,ppm
NOx,2024-01-10,0.037,ppm
NOx,2024-01-10,0.037,ppm
NOx,2024-01-10,0.061,ppm
NOx,2024-01-10,0.105,ppm
NOx,2024-01-10,0.081,ppm
NOx,2024-01-11,0.039,ppm
NOx,2024-01-11,0.023,ppm
NOx,2024-01-11,0.018,ppm
NOx,2024-01-11,0.015,ppm
NOx,2024-01-11,0.015,ppm
NOx,2024-01-11,0.016,ppm
NOx,2024-01-11,0.019,ppm
NOx,2024-01-11,0.018,ppm
NOx,2024-01-11,0.019,ppm
NOx,2024-01-11,0.016,ppm
NOx,2024-01-11,0.011,ppm
NOx,2024-01-11,0.008,ppm
NOx,2024-01-11,0.007,ppm
NOx,2024-01-11,0.006,ppm
NOx,2024-01-11,0.006,ppm
NOx,2024-01-11,0.006,ppm
NOx,2024-01-11,0.006,ppm
NOx,2024-01-11,0.007,ppm
NOx,2024-01-11,0.015,ppm
NOx,2024-01-11,0.035,ppm
NOx,2024-01-11,0.069,ppm
