Parametro,Fecha,valor,Unidad
,,,
PB,2024-01-01,702.7,mmHg
PB,2024-01-01,702.9,mmHg
PB,2024-01-01,702.9,mmHg
PB,2024-01-01,703,mmHg
PB,2024-01-01,703,mmHg
PB,2024-01-01,703.1,mmHg
PB,2024-01-01,703.4,mmHg
PB,2024-01-01,703.9,mmHg
PB,2024-01-01,704.6,mmHg
PB,2024-01-01,705.3,mmHg
PB,2024-01-01,705.7,mmHg
PB,2024-01-01,705.7,mmHg
PB,2024-01-01,705,mmHg
PB,2024-01-01,704.2,mmHg
PB,2024-01-01,703.7,mmHg
PB,2024-01-01,703.8,mmHg
PB,2024-01-01,703.8,mmHg
PB,2024-01-01,703.9,mmHg
PB,2024-01-01,704.4,mmHg
PB,2024-01-01,704.6,mmHg
PB,2024-01-01,704.6,mmHg
PB,2024-01-01,704.5,mmHg
PB,2024-01-01,704.4,mmHg
PB,2024-01-02,703.8,mmHg
PB,2024-01-02,704.1,mmHg
PB,2024-01-02,704.2,mmHg
PB,2024-01-02,703.9,mmHg
PB,2024-01-02,703.5,mmHg
PB,2024-01-02,703.1,mmHg
PB,2024-01-02,702.9,mmHg
PB,2024-01-02,703.2,mmHg
PB,2024-01-02,703.3,mmHg
PB,2024-01-02,703.1,mmHg
PB,2024-01-02,703,mmHg
PB,2024-01-02,703,mmHg
PB,2024-01-02,702.5,mmHg
PB,2024-01-02,701.5,mmHg
PB,2024-01-02,700.8,mmHg
PB,2024-01-02,699.7,mmHg
PB,2024-01-02,699.3,mmHg
PB,2024-01-02,699.7,mmHg
PB,2024-01-02,700.1,mmHg
PB,2024-01-02,700.5,mmHg
PB,2024-01-02,700.8,mmHg
PB,2024-01-02,701.1,mmHg
PB,2024-01-02,701.4,mmHg
PB,2024-01-02,701.8,mmHg
PB,2024-01-03,701.9,mmHg
PB,2024-01-03,701.9,mmHg
PB,2024-01-03,701.9,mmHg
PB,2024-01-03,701.9,mmHg
PB,2024-01-03,702.3,mmHg
PB,2024-01-03,702.7,mmHg
PB,2024-01-03,703,mmHg
PB,2024-01-03,703.5,mmHg
PB,2024-01-03,703.9,mmHg
PB,2024-01-03,704.5,mmHg
PB,2024-01-03,704.8,mmHg
PB,2024-01-03,704.7,mmHg
PB,2024-01-03,704.1,mmHg
PB,2024-01-03,703.2,mmHg
PB,2024-01-03,702.1,mmHg
