Parametro,Fecha,valor,Unidad
,,,
TMP,2024-01-01,13.1,°C
TMP,2024-01-01,12.72,°C
TMP,2024-01-01,12.83,°C
TMP,2024-01-01,12.81,°C
TMP,2024-01-01,13.37,°C
TMP,2024-01-01,12.59,°C
TMP,2024-01-01,13.15,°C
TMP,2024-01-01,12.4,°C
TMP,2024-01-01,13.28,°C
TMP,2024-01-01,15.43,°C
TMP,2024-01-01,19.63,°C
TMP,2024-01-01,22.39,°C
TMP,2024-01-01,21.68,°C
TMP,2024-01-01,21.06,°C
TMP,2024-01-01,20.99,°C
TMP,2024-01-01,20.77,°C
TMP,2024-01-01,20.02,°C
TMP,2024-01-01,18.68,°C
TMP,2024-01-01,17.11,°C
TMP,2024-01-01,16.14,°C
TMP,2024-01-01,16.03,°C
TMP,2024-01-01,16.09,°C
TMP,2024-01-01,15.74,°C
TMP,2024-01-02,15.13,°C
TMP,2024-01-02,14.79,°C
TMP,2024-01-02,14.56,°C
TMP,2024-01-02,14.07,°C
TMP,2024-01-02,13.68,°C
TMP,2024-01-02,13.71,°C
TMP,2024-01-02,13.79,°C
TMP,2024-01-02,13.77,°C
TMP,2024-01-02,13.79,°C
TMP,2024-01-02,13.72,°C
TMP,2024-01-02,13.9,°C
TMP,2024-01-02,14.39,°C
TMP,2024-01-02,14.88,°C
TMP,2024-01-02,16.29,°C
TMP,2024-01-02,16.48,°C
TMP,2024-01-02,17.16,°C
TMP,2024-01-02,17.29,°C
TMP,2024-01-02,16.56,°C
TMP,2024-01-02,15.81,°C
TMP,2024-01-02,15.6,°C
TMP,2024-01-02,15.36,°C
TMP,2024-01-02,14.58,°C
TMP,2024-01-02,13.73,°C
TMP,2024-01-02,13,°C
TMP,2024-01-03,12.3,°C
TMP,2024-01-03,11.94,°C
TMP,2024-01-03,11.76,°C
TMP,2024-01-03,12.37,°C
TMP,2024-01-03,12.99,°C
TMP,2024-01-03,11.32,°C
TMP,2024-01-03,9.26,°C
TMP,2024-01-03,9.78,°C
TMP,2024-01-03,9.92,°C
TMP,2024-01-03,10.09,°C
TMP,2024-01-03,10.67,°C
TMP,2024-01-03,12.22,°C
TMP,2024-01-03,15.07,°C
TMP,2024-01-03,17.19,°C
TMP,2024-01-03,18.48,°C
TMP,2024-01-03,18.48,°C
TMP,2024-01-03,18.44,°C
TMP,2024-01-03,18.28,°C
TMP,2024-01-03,17.38,°C
TMP,2024-01-03,15.98,°C
TMP,2024-01-03,15.12,°C
TMP,2024-01-03,14.52,°C
TMP,2024-01-03,13.87,°C
TMP,2024-01-03,13.26,°C
TMP,2024-01-04,12.71,°C
TMP,2024-01-04,12.3,°C
TMP,2024-01-04,12.18,°C
TMP,2024-01-04,11.56,°C
TMP,2024-01-04,9.78,°C
TMP,2024-01-04,8.7,°C
TMP,2024-01-04,8.28,°C
TMP,2024-01-04,8.2,°C
TMP,2024-01-04,8.24,°C
TMP,2024-01-04,8.18,°C
TMP,2024-01-04,8.3,°C
TMP,2024-01-04,8.32,°C
TMP,2024-01-04,8.54,°C
TMP,2024-01-04,9.09,°C
TMP,2024-01-04,9.6,°C
TMP,2024-01-04,10.16,°C
TMP,2024-01-04,10.17,°C
TMP,2024-01-04,10,°C
TMP,2024-01-04,9.73,°C
TMP,2024-01-04,9.82,°C
TMP,2024-01-04,10.2,°C
TMP,2024-01-04,10.47,°C
TMP,2024-01-04,10.61,°C
TMP,2024-01-04,10.86,°C
TMP,2024-01-05,12.09,°C
TMP,2024-01-05,12.4,°C
TMP,2024-01-05,11.45,°C
TMP,2024-01-05,11.59,°C
TMP,2024-01-05,11.51,°C
TMP,2024-01-05,11.23,°C
TMP,2024-01-05,10.95,°C
TMP,2024-01-05,10.86,°C
TMP,2024-01-05,11.23,°C
TMP,2024-01-05,12.08,°C
TMP,2024-01-05,13.48,°C
TMP,2024-01-05,14.74,°C
TMP,2024-01-05,16.63,°C
TMP,2024-01-05,18.86,°C
TMP,2024-01-05,20.25,°C
TMP,2024-01-05,21.65,°C
TMP,2024-01-05,23.23,°C
TMP,2024-01-05,22.26,°C
TMP,2024-01-05,19.34,°C
TMP,2024-01-05,17.71,°C
TMP,2024-01-05,16.55,°C
TMP,2024-01-05,15.09,°C
TMP,2024-01-05,14.57,°C
TMP,2024-01-05,13.73,°C
TMP,2024-01-06,12.44,°C
TMP,2024-01-06,10.98,°C
TMP,2024-01-06,9.98,°C
TMP,2024-01-06,9.98,°C
TMP,2024-01-06,9.66,°C
TMP,2024-01-06,8.94,°C
TMP,2024-01-06,8.84,°C
TMP,2024-01-06,8.58,°C
TMP,2024-01-06,8.35,°C
TMP,2024-01-06,10.55,°C
TMP,2024-01-06,13.77,°C
TMP,2024-01-06,14.65,°C
TMP,2024-01-07,13.08,°C
TMP,2024-01-07,13.21,°C
TMP,2024-01-07,12.57,°C
TMP,2024-01-07,12.11,°C
