Parametro,Fecha,valor,Unidad
,,,
VV,2024-01-01,1.444,m/s
VV,2024-01-01,1.889,m/s
VV,2024-01-01,1.778,m/s
VV,2024-01-01,2.028,m/s
VV,2024-01-01,2.083,m/s
VV,2024-01-01,1.528,m/s
VV,2024-01-01,2.167,m/s
VV,2024-01-01,2.417,m/s
VV,2024-01-01,2.611,m/s
VV,2024-01-01,1.389,m/s
VV,2024-01-01,1.278,m/s
VV,2024-01-01,0.889,m/s
VV,2024-01-01,2.361,m/s
VV,2024-01-01,3.5,m/s
VV,2024-01-01,4.944,m/s
VV,2024-01-01,4.833,m/s
VV,2024-01-01,4.444,m/s
VV,2024-01-01,3.806,m/s
VV,2024-01-01,4.222,m/s
VV,2024-01-01,4,m/s
VV,2024-01-01,3.778,m/s
VV,2024-01-01,4.361,m/s
VV,2024-01-01,4.472,m/s
VV,2024-01-02,4.694,m/s
VV,2024-01-02,4,m/s
VV,2024-01-02,3.444,m/s
VV,2024-01-02,3.028,m/s
VV,2024-01-02,2.583,m/s
VV,2024-01-02,2.583,m/s
VV,2024-01-02,2.556,m/s
VV,2024-01-02,2,m/s
VV,2024-01-02,1.972,m/s
VV,2024-01-02,1.639,m/s
VV,2024-01-02,2.361,m/s
VV,2024-01-02,2.028,m/s
VV,2024-01-02,2.694,m/s
VV,2024-01-02,2.222,m/s
VV,2024-01-02,2.778,m/s
VV,2024-01-02,3.083,m/s
VV,2024-01-02,3.417,m/s
VV,2024-01-02,3.278,m/s
VV,2024-01-02,2.778,m/s
VV,2024-01-02,1.806,m/s
VV,2024-01-02,0.806,m/s
VV,2024-01-02,0.861,m/s
VV,2024-01-02,0.944,m/s
VV,2024-01-02,1.472,m/s
VV,2024-01-03,1.389,m/s
VV,2024-01-03,2.278,m/s
VV,2024-01-03,2.333,m/s
VV,2024-01-03,2.583,m/s
VV,2024-01-03,2.833,m/s
VV,2024-01-03,1.528,m/s
VV,2024-01-03,0.944,m/s
VV,2024-01-03,0.778,m/s
VV,2024-01-03,0.833,m/s
VV,2024-01-03,1.056,m/s
VV,2024-01-03,1.028,m/s
VV,2024-01-03,1.083,m/s
VV,2024-01-03,1.556,m/s
VV,2024-01-03,1.861,m/s
VV,2024-01-03,2.444,m/s
VV,2024-01-03,3.528,m/s
VV,2024-01-03,4.083,m/s
VV,2024-01-03,4.056,m/s
VV,2024-01-03,4.028,m/s
VV,2024-01-03,4.222,m/s
VV,2024-01-03,4.472,m/s
VV,2024-01-03,4.222,m/s
VV,2024-01-03,3.667,m/s
VV,2024-01-03,4.583,m/s
VV,2024-01-04,4.389,m/s
VV,2024-01-04,4,m/s
VV,2024-01-04,4.333,m/s
VV,2024-01-04,4.111,m/s
VV,2024-01-04,4.194,m/s
VV,2024-01-04,3.472,m/s
VV,2024-01-04,2.889,m/s
VV,2024-01-04,2.722,m/s
VV,2024-01-04,2.722,m/s
VV,2024-01-04,2.333,m/s
VV,2024-01-04,3.278,m/s
VV,2024-01-04,3.528,m/s
VV,2024-01-04,3.056,m/s
VV,2024-01-04,3.778,m/s
VV,2024-01-04,4.222,m/s
VV,2024-01-04,3.889,m/s
VV,2024-01-04,4.028,m/s
VV,2024-01-04,4.083,m/s
VV,2024-01-04,4,m/s
VV,2024-01-04,2.917,m/s
VV,2024-01-04,1.694,m/s
VV,2024-01-04,0.833,m/s
VV,2024-01-04,1.222,m/s
VV,2024-01-04,2.944,m/s
VV,2024-01-05,3.222,m/s
VV,2024-01-05,3.278,m/s
VV,2024-01-05,4.028,m/s
VV,2024-01-05,3.889,m/s
VV,2024-01-05,3.056,m/s
VV,2024-01-05,3.694,m/s
VV,2024-01-05,3.028,m/s
VV,2024-01-05,3.444,m/s
VV,2024-01-05,4.25,m/s
VV,2024-01-05,3.917,m/s
VV,2024-01-05,4.389,m/s
VV,2024-01-05,5.611,m/s
VV,2024-01-05,6.111,m/s
VV,2024-01-05,6.028,m/s
VV,2024-01-05,5.667,m/s
VV,2024-01-05,4.639,m/s
VV,2024-01-05,3.667,m/s
VV,2024-01-05,3.972,m/s
VV,2024-01-05,3.444,m/s
VV,2024-01-05,1.417,m/s
VV,2024-01-05,1.472,m/s
VV,2024-01-05,1.694,m/s
VV,2024-01-05,2.389,m/s
VV,2024-01-05,1.611,m/s
VV,2024-01-06,0.667,m/s
VV,2024-01-06,1.139,m/s
VV,2024-01-06,0.778,m/s
VV,2024-01-06,0.861,m/s
VV,2024-01-06,0.972,m/s
VV,2024-01-06,1.278,m/s
VV,2024-01-06,1.167,m/s
VV,2024-01-06,1.917,m/s
VV,2024-01-06,1.222,m/s
VV,2024-01-06,1.917,m/s
VV,2024-01-06,1.917,m/s
VV,2024-01-06,0.75,m/s
VV,2024-01-07,0.639,m/s
VV,2024-01-07,0.056,m/s
VV,2024-01-07,0.972,m/s
VV,2024-01-07,0.528,m/s
VV,2024-01-07,0.611,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,-2777.5,m/s
VV,2024-01-07,4.833,m/s
VV,2024-01-07,3.75,m/s
VV,2024-01-07,3.389,m/s
VV,2024-01-07,2.889,m/s
VV,2024-01-07,3.389,m/s
VV,2024-01-07,4.111,m/s
VV,2024-01-07,3.806,m/s
VV,2024-01-07,4.861,m/s
VV,2024-01-07,4.417,m/s
VV,2024-01-07,3.806,m/s
VV,2024-01-07,3.694,m/s
VV,2024-01-08,2.583,m/s
VV,2024-01-08,1.917,m/s
VV,2024-01-08,1.639,m/s
VV,2024-01-08,0.306,m/s
VV,2024-01-08,0.361,m/s
VV,2024-01-08,0.444,m/s
VV,2024-01-08,0.639,m/s
VV,2024-01-08,1.472,m/s
VV,2024-01-08,1.278,m/s
VV,2024-01-08,1.028,m/s
VV,2024-01-08,3.028,m/s
VV,2024-01-08,3.528,m/s
VV,2024-01-08,5.611,m/s
VV,2024-01-08,4.528,m/s
VV,2024-01-08,4.417,m/s
VV,2024-01-08,4.861,m/s
VV,2024-01-08,3.306,m/s
VV,2024-01-08,2.528,m/s
VV,2024-01-08,1.389,m/s
VV,2024-01-08,3.778,m/s
VV,2024-01-09,2.083,m/s
VV,2024-01-09,2.444,m/s
VV,2024-01-09,4.944,m/s
VV,2024-01-09,6.361,m/s
VV,2024-01-09,5.944,m/s
VV,2024-01-09,6.361,m/s
VV,2024-01-09,6.444,m/s
VV,2024-01-09,5.444,m/s
VV,2024-01-09,4.917,m/s
VV,2024-01-09,5.083,m/s
VV,2024-01-09,5.139,m/s
VV,2024-01-09,5.361,m/s
VV,2024-01-09,4.694,m/s
VV,2024-01-09,3.528,m/s
VV,2024-01-09,2.889,m/s
VV,2024-01-09,2.333,m/s
VV,2024-01-09,4.139,m/s
VV,2024-01-09,4.306,m/s
VV,2024-01-09,3.222,m/s
VV,2024-01-09,2.389,m/s
VV,2024-01-09,2.333,m/s
VV,2024-01-09,1.944,m/s
VV,2024-01-09,1.556,m/s
VV,2024-01-09,1,m/s
VV,2024-01-10,1.083,m/s
VV,2024-01-10,1.139,m/s
VV,2024-01-10,0.806,m/s
VV,2024-01-10,0.917,m/s
VV,2024-01-10,1.667,m/s
VV,2024-01-10,1.833,m/s
