Parametro,Fecha,valor,Unidad
,,,
DV,2024-01-01,286,°A
DV,2024-01-01,295,°A
DV,2024-01-01,308,°A
DV,2024-01-01,302,°A
DV,2024-01-01,293,°A
DV,2024-01-01,273,°A
DV,2024-01-01,169,°A
DV,2024-01-01,240,°A
DV,2024-01-01,303,°A
DV,2024-01-01,318,°A
DV,2024-01-01,315,°A
DV,2024-01-01,317,°A
DV,2024-01-01,315,°A
DV,2024-01-01,312,°A
DV,2024-01-01,346,°A
DV,2024-01-01,341,°A
DV,2024-01-01,120,°A
DV,2024-01-01,107,°A
DV,2024-01-01,146,°A
DV,2024-01-01,187,°A
DV,2024-01-01,172,°A
DV,2024-01-01,160,°A
DV,2024-01-01,167,°A
DV,2024-01-02,169,°A
DV,2024-01-02,157,°A
DV,2024-01-02,183,°A
DV,2024-01-02,196,°A
DV,2024-01-02,148,°A
DV,2024-01-02,115,°A
DV,2024-01-02,152,°A
DV,2024-01-02,155,°A
DV,2024-01-02,150,°A
DV,2024-01-02,143,°A
DV,2024-01-02,136,°A
DV,2024-01-02,119,°A
DV,2024-01-02,71,°A
DV,2024-01-02,22,°A
DV,2024-01-02,12,°A
DV,2024-01-02,4,°A
DV,2024-01-02,87,°A
DV,2024-01-02,87,°A
DV,2024-01-02,51,°A
DV,2024-01-02,231,°A
DV,2024-01-02,226,°A
DV,2024-01-02,206,°A
DV,2024-01-02,41,°A
DV,2024-01-02,325,°A
DV,2024-01-03,326,°A
DV,2024-01-03,317,°A
DV,2024-01-03,320,°A
DV,2024-01-03,318,°A
DV,2024-01-03,316,°A
DV,2024-01-03,322,°A
DV,2024-01-03,324,°A
DV,2024-01-03,314,°A
DV,2024-01-03,330,°A
DV,2024-01-03,339,°A
DV,2024-01-03,329,°A
DV,2024-01-03,330,°A
DV,2024-01-03,337,°A
DV,2024-01-03,333,°A
DV,2024-01-03,5,°A
DV,2024-01-03,2,°A
DV,2024-01-03,104,°A
DV,2024-01-03,125,°A
DV,2024-01-03,136,°A
DV,2024-01-03,136,°A
DV,2024-01-03,168,°A
DV,2024-01-03,184,°A
DV,2024-01-03,188,°A
DV,2024-01-03,191,°A
DV,2024-01-04,173,°A
DV,2024-01-04,113,°A
DV,2024-01-04,114,°A
DV,2024-01-04,120,°A
DV,2024-01-04,139,°A
DV,2024-01-04,109,°A
DV,2024-01-04,115,°A
DV,2024-01-04,127,°A
DV,2024-01-04,128,°A
DV,2024-01-04,144,°A
DV,2024-01-04,143,°A
DV,2024-01-04,145,°A
DV,2024-01-04,154,°A
DV,2024-01-04,189,°A
DV,2024-01-04,166,°A
DV,2024-01-04,161,°A
DV,2024-01-04,173,°A
DV,2024-01-04,189,°A
DV,2024-01-04,236,°A
DV,2024-01-04,240,°A
DV,2024-01-04,33,°A
DV,2024-01-04,8,°A
DV,2024-01-04,357,°A
DV,2024-01-04,319,°A
DV,2024-01-05,328,°A
DV,2024-01-05,325,°A
DV,2024-01-05,326,°A
DV,2024-01-05,325,°A
DV,2024-01-05,335,°A
DV,2024-01-05,333,°A
DV,2024-01-05,330,°A
DV,2024-01-05,344,°A
DV,2024-01-05,342,°A
DV,2024-01-05,337,°A
DV,2024-01-05,339,°A
DV,2024-01-05,341,°A
DV,2024-01-05,359,°A
DV,2024-01-05,2,°A
DV,2024-01-05,347,°A
DV,2024-01-05,6,°A
DV,2024-01-05,57,°A
DV,2024-01-05,127,°A
DV,2024-01-05,133,°A
DV,2024-01-05,118,°A
DV,2024-01-05,203,°A
DV,2024-01-05,193,°A
DV,2024-01-05,207,°A
DV,2024-01-05,254,°A
DV,2024-01-06,261,°A
DV,2024-01-06,294,°A
DV,2024-01-06,10,°A
DV,2024-01-06,297,°A
DV,2024-01-06,305,°A
DV,2024-01-06,299,°A
DV,2024-01-06,256,°A
DV,2024-01-06,309,°A
DV,2024-01-06,298,°A
DV,2024-01-06,328,°A
DV,2024-01-06,348,°A
DV,2024-01-06,349,°A
DV,2024-01-06,25,°A
DV,2024-01-06,112,°A
DV,2024-01-06,124,°A
DV,2024-01-06,132,°A
DV,2024-01-06,110,°A
DV,2024-01-06,156,°A
DV,2024-01-06,199,°A
DV,2024-01-06,76,°A
DV,2024-01-06,102,°A
DV,2024-01-06,316,°A
DV,2024-01-06,258,°A
DV,2024-01-06,277,°A
DV,2024-01-07,313,°A
DV,2024-01-07,121,°A
DV,2024-01-07,197,°A
DV,2024-01-07,63,°A
DV,2024-01-07,103,°A
DV,2024-01-07,202,°A
DV,2024-01-07,285,°A
DV,2024-01-07,13,°A
DV,2024-01-07,134,°A
DV,2024-01-07,131,°A
DV,2024-01-07,120,°A
DV,2024-01-07,126,°A
DV,2024-01-07,170,°A
DV,2024-01-07,228,°A
DV,2024-01-07,291,°A
DV,2024-01-07,130,°A
DV,2024-01-07,133,°A
DV,2024-01-07,132,°A
DV,2024-01-07,133,°A
DV,2024-01-07,131,°A
DV,2024-01-07,124,°A
DV,2024-01-07,110,°A
DV,2024-01-07,118,°A
DV,2024-01-08,87,°A
DV,2024-01-08,75,°A
DV,2024-01-08,294,°A
DV,2024-01-08,315,°A
DV,2024-01-08,320,°A
DV,2024-01-08,319,°A
DV,2024-01-08,310,°A
DV,2024-01-08,288,°A
DV,2024-01-08,280,°A
DV,2024-01-08,306,°A
DV,2024-01-08,302,°A
DV,2024-01-08,31,°A
DV,2024-01-08,77,°A
DV,2024-01-08,103,°A
DV,2024-01-08,129,°A
DV,2024-01-08,119,°A
DV,2024-01-08,108,°A
DV,2024-01-08,175,°A
DV,2024-01-08,186,°A
DV,2024-01-08,313,°A
DV,2024-01-08,315,°A
DV,2024-01-08,329,°A
DV,2024-01-08,337,°A
DV,2024-01-08,321,°A
DV,2024-01-09,310,°A
DV,2024-01-09,314,°A
DV,2024-01-09,343,°A
DV,2024-01-09,326,°A
DV,2024-01-09,325,°A
DV,2024-01-09,279,°A
DV,2024-01-09,118,°A
DV,2024-01-09,194,°A
DV,2024-01-09,179,°A
DV,2024-01-09,146,°A
DV,2024-01-09,159,°A
DV,2024-01-09,165,°A
DV,2024-01-09,181,°A
DV,2024-01-09,190,°A
DV,2024-01-09,144,°A
DV,2024-01-09,134,°A
DV,2024-01-09,148,°A
DV,2024-01-09,151,°A
DV,2024-01-09,152,°A
DV,2024-01-09,149,°A
DV,2024-01-09,183,°A
DV,2024-01-09,172,°A
DV,2024-01-09,127,°A
DV,2024-01-09,183,°A
DV,2024-01-10,217,°A
DV,2024-01-10,20,°A
DV,2024-01-10,335,°A
DV,2024-01-10,315,°A
DV,2024-01-10,320,°A
DV,2024-01-10,314,°A
DV,2024-01-10,318,°A
DV,2024-01-10,325,°A
DV,2024-01-10,335,°A
DV,2024-01-10,327,°A
DV,2024-01-10,320,°A
DV,2024-01-10,167,°A
DV,2024-01-10,173,°A
DV,2024-01-10,140,°A
DV,2024-01-10,88,°A
DV,2024-01-10,45,°A
DV,2024-01-10,84,°A
DV,2024-01-10,134,°A
DV,2024-01-10,149,°A
DV,2024-01-10,152,°A
DV,2024-01-10,175,°A
DV,2024-01-10,294,°A
DV,2024-01-10,247,°A
DV,2024-01-10,312,°A
DV,2024-01-11,300,°A
DV,2024-01-11,311,°A
DV,2024-01-11,316,°A
DV,2024-01-11,324,°A
DV,2024-01-11,315,°A
DV,2024-01-11,300,°A
DV,2024-01-11,255,°A
DV,2024-01-11,240,°A
DV,2024-01-11,137,°A
DV,2024-01-11,279,°A
DV,2024-01-11,218,°A
DV,2024-01-11,159,°A
DV,2024-01-11,256,°A
DV,2024-01-11,346,°A
DV,2024-01-11,1,°A
DV,2024-01-11,14,°A
DV,2024-01-11,208,°A
DV,2024-01-11,181,°A
DV,2024-01-11,185,°A
DV,2024-01-11,186,°A
DV,2024-01-11,192,°A
DV,2024-01-11,171,°A
DV,2024-01-11,338,°A
DV,2024-01-11,322,°A
DV,2024-01-12,300,°A
DV,2024-01-12,299,°A
DV,2024-01-12,303,°A
DV,2024-01-12,264,°A
DV,2024-01-12,349,°A
DV,2024-01-12,254,°A
DV,2024-01-12,327,°A
DV,2024-01-12,298,°A
DV,2024-01-12,297,°A
DV,2024-01-16,333,°A
DV,2024-01-16,325,°A
DV,2024-01-16,323,°A
DV,2024-01-16,310,°A
DV,2024-01-16,319,°A
DV,2024-01-16,268,°A
DV,2024-01-16,226,°A
DV,2024-01-16,202,°A
DV,2024-01-16,193,°A
DV,2024-01-16,136,°A
DV,2024-01-16,115,°A
DV,2024-01-17,201,°A
DV,2024-01-17,195,°A
DV,2024-01-17,194,°A
DV,2024-01-17,189,°A
DV,2024-01-17,179,°A
DV,2024-01-17,172,°A
DV,2024-01-17,193,°A
DV,2024-01-17,158,°A
DV,2024-01-17,154,°A
DV,2024-01-17,194,°A
DV,2024-01-17,156,°A
DV,2024-01-17,140,°A
DV,2024-01-17,146,°A
DV,2024-01-17,131,°A
DV,2024-01-17,135,°A
DV,2024-01-17,117,°A
DV,2024-01-17,121,°A
DV,2024-01-17,132,°A
DV,2024-01-17,116,°A
DV,2024-01-17,117,°A
DV,2024-01-17,124,°A
DV,2024-01-17,137,°A
DV,2024-01-17,272,°A
DV,2024-01-17,294,°A
DV,2024-01-18,316,°A
DV,2024-01-18,291,°A
DV,2024-01-18,302,°A
DV,2024-01-18,297,°A
DV,2024-01-18,293,°A
DV,2024-01-18,312,°A
DV,2024-01-18,309,°A
DV,2024-01-18,292,°A
DV,2024-01-18,308,°A
DV,2024-01-18,297,°A
DV,2024-01-18,301,°A
DV,2024-01-18,211,°A
DV,2024-01-18,137,°A
DV,2024-01-18,161,°A
DV,2024-01-18,100,°A
DV,2024-01-18,173,°A
DV,2024-01-18,138,°A
DV,2024-01-18,120,°A
DV,2024-01-18,132,°A
DV,2024-01-18,146,°A
DV,2024-01-18,183,°A
DV,2024-01-18,188,°A
DV,2024-01-18,279,°A
DV,2024-01-18,293,°A
DV,2024-01-19,274,°A
DV,2024-01-19,303,°A
DV,2024-01-19,280,°A
DV,2024-01-19,309,°A
DV,2024-01-19,301,°A
DV,2024-01-19,314,°A
DV,2024-01-19,287,°A
DV,2024-01-19,290,°A
DV,2024-01-19,299,°A
DV,2024-01-19,42,°A
DV,2024-01-19,53,°A
DV,2024-01-19,242,°A
DV,2024-01-19,145,°A
DV,2024-01-19,131,°A
DV,2024-01-19,98,°A
DV,2024-01-19,92,°A
DV,2024-01-19,96,°A
DV,2024-01-19,102,°A
DV,2024-01-19,114,°A
DV,2024-01-19,155,°A
DV,2024-01-19,135,°A
DV,2024-01-19,151,°A
DV,2024-01-19,152,°A
DV,2024-01-19,150,°A
DV,2024-01-20,151,°A
DV,2024-01-20,140,°A
DV,2024-01-20,115,°A
DV,2024-01-20,73,°A
DV,2024-01-20,90,°A
DV,2024-01-20,132,°A
DV,2024-01-20,151,°A
DV,2024-01-20,140,°A
DV,2024-01-20,148,°A
DV,2024-01-20,154,°A
DV,2024-01-20,135,°A
DV,2024-01-20,148,°A
DV,2024-01-20,146,°A
DV,2024-01-20,144,°A
DV,2024-01-20,134,°A
DV,2024-01-20,133,°A
DV,2024-01-20,93,°A
DV,2024-01-20,104,°A
DV,2024-01-20,92,°A
DV,2024-01-20,87,°A
DV,2024-01-20,115,°A
DV,2024-01-20,113,°A
DV,2024-01-20,137,°A
DV,2024-01-20,149,°A
DV,2024-01-21,145,°A
DV,2024-01-21,127,°A
DV,2024-01-21,132,°A
DV,2024-01-21,149,°A
DV,2024-01-21,119,°A
DV,2024-01-21,322,°A
DV,2024-01-21,10,°A
DV,2024-01-21,355,°A
DV,2024-01-21,51,°A
DV,2024-01-21,87,°A
DV,2024-01-21,117,°A
DV,2024-01-21,131,°A
DV,2024-01-21,204,°A
DV,2024-01-21,102,°A
DV,2024-01-21,114,°A
DV,2024-01-21,124,°A
DV,2024-01-21,96,°A
DV,2024-01-21,104,°A
DV,2024-01-21,139,°A
DV,2024-01-21,159,°A
DV,2024-01-21,143,°A
DV,2024-01-21,151,°A
DV,2024-01-21,136,°A
DV,2024-01-21,316,°A
DV,2024-01-22,115,°A
DV,2024-01-22,175,°A
DV,2024-01-22,87,°A
DV,2024-01-22,192,°A
DV,2024-01-22,328,°A
DV,2024-01-22,15,°A
DV,2024-01-22,349,°A
DV,2024-01-22,161,°A
DV,2024-01-22,158,°A
DV,2024-01-22,53,°A
DV,2024-01-22,264,°A
DV,2024-01-22,31,°A
DV,2024-01-22,24,°A
DV,2024-01-22,40,°A
DV,2024-01-22,92,°A
DV,2024-01-22,100,°A
DV,2024-01-22,141,°A
DV,2024-01-22,193,°A
DV,2024-01-22,234,°A
DV,2024-01-22,249,°A
DV,2024-01-22,319,°A
DV,2024-01-22,256,°A
DV,2024-01-22,290,°A
DV,2024-01-23,309,°A
DV,2024-01-23,201,°A
DV,2024-01-23,249,°A
DV,2024-01-23,311,°A
DV,2024-01-23,311,°A
DV,2024-01-23,241,°A
DV,2024-01-23,313,°A
DV,2024-01-23,271,°A
DV,2024-01-23,306,°A
DV,2024-01-23,324,°A
DV,2024-01-23,349,°A
DV,2024-01-23,96,°A
DV,2024-01-23,90,°A
DV,2024-01-23,102,°A
DV,2024-01-23,111,°A
DV,2024-01-23,92,°A
DV,2024-01-23,63,°A
DV,2024-01-23,27,°A
DV,2024-01-23,295,°A
DV,2024-01-23,308,°A
DV,2024-01-23,305,°A
DV,2024-01-24,302,°A
DV,2024-01-24,336,°A
DV,2024-01-24,108,°A
DV,2024-01-24,129,°A
DV,2024-01-24,243,°A
DV,2024-01-24,242,°A
DV,2024-01-24,152,°A
DV,2024-01-24,116,°A
DV,2024-01-24,43,°A
DV,2024-01-24,328,°A
DV,2024-01-24,330,°A
DV,2024-01-24,334,°A
DV,2024-01-24,349,°A
DV,2024-01-24,350,°A
DV,2024-01-24,9,°A
DV,2024-01-24,78,°A
DV,2024-01-24,95,°A
DV,2024-01-24,36,°A
DV,2024-01-24,318,°A
DV,2024-01-24,318,°A
DV,2024-01-24,315,°A
DV,2024-01-24,320,°A
DV,2024-01-25,318,°A
DV,2024-01-25,316,°A
DV,2024-01-25,327,°A
DV,2024-01-25,312,°A
DV,2024-01-25,328,°A
DV,2024-01-25,327,°A
DV,2024-01-25,309,°A
DV,2024-01-25,173,°A
DV,2024-01-25,116,°A
DV,2024-01-25,112,°A
DV,2024-01-25,157,°A
DV,2024-01-25,128,°A
DV,2024-01-25,109,°A
DV,2024-01-25,140,°A
DV,2024-01-25,131,°A
DV,2024-01-25,125,°A
DV,2024-01-25,134,°A
