Parametro,Fecha,valor,Unidad
,,,
HR,2024-01-01,63,%
HR,2024-01-01,62,%
HR,2024-01-01,62,%
HR,2024-01-01,58,%
HR,2024-01-01,58,%
HR,2024-01-01,56,%
HR,2024-01-01,60,%
HR,2024-01-01,65,%
HR,2024-01-01,53,%
HR,2024-01-01,45,%
HR,2024-01-01,40,%
HR,2024-01-01,41,%
HR,2024-01-01,40,%
HR,2024-01-01,39,%
HR,2024-01-01,40,%
HR,2024-01-01,41,%
HR,2024-01-01,46,%
HR,2024-01-01,55,%
HR,2024-01-01,62,%
HR,2024-01-01,68,%
HR,2024-01-01,69,%
HR,2024-01-01,69,%
HR,2024-01-01,71,%
HR,2024-01-02,74,%
HR,2024-01-02,81,%
HR,2024-01-02,86,%
HR,2024-01-02,89,%
HR,2024-01-02,89,%
HR,2024-01-02,89,%
HR,2024-01-02,90,%
HR,2024-01-02,90,%
HR,2024-01-02,90,%
HR,2024-01-02,91,%
HR,2024-01-02,91,%
HR,2024-01-02,91,%
HR,2024-01-02,91,%
HR,2024-01-02,90,%
HR,2024-01-02,90,%
HR,2024-01-02,89,%
HR,2024-01-02,85,%
HR,2024-01-02,80,%
HR,2024-01-02,84,%
HR,2024-01-02,84,%
HR,2024-01-02,84,%
HR,2024-01-02,86,%
HR,2024-01-02,87,%
HR,2024-01-02,88,%
HR,2024-01-03,88,%
HR,2024-01-03,87,%
HR,2024-01-03,87,%
HR,2024-01-03,87,%
HR,2024-01-03,86,%
HR,2024-01-03,86,%
HR,2024-01-03,86,%
HR,2024-01-03,85,%
HR,2024-01-03,83,%
HR,2024-01-03,82,%
HR,2024-01-03,76,%
HR,2024-01-03,64,%
HR,2024-01-03,56,%
HR,2024-01-03,47,%
HR,2024-01-03,43,%
HR,2024-01-03,41,%
HR,2024-01-03,43,%
HR,2024-01-03,52,%
HR,2024-01-03,55,%
HR,2024-01-03,59,%
HR,2024-01-03,63,%
HR,2024-01-03,65,%
HR,2024-01-03,67,%
HR,2024-01-03,66,%
HR,2024-01-04,66,%
HR,2024-01-04,67,%
HR,2024-01-04,73,%
HR,2024-01-04,83,%
HR,2024-01-04,85,%
HR,2024-01-04,85,%
HR,2024-01-04,84,%
HR,2024-01-04,84,%
HR,2024-01-04,85,%
HR,2024-01-04,85,%
HR,2024-01-04,86,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,89,%
HR,2024-01-04,89,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,88,%
HR,2024-01-04,87,%
HR,2024-01-04,87,%
HR,2024-01-05,88,%
HR,2024-01-05,89,%
HR,2024-01-05,89,%
HR,2024-01-05,86,%
HR,2024-01-05,82,%
HR,2024-01-05,81,%
HR,2024-01-05,80,%
HR,2024-01-05,81,%
HR,2024-01-05,82,%
HR,2024-01-05,78,%
HR,2024-01-05,67,%
HR,2024-01-05,59,%
HR,2024-01-05,53,%
HR,2024-01-05,43,%
HR,2024-01-05,37,%
HR,2024-01-05,34,%
HR,2024-01-05,32,%
HR,2024-01-05,32,%
HR,2024-01-05,37,%
HR,2024-01-05,44,%
HR,2024-01-05,51,%
HR,2024-01-05,54,%
HR,2024-01-05,54,%
HR,2024-01-05,61,%
HR,2024-01-06,66,%
HR,2024-01-06,68,%
HR,2024-01-06,71,%
HR,2024-01-06,71,%
HR,2024-01-06,72,%
HR,2024-01-06,73,%
HR,2024-01-06,74,%
HR,2024-01-06,77,%
HR,2024-01-06,77,%
HR,2024-01-06,73,%
HR,2024-01-06,54,%
HR,2024-01-06,47,%
HR,2024-01-06,42,%
HR,2024-01-06,40,%
HR,2024-01-06,42,%
HR,2024-01-06,42,%
HR,2024-01-06,40,%
HR,2024-01-06,41,%
HR,2024-01-06,43,%
HR,2024-01-06,50,%
HR,2024-01-06,57,%
HR,2024-01-06,63,%
HR,2024-01-06,66,%
HR,2024-01-06,69,%
HR,2024-01-07,72,%
HR,2024-01-07,73,%
HR,2024-01-07,73,%
HR,2024-01-07,75,%
HR,2024-01-07,76,%
HR,2024-01-07,76,%
HR,2024-01-07,76,%
HR,2024-01-07,76,%
HR,2024-01-07,78,%
HR,2024-01-07,79,%
HR,2024-01-07,79,%
HR,2024-01-07,78,%
HR,2024-01-07,76,%
HR,2024-01-07,77,%
HR,2024-01-07,77,%
HR,2024-01-07,70,%
HR,2024-01-07,62,%
HR,2024-01-07,65,%
HR,2024-01-07,69,%
HR,2024-01-07,71,%
HR,2024-01-07,73,%
HR,2024-01-07,75,%
HR,2024-01-07,76,%
HR,2024-01-08,77,%
HR,2024-01-08,79,%
HR,2024-01-08,83,%
HR,2024-01-08,86,%
HR,2024-01-08,87,%
HR,2024-01-08,88,%
HR,2024-01-08,88,%
HR,2024-01-08,88,%
HR,2024-01-08,88,%
HR,2024-01-08,87,%
HR,2024-01-08,79,%
HR,2024-01-08,68,%
HR,2024-01-08,57,%
HR,2024-01-08,50,%
HR,2024-01-08,39,%
HR,2024-01-08,28,%
HR,2024-01-08,24,%
HR,2024-01-08,25,%
HR,2024-01-08,31,%
HR,2024-01-08,39,%
HR,2024-01-08,36,%
HR,2024-01-08,31,%
HR,2024-01-08,28,%
HR,2024-01-08,27,%
HR,2024-01-09,29,%
HR,2024-01-09,30,%
HR,2024-01-09,28,%
HR,2024-01-09,18,%
HR,2024-01-09,18,%
HR,2024-01-09,21,%
HR,2024-01-09,27,%
HR,2024-01-09,45,%
HR,2024-01-09,45,%
HR,2024-01-09,38,%
HR,2024-01-09,31,%
HR,2024-01-09,27,%
HR,2024-01-09,20,%
HR,2024-01-09,19,%
