Parametro,Fecha,valor,Unidad
,,,
NOx,2024-01-01,0.21,ppm
NOx,2024-01-01,0.223,ppm
NOx,2024-01-01,0.161,ppm
NOx,2024-01-01,0.112,ppm
NOx,2024-01-01,0.116,ppm
NOx,2024-01-01,0.099,ppm
NOx,2024-01-01,0.092,ppm
NOx,2024-01-01,0.082,ppm
NOx,2024-01-01,0.053,ppm
NOx,2024-01-01,0.023,ppm
NOx,2024-01-01,0.025,ppm
NOx,2024-01-01,0.025,ppm
NOx,2024-01-01,0.023,ppm
NOx,2024-01-01,0.019,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.015,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.036,ppm
NOx,2024-01-01,0.032,ppm
NOx,2024-01-01,0.027,ppm
NOx,2024-01-01,0.024,ppm
NOx,2024-01-01,0.019,ppm
NOx,2024-01-02,0.015,ppm
NOx,2024-01-02,0.011,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.007,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.027,ppm
NOx,2024-01-02,0.032,ppm
NOx,2024-01-02,0.037,ppm
NOx,2024-01-02,0.035,ppm
NOx,2024-01-02,0.028,ppm
NOx,2024-01-02,0.023,ppm
NOx,2024-01-02,0.018,ppm
NOx,2024-01-02,0.018,ppm
NOx,2024-01-02,0.014,ppm
NOx,2024-01-02,0.017,ppm
NOx,2024-01-02,0.021,ppm
NOx,2024-01-02,0.021,ppm
NOx,2024-01-02,0.019,ppm
NOx,2024-01-02,0.055,ppm
NOx,2024-01-02,0.103,ppm
NOx,2024-01-02,0.087,ppm
NOx,2024-01-02,0.066,ppm
NOx,2024-01-02,0.074,ppm
NOx,2024-01-03,0.055,ppm
NOx,2024-01-03,0.029,ppm
NOx,2024-01-03,0.016,ppm
NOx,2024-01-03,0.011,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.012,ppm
NOx,2024-01-03,0.024,ppm
NOx,2024-01-03,0.031,ppm
NOx,2024-01-03,0.033,ppm
NOx,2024-01-03,0.038,ppm
NOx,2024-01-03,0.024,ppm
NOx,2024-01-03,0.018,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.012,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.012,ppm
NOx,2024-01-03,0.021,ppm
NOx,2024-01-03,0.043,ppm
NOx,2024-01-03,0.066,ppm
NOx,2024-01-03,0.07,ppm
NOx,2024-01-03,0.049,ppm
NOx,2024-01-03,0.041,ppm
NOx,2024-01-03,0.035,ppm
NOx,2024-01-04,0.027,ppm
NOx,2024-01-04,0.019,ppm
NOx,2024-01-04,0.012,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.02,ppm
NOx,2024-01-04,0.028,ppm
NOx,2024-01-04,0.038,ppm
NOx,2024-01-04,0.045,ppm
NOx,2024-01-04,0.039,ppm
NOx,2024-01-04,0.043,ppm
NOx,2024-01-04,0.039,ppm
NOx,2024-01-04,0.032,ppm
NOx,2024-01-04,0.034,ppm
NOx,2024-01-04,0.034,ppm
NOx,2024-01-04,0.043,ppm
NOx,2024-01-04,0.049,ppm
NOx,2024-01-04,0.049,ppm
NOx,2024-01-04,0.044,ppm
NOx,2024-01-04,0.074,ppm
NOx,2024-01-04,0.056,ppm
NOx,2024-01-04,0.078,ppm
NOx,2024-01-05,0.054,ppm
NOx,2024-01-05,0.028,ppm
NOx,2024-01-05,0.018,ppm
NOx,2024-01-05,0.012,ppm
NOx,2024-01-05,0.009,ppm
NOx,2024-01-05,0.012,ppm
NOx,2024-01-05,0.014,ppm
NOx,2024-01-05,0.025,ppm
NOx,2024-01-05,0.026,ppm
NOx,2024-01-05,0.036,ppm
NOx,2024-01-05,0.036,ppm
NOx,2024-01-05,0.029,ppm
NOx,2024-01-05,0.022,ppm
NOx,2024-01-05,0.012,ppm
NOx,2024-01-05,0.014,ppm
NOx,2024-01-05,0.011,ppm
NOx,2024-01-05,0.014,ppm
NOx,2024-01-05,0.022,ppm
NOx,2024-01-05,0.032,ppm
NOx,2024-01-05,0.034,ppm
NOx,2024-01-05,0.094,ppm
NOx,2024-01-05,0.085,ppm
NOx,2024-01-05,0.098,ppm
NOx,2024-01-05,0.156,ppm
NOx,2024-01-06,0.136,ppm
NOx,2024-01-06,0.157,ppm
NOx,2024-01-06,0.104,ppm
NOx,2024-01-06,0.143,ppm
NOx,2024-01-06,0.091,ppm
NOx,2024-01-06,0.111,ppm
NOx,2024-01-06,0.147,ppm
NOx,2024-01-06,0.243,ppm
NOx,2024-01-06,0.322,ppm
NOx,2024-01-06,0.194,ppm
NOx,2024-01-06,0.094,ppm
NOx,2024-01-06,0.062,ppm
NOx,2024-01-06,0.044,ppm
NOx,2024-01-06,0.027,ppm
NOx,2024-01-06,0.025,ppm
NOx,2024-01-06,0.019,ppm
NOx,2024-01-06,0.015,ppm
NOx,2024-01-06,0.023,ppm
NOx,2024-01-06,0.067,ppm
NOx,2024-01-06,0.127,ppm
NOx,2024-01-06,0.229,ppm
NOx,2024-01-06,0.21,ppm
NOx,2024-01-06,0.257,ppm
NOx,2024-01-06,0.252,ppm
NOx,2024-01-07,0.258,ppm
NOx,2024-01-07,0.263,ppm
NOx,2024-01-07,0.193,ppm
NOx,2024-01-07,0.163,ppm
NOx,2024-01-07,0.13,ppm
NOx,2024-01-07,0.103,ppm
NOx,2024-01-07,0.136,ppm
NOx,2024-01-07,0.114,ppm
NOx,2024-01-07,0.083,ppm
NOx,2024-01-07,0.034,ppm
NOx,2024-01-07,0.019,ppm
NOx,2024-01-07,0.023,ppm
NOx,2024-01-07,0.039,ppm
NOx,2024-01-07,0.037,ppm
NOx,2024-01-07,0.056,ppm
NOx,2024-01-07,0.043,ppm
NOx,2024-01-07,0.032,ppm
NOx,2024-01-07,0.02,ppm
NOx,2024-01-07,0.023,ppm
NOx,2024-01-07,0.018,ppm
NOx,2024-01-07,0.01,ppm
NOx,2024-01-07,0.008,ppm
NOx,2024-01-07,0.011,ppm
NOx,2024-01-08,0.009,ppm
NOx,2024-01-08,0.021,ppm
NOx,2024-01-08,0.058,ppm
NOx,2024-01-08,0.047,ppm
NOx,2024-01-08,0.043,ppm
NOx,2024-01-08,0.045,ppm
NOx,2024-01-08,0.072,ppm
NOx,2024-01-08,0.182,ppm
NOx,2024-01-08,0.251,ppm
NOx,2024-01-08,0.299,ppm
NOx,2024-01-08,0.196,ppm
NOx,2024-01-08,0.09,ppm
NOx,2024-01-08,0.07,ppm
NOx,2024-01-08,0.029,ppm
NOx,2024-01-08,0.025,ppm
NOx,2024-01-08,0.022,ppm
NOx,2024-01-08,0.014,ppm
NOx,2024-01-08,0.043,ppm
NOx,2024-01-08,0.126,ppm
NOx,2024-01-08,0.095,ppm
NOx,2024-01-08,0.023,ppm
NOx,2024-01-08,0.013,ppm
NOx,2024-01-08,0.01,ppm
NOx,2024-01-08,0.012,ppm
NOx,2024-01-09,0.023,ppm
NOx,2024-01-09,0.017,ppm
NOx,2024-01-09,0.012,ppm
NOx,2024-01-09,0.009,ppm
NOx,2024-01-09,0.009,ppm
NOx,2024-01-09,0.037,ppm
NOx,2024-01-09,0.065,ppm
NOx,2024-01-09,0.069,ppm
NOx,2024-01-09,0.073,ppm
NOx,2024-01-09,0.078,ppm
NOx,2024-01-09,0.039,ppm
NOx,2024-01-09,0.032,ppm
NOx,2024-01-09,0.023,ppm
NOx,2024-01-09,0.026,ppm
NOx,2024-01-09,0.02,ppm
NOx,2024-01-09,0.017,ppm
NOx,2024-01-09,0.029,ppm
NOx,2024-01-09,0.041,ppm
NOx,2024-01-09,0.048,ppm
NOx,2024-01-09,0.071,ppm
NOx,2024-01-09,0.085,ppm
NOx,2024-01-09,0.091,ppm
NOx,2024-01-09,0.084,ppm
NOx,2024-01-09,0.092,ppm
NOx,2024-01-10,0.063,ppm
NOx,2024-01-10,0.045,ppm
NOx,2024-01-10,0.048,ppm
NOx,2024-01-10,0.056,ppm
NOx,2024-01-10,0.058,ppm
NOx,2024-01-10,0.064,ppm
NOx,2024-01-10,0.107,ppm
NOx,2024-01-10,0.089,ppm
NOx,2024-01-10,0.13,ppm
NOx,2024-01-10,0.131,ppm
NOx,2024-01-10,0.076,ppm
NOx,2024-01-10,0.102,ppm
NOx,2024-01-10,0.098,ppm
NOx,2024-01-10,0.074,ppm
NOx,2024-01-10,0.053,ppm
NOx,2024-01-10,0.054,ppm
NOx,2024-01-10,0.057,ppm
NOx,2024-01-10,0.074,ppm
NOx,2024-01-10,0.091,ppm
NOx,2024-01-10,0.142,ppm
NOx,2024-01-10,0.14,ppm
NOx,2024-01-10,0.162,ppm
NOx,2024-01-10,0.304,ppm
NOx,2024-01-10,0.239,ppm
NOx,2024-01-11,0.259,ppm
NOx,2024-01-11,0.238,ppm
NOx,2024-01-11,0.189,ppm
NOx,2024-01-11,0.209,ppm
NOx,2024-01-11,0.151,ppm
NOx,2024-01-11,0.164,ppm
NOx,2024-01-11,0.185,ppm
NOx,2024-01-11,0.292,ppm
NOx,2024-01-11,0.458,ppm
NOx,2024-01-11,0.409,ppm
NOx,2024-01-11,0.149,ppm
NOx,2024-01-11,0.084,ppm
NOx,2024-01-11,0.087,ppm
NOx,2024-01-11,0.062,ppm
NOx,2024-01-11,0.038,ppm
NOx,2024-01-11,0.028,ppm
NOx,2024-01-11,0.045,ppm
NOx,2024-01-11,0.059,ppm
NOx,2024-01-11,0.088,ppm
NOx,2024-01-11,0.092,ppm
NOx,2024-01-11,0.081,ppm
NOx,2024-01-11,0.093,ppm
NOx,2024-01-11,0.165,ppm
NOx,2024-01-11,0.128,ppm
NOx,2024-01-12,0.162,ppm
NOx,2024-01-12,0.194,ppm
NOx,2024-01-12,0.202,ppm
NOx,2024-01-12,0.221,ppm
NOx,2024-01-12,0.153,ppm
NOx,2024-01-12,0.119,ppm
NOx,2024-01-12,0.033,ppm
NOx,2024-01-12,0.064,ppm
NOx,2024-01-12,0.089,ppm
NOx,2024-01-16,0.017,ppm
NOx,2024-01-16,0.021,ppm
NOx,2024-01-16,0.022,ppm
NOx,2024-01-16,0.03,ppm
NOx,2024-01-16,0.025,ppm
NOx,2024-01-16,0.058,ppm
NOx,2024-01-16,0.082,ppm
NOx,2024-01-16,0.059,ppm
NOx,2024-01-16,0.064,ppm
NOx,2024-01-16,0.054,ppm
NOx,2024-01-16,0.037,ppm
NOx,2024-01-17,0.028,ppm
NOx,2024-01-17,0.016,ppm
NOx,2024-01-17,0.01,ppm
NOx,2024-01-17,0.013,ppm
NOx,2024-01-17,0.01,ppm
NOx,2024-01-17,0.021,ppm
NOx,2024-01-17,0.058,ppm
NOx,2024-01-17,0.076,ppm
NOx,2024-01-17,0.114,ppm
NOx,2024-01-17,0.082,ppm
NOx,2024-01-17,0.029,ppm
NOx,2024-01-17,0.018,ppm
NOx,2024-01-17,0.018,ppm
NOx,2024-01-17,0.018,ppm
NOx,2024-01-17,0.018,ppm
NOx,2024-01-17,0.014,ppm
NOx,2024-01-17,0.018,ppm
NOx,2024-01-17,0.026,ppm
NOx,2024-01-17,0.022,ppm
NOx,2024-01-17,0.03,ppm
NOx,2024-01-17,0.039,ppm
NOx,2024-01-17,0.104,ppm
NOx,2024-01-17,0.135,ppm
NOx,2024-01-17,0.146,ppm
NOx,2024-01-18,0.132,ppm
NOx,2024-01-18,0.172,ppm
NOx,2024-01-18,0.135,ppm
NOx,2024-01-18,0.113,ppm
NOx,2024-01-18,0.089,ppm
NOx,2024-01-18,0.132,ppm
NOx,2024-01-18,0.195,ppm
NOx,2024-01-18,0.234,ppm
NOx,2024-01-18,0.235,ppm
NOx,2024-01-18,0.26,ppm
NOx,2024-01-18,0.359,ppm
NOx,2024-01-18,0.219,ppm
NOx,2024-01-18,0.112,ppm
NOx,2024-01-18,0.07,ppm
NOx,2024-01-18,0.086,ppm
NOx,2024-01-18,0.078,ppm
NOx,2024-01-18,0.069,ppm
NOx,2024-01-18,0.054,ppm
NOx,2024-01-18,0.097,ppm
NOx,2024-01-18,0.103,ppm
NOx,2024-01-18,0.169,ppm
NOx,2024-01-18,0.098,ppm
NOx,2024-01-18,0.257,ppm
NOx,2024-01-18,0.328,ppm
NOx,2024-01-19,0.283,ppm
NOx,2024-01-19,0.257,ppm
NOx,2024-01-19,0.219,ppm
NOx,2024-01-19,0.217,ppm
NOx,2024-01-19,0.213,ppm
NOx,2024-01-19,0.159,ppm
NOx,2024-01-19,0.241,ppm
NOx,2024-01-19,0.316,ppm
NOx,2024-01-19,0.428,ppm
NOx,2024-01-19,0.35,ppm
NOx,2024-01-19,0.212,ppm
NOx,2024-01-19,0.133,ppm
NOx,2024-01-19,0.04,ppm
NOx,2024-01-19,0.028,ppm
NOx,2024-01-19,0.018,ppm
NOx,2024-01-19,0.015,ppm
NOx,2024-01-19,0.015,ppm
NOx,2024-01-19,0.017,ppm
NOx,2024-01-19,0.022,ppm
NOx,2024-01-19,0.051,ppm
NOx,2024-01-19,0.037,ppm
NOx,2024-01-19,0.04,ppm
NOx,2024-01-19,0.038,ppm
NOx,2024-01-19,0.035,ppm
NOx,2024-01-20,0.032,ppm
NOx,2024-01-20,0.023,ppm
NOx,2024-01-20,0.013,ppm
NOx,2024-01-20,0.009,ppm
NOx,2024-01-20,0.01,ppm
NOx,2024-01-20,0.015,ppm
NOx,2024-01-20,0.025,ppm
NOx,2024-01-20,0.031,ppm
NOx,2024-01-20,0.034,ppm
NOx,2024-01-20,0.04,ppm
NOx,2024-01-20,0.033,ppm
NOx,2024-01-20,0.035,ppm
NOx,2024-01-20,0.032,ppm
NOx,2024-01-20,0.033,ppm
NOx,2024-01-20,0.035,ppm
NOx,2024-01-20,0.041,ppm
NOx,2024-01-20,0.019,ppm
NOx,2024-01-20,0.018,ppm
NOx,2024-01-20,0.021,ppm
NOx,2024-01-20,0.017,ppm
NOx,2024-01-20,0.015,ppm
NOx,2024-01-20,0.015,ppm
NOx,2024-01-20,0.023,ppm
NOx,2024-01-20,0.023,ppm
NOx,2024-01-21,0.019,ppm
NOx,2024-01-21,0.012,ppm
NOx,2024-01-21,0.011,ppm
NOx,2024-01-21,0.009,ppm
NOx,2024-01-21,0.008,ppm
NOx,2024-01-21,0.011,ppm
NOx,2024-01-21,0.011,ppm
NOx,2024-01-21,0.014,ppm
NOx,2024-01-21,0.018,ppm
NOx,2024-01-21,0.018,ppm
NOx,2024-01-21,0.025,ppm
NOx,2024-01-21,0.036,ppm
NOx,2024-01-21,0.04,ppm
NOx,2024-01-21,0.034,ppm
NOx,2024-01-21,0.037,ppm
NOx,2024-01-21,0.046,ppm
NOx,2024-01-21,0.035,ppm
NOx,2024-01-21,0.034,ppm
NOx,2024-01-21,0.051,ppm
NOx,2024-01-21,0.044,ppm
NOx,2024-01-21,0.034,ppm
NOx,2024-01-21,0.025,ppm
NOx,2024-01-21,0.02,ppm
NOx,2024-01-21,0.024,ppm
NOx,2024-01-22,0.031,ppm
NOx,2024-01-22,0.027,ppm
NOx,2024-01-22,0.022,ppm
NOx,2024-01-22,0.02,ppm
NOx,2024-01-22,0.016,ppm
NOx,2024-01-22,0.042,ppm
NOx,2024-01-22,0.074,ppm
NOx,2024-01-22,0.093,ppm
NOx,2024-01-22,0.084,ppm
NOx,2024-01-22,0.056,ppm
NOx,2024-01-22,0.072,ppm
NOx,2024-01-22,0.046,ppm
NOx,2024-01-22,0.037,ppm
NOx,2024-01-22,0.037,ppm
NOx,2024-01-22,0.03,ppm
NOx,2024-01-22,0.031,ppm
NOx,2024-01-22,0.04,ppm
NOx,2024-01-22,0.07,ppm
NOx,2024-01-22,0.064,ppm
NOx,2024-01-22,0.146,ppm
NOx,2024-01-22,0.16,ppm
NOx,2024-01-22,0.14,ppm
NOx,2024-01-22,0.221,ppm
NOx,2024-01-22,0.246,ppm
NOx,2024-01-23,0.251,ppm
NOx,2024-01-23,0.235,ppm
NOx,2024-01-23,0.218,ppm
NOx,2024-01-23,0.179,ppm
NOx,2024-01-23,0.158,ppm
NOx,2024-01-23,0.139,ppm
NOx,2024-01-23,0.216,ppm
NOx,2024-01-23,0.231,ppm
NOx,2024-01-23,0.285,ppm
NOx,2024-01-23,0.343,ppm
NOx,2024-01-23,0.248,ppm
NOx,2024-01-23,0.118,ppm
NOx,2024-01-23,0.079,ppm
NOx,2024-01-23,0.046,ppm
NOx,2024-01-23,0.027,ppm
NOx,2024-01-23,0.025,ppm
NOx,2024-01-23,0.019,ppm
NOx,2024-01-23,0.021,ppm
NOx,2024-01-23,0.026,ppm
NOx,2024-01-23,0.02,ppm
NOx,2024-01-23,0.022,ppm
NOx,2024-01-23,0.062,ppm
NOx,2024-01-23,0.048,ppm
NOx,2024-01-23,0.044,ppm
NOx,2024-01-24,0.051,ppm
NOx,2024-01-24,0.027,ppm
NOx,2024-01-24,0.031,ppm
NOx,2024-01-24,0.028,ppm
NOx,2024-01-24,0.028,ppm
NOx,2024-01-24,0.049,ppm
NOx,2024-01-24,0.099,ppm
NOx,2024-01-24,0.128,ppm
NOx,2024-01-24,0.126,ppm
NOx,2024-01-24,0.118,ppm
NOx,2024-01-24,0.075,ppm
NOx,2024-01-24,0.058,ppm
NOx,2024-01-24,0.041,ppm
NOx,2024-01-24,0.021,ppm
NOx,2024-01-24,0.018,ppm
NOx,2024-01-24,0.02,ppm
NOx,2024-01-24,0.02,ppm
NOx,2024-01-24,0.026,ppm
NOx,2024-01-24,0.023,ppm
NOx,2024-01-24,0.045,ppm
NOx,2024-01-24,0.035,ppm
NOx,2024-01-24,0.023,ppm
NOx,2024-01-24,0.013,ppm
NOx,2024-01-25,0.014,ppm
NOx,2024-01-25,0.012,ppm
NOx,2024-01-25,0.01,ppm
NOx,2024-01-25,0.01,ppm
NOx,2024-01-25,0.012,ppm
NOx,2024-01-25,0.014,ppm
NOx,2024-01-25,0.064,ppm
NOx,2024-01-25,0.151,ppm
NOx,2024-01-25,0.085,ppm
NOx,2024-01-25,0.092,ppm
NOx,2024-01-25,0.054,ppm
NOx,2024-01-25,0.038,ppm
NOx,2024-01-25,0.016,ppm
NOx,2024-01-25,0.022,ppm
NOx,2024-01-25,0.02,ppm
NOx,2024-01-25,0.019,ppm
NOx,2024-01-25,0.022,ppm
NOx,2024-01-25,0.016,ppm
NOx,2024-01-25,0.018,ppm
NOx,2024-01-25,0.024,ppm
NOx,2024-01-25,0.061,ppm
NOx,2024-01-25,0.049,ppm
NOx,2024-01-25,0.062,ppm
NOx,2024-01-25,0.049,ppm
NOx,2024-01-26,0.042,ppm
NOx,2024-01-26,0.052,ppm
NOx,2024-01-26,0.038,ppm
NOx,2024-01-26,0.029,ppm
NOx,2024-01-26,0.029,ppm
NOx,2024-01-26,0.026,ppm
NOx,2024-01-26,0.024,ppm
NOx,2024-01-26,0.034,ppm
NOx,2024-01-26,0.035,ppm
NOx,2024-01-26,0.05,ppm
NOx,2024-01-26,0.026,ppm
NOx,2024-01-26,0.019,ppm
NOx,2024-01-26,0.012,ppm
NOx,2024-01-26,0.013,ppm
NOx,2024-01-26,0.016,ppm
NOx,2024-01-26,0.013,ppm
NOx,2024-01-26,0.014,ppm
NOx,2024-01-26,0.02,ppm
NOx,2024-01-26,0.019,ppm
NOx,2024-01-26,0.025,ppm
NOx,2024-01-26,0.046,ppm
NOx,2024-01-26,0.074,ppm
NOx,2024-01-26,0.096,ppm
NOx,2024-01-26,0.148,ppm
NOx,2024-01-27,0.079,ppm
NOx,2024-01-27,0.033,ppm
NOx,2024-01-27,0.026,ppm
NOx,2024-01-27,0.024,ppm
NOx,2024-01-27,0.013,ppm
NOx,2024-01-27,0.01,ppm
NOx,2024-01-27,0.012,ppm
NOx,2024-01-27,0.011,ppm
NOx,2024-01-27,0.014,ppm
NOx,2024-01-27,0.017,ppm
NOx,2024-01-27,0.011,ppm
NOx,2024-01-27,0.01,ppm
NOx,2024-01-27,0.011,ppm
NOx,2024-01-27,0.015,ppm
NOx,2024-01-27,0.014,ppm
NOx,2024-01-27,0.012,ppm
NOx,2024-01-27,0.013,ppm
NOx,2024-01-27,0.016,ppm
NOx,2024-01-27,0.017,ppm
NOx,2024-01-27,0.021,ppm
NOx,2024-01-27,0.054,ppm
NOx,2024-01-27,0.053,ppm
NOx,2024-01-27,0.089,ppm
NOx,2024-01-27,0.12,ppm
NOx,2024-01-28,0.105,ppm
NOx,2024-01-28,0.087,ppm
NOx,2024-01-28,0.062,ppm
NOx,2024-01-28,0.058,ppm
NOx,2024-01-28,0.042,ppm
NOx,2024-01-28,0.071,ppm
NOx,2024-01-28,0.101,ppm
NOx,2024-01-28,0.05,ppm
NOx,2024-01-28,0.074,ppm
NOx,2024-01-28,0.086,ppm
NOx,2024-01-28,0.042,ppm
NOx,2024-01-28,0.03,ppm
NOx,2024-01-28,0.016,ppm
NOx,2024-01-28,0.016,ppm
NOx,2024-01-28,0.016,ppm
NOx,2024-01-28,0.014,ppm
NOx,2024-01-28,0.013,ppm
NOx,2024-01-28,0.016,ppm
NOx,2024-01-28,0.015,ppm
NOx,2024-01-28,0.02,ppm
NOx,2024-01-28,0.029,ppm
NOx,2024-01-28,0.068,ppm
NOx,2024-01-28,0.063,ppm
NOx,2024-01-28,0.097,ppm
NOx,2024-01-29,0.076,ppm
NOx,2024-01-29,0.018,ppm
NOx,2024-01-29,0.021,ppm
NOx,2024-01-29,0.018,ppm
NOx,2024-01-29,0.027,ppm
NOx,2024-01-29,0.025,ppm
NOx,2024-01-29,0.112,ppm
NOx,2024-01-29,0.064,ppm
NOx,2024-01-29,0.183,ppm
NOx,2024-01-29,0.121,ppm
NOx,2024-01-29,0.068,ppm
NOx,2024-01-29,0.043,ppm
NOx,2024-01-29,0.024,ppm
NOx,2024-01-29,0.02,ppm
NOx,2024-01-29,0.018,ppm
NOx,2024-01-29,0.018,ppm
NOx,2024-01-29,0.016,ppm
NOx,2024-01-29,0.014,ppm
NOx,2024-01-29,0.015,ppm
NOx,2024-01-29,0.029,ppm
NOx,2024-01-29,0.056,ppm
NOx,2024-01-29,0.086,ppm
NOx,2024-01-29,0.098,ppm
NOx,2024-01-29,0.067,ppm
NOx,2024-01-30,0.06,ppm
NOx,2024-01-30,0.059,ppm
NOx,2024-01-30,0.028,ppm
NOx,2024-01-30,0.013,ppm
NOx,2024-01-30,0.009,ppm
NOx,2024-01-30,0.01,ppm
NOx,2024-01-30,0.014,ppm
NOx,2024-01-30,0.107,ppm
NOx,2024-01-30,0.12,ppm
NOx,2024-01-30,0.127,ppm
NOx,2024-01-30,0.054,ppm
NOx,2024-01-30,0.025,ppm
NOx,2024-01-30,0.03,ppm
NOx,2024-01-30,0.021,ppm
NOx,2024-01-30,0.015,ppm
NOx,2024-01-30,0.02,ppm
NOx,2024-01-30,0.017,ppm
NOx,2024-01-30,0.03,ppm
NOx,2024-01-30,0.021,ppm
NOx,2024-01-30,0.025,ppm
NOx,2024-01-30,0.071,ppm
NOx,2024-01-30,0.095,ppm
NOx,2024-01-30,0.133,ppm
NOx,2024-01-30,0.266,ppm
NOx,2024-01-31,0.209,ppm
NOx,2024-01-31,0.152,ppm
NOx,2024-01-31,0.144,ppm
NOx,2024-01-31,0.052,ppm
NOx,2024-01-31,0.051,ppm
NOx,2024-01-31,0.068,ppm
NOx,2024-01-31,0.084,ppm
NOx,2024-01-31,0.269,ppm
NOx,2024-01-31,0.383,ppm
NOx,2024-01-31,0.231,ppm
NOx,2024-01-31,0.087,ppm
NOx,2024-01-31,0.06,ppm
NOx,2024-01-31,0.054,ppm
NOx,2024-01-31,0.024,ppm
NOx,2024-01-31,0.026,ppm
NOx,2024-01-31,0.018,ppm
NOx,2024-01-31,0.022,ppm
NOx,2024-01-31,0.016,ppm
NOx,2024-01-31,0.015,ppm
NOx,2024-01-31,0.023,ppm
NOx,2024-01-31,0.024,ppm
NOx,2024-01-31,0.05,ppm
NOx,2024-01-31,0.028,ppm
NOx,2024-01-31,0.014,ppm
NOx,2024-02-01,0.007,ppm
NOx,2024-02-01,0.009,ppm
NOx,2024-02-01,0.008,ppm
NOx,2024-02-01,0.009,ppm
NOx,2024-02-01,0.021,ppm
NOx,2024-02-01,0.037,ppm
NOx,2024-02-01,0.06,ppm
NOx,2024-02-01,0.055,ppm
NOx,2024-02-01,0.035,ppm
NOx,2024-02-01,0.039,ppm
NOx,2024-02-01,0.031,ppm
NOx,2024-02-01,0.02,ppm
NOx,2024-02-01,0.016,ppm
NOx,2024-02-01,0.017,ppm
NOx,2024-02-01,0.019,ppm
NOx,2024-02-01,0.029,ppm
NOx,2024-02-01,0.027,ppm
NOx,2024-02-01,0.04,ppm
NOx,2024-02-01,0.07,ppm
