Parametro,Fecha,valor,Unidad
,,,
PB,2024-01-01,723,mmHg
PB,2024-01-01,722.9,mmHg
PB,2024-01-01,723.1,mmHg
PB,2024-01-01,723.1,mmHg
PB,2024-01-01,723,mmHg
PB,2024-01-01,723,mmHg
PB,2024-01-01,723.4,mmHg
PB,2024-01-01,723.6,mmHg
PB,2024-01-01,724,mmHg
PB,2024-01-01,724.2,mmHg
PB,2024-01-01,724.4,mmHg
PB,2024-01-01,724.4,mmHg
PB,2024-01-01,724.2,mmHg
PB,2024-01-01,723.9,mmHg
PB,2024-01-01,723.5,mmHg
PB,2024-01-01,723.5,mmHg
PB,2024-01-01,723.7,mmHg
PB,2024-01-01,723.9,mmHg
PB,2024-01-01,724,mmHg
PB,2024-01-01,724.2,mmHg
PB,2024-01-01,724.2,mmHg
PB,2024-01-01,724.3,mmHg
PB,2024-01-01,724.2,mmHg
PB,2024-01-02,724,mmHg
PB,2024-01-02,724,mmHg
PB,2024-01-02,724,mmHg
PB,2024-01-02,723.9,mmHg
PB,2024-01-02,723.7,mmHg
PB,2024-01-02,723.5,mmHg
PB,2024-01-02,723.4,mmHg
PB,2024-01-02,723.4,mmHg
PB,2024-01-02,723.5,mmHg
PB,2024-01-02,723.5,mmHg
PB,2024-01-02,723.5,mmHg
PB,2024-01-02,723.4,mmHg
PB,2024-01-02,723.3,mmHg
PB,2024-01-02,722.8,mmHg
PB,2024-01-02,722.5,mmHg
PB,2024-01-02,722.2,mmHg
PB,2024-01-02,722,mmHg
PB,2024-01-02,722,mmHg
PB,2024-01-02,722.1,mmHg
PB,2024-01-02,722.3,mmHg
PB,2024-01-02,722.3,mmHg
PB,2024-01-02,722.5,mmHg
PB,2024-01-02,722.7,mmHg
PB,2024-01-02,722.8,mmHg
PB,2024-01-03,722.9,mmHg
PB,2024-01-03,722.9,mmHg
PB,2024-01-03,722.9,mmHg
PB,2024-01-03,723,mmHg
PB,2024-01-03,723.3,mmHg
PB,2024-01-03,723.3,mmHg
PB,2024-01-03,723.4,mmHg
PB,2024-01-03,723.6,mmHg
PB,2024-01-03,723.8,mmHg
PB,2024-01-03,724,mmHg
PB,2024-01-03,724.1,mmHg
PB,2024-01-03,724.2,mmHg
PB,2024-01-03,724,mmHg
PB,2024-01-03,723.6,mmHg
PB,2024-01-03,723.1,mmHg
PB,2024-01-03,722.8,mmHg
PB,2024-01-03,722.8,mmHg
PB,2024-01-03,722.9,mmHg
PB,2024-01-03,723.2,mmHg
PB,2024-01-03,723.4,mmHg
PB,2024-01-03,723.7,mmHg
PB,2024-01-03,723.9,mmHg
PB,2024-01-03,723.9,mmHg
PB,2024-01-03,723.7,mmHg
PB,2024-01-04,723.6,mmHg
PB,2024-01-04,723.5,mmHg
PB,2024-01-04,723.4,mmHg
PB,2024-01-04,723.4,mmHg
PB,2024-01-04,723.3,mmHg
PB,2024-01-04,723.3,mmHg
PB,2024-01-04,723.1,mmHg
PB,2024-01-04,723.1,mmHg
PB,2024-01-04,723.2,mmHg
PB,2024-01-04,723.3,mmHg
PB,2024-01-04,723.3,mmHg
PB,2024-01-04,723.1,mmHg
PB,2024-01-04,722.8,mmHg
PB,2024-01-04,722.4,mmHg
PB,2024-01-04,721.9,mmHg
PB,2024-01-04,721.6,mmHg
PB,2024-01-04,721.5,mmHg
PB,2024-01-04,721.3,mmHg
PB,2024-01-04,721.2,mmHg
PB,2024-01-04,721.1,mmHg
PB,2024-01-04,721.1,mmHg
PB,2024-01-04,721.1,mmHg
PB,2024-01-04,721.1,mmHg
PB,2024-01-04,721.2,mmHg
PB,2024-01-05,721.3,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,721.3,mmHg
PB,2024-01-05,721.3,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,721.6,mmHg
PB,2024-01-05,721.7,mmHg
PB,2024-01-05,721.9,mmHg
PB,2024-01-05,721.9,mmHg
PB,2024-01-05,721.7,mmHg
PB,2024-01-05,721.4,mmHg
PB,2024-01-05,721.1,mmHg
PB,2024-01-05,720.8,mmHg
PB,2024-01-05,720.8,mmHg
PB,2024-01-05,720.8,mmHg
PB,2024-01-05,720.9,mmHg
PB,2024-01-05,721.2,mmHg
PB,2024-01-05,721.4,mmHg
PB,2024-01-05,721.6,mmHg
PB,2024-01-05,721.6,mmHg
PB,2024-01-05,721.6,mmHg
PB,2024-01-06,721.5,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.2,mmHg
PB,2024-01-06,721.4,mmHg
PB,2024-01-06,721.6,mmHg
PB,2024-01-06,721.9,mmHg
PB,2024-01-06,722.2,mmHg
PB,2024-01-06,722.2,mmHg
PB,2024-01-06,722,mmHg
PB,2024-01-06,721.6,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.3,mmHg
PB,2024-01-06,721.4,mmHg
PB,2024-01-06,721.7,mmHg
PB,2024-01-06,722.1,mmHg
PB,2024-01-06,722.4,mmHg
PB,2024-01-06,722.8,mmHg
PB,2024-01-06,723,mmHg
PB,2024-01-06,723.1,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,722.9,mmHg
PB,2024-01-07,722.9,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,723.2,mmHg
PB,2024-01-07,723.4,mmHg
PB,2024-01-07,723.4,mmHg
PB,2024-01-07,723.4,mmHg
PB,2024-01-07,723.1,mmHg
PB,2024-01-07,722.5,mmHg
PB,2024-01-07,722,mmHg
PB,2024-01-07,721.7,mmHg
PB,2024-01-07,721.4,mmHg
PB,2024-01-07,721.3,mmHg
PB,2024-01-07,721.2,mmHg
PB,2024-01-07,721.1,mmHg
PB,2024-01-07,720.8,mmHg
PB,2024-01-07,720.7,mmHg
PB,2024-01-07,720.6,mmHg
PB,2024-01-07,720.3,mmHg
PB,2024-01-08,720.1,mmHg
PB,2024-01-08,719.6,mmHg
PB,2024-01-08,719.2,mmHg
PB,2024-01-08,718.9,mmHg
