Parametro,Fecha,valor,Unidad
,,,
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,7,W/m2
RS,2024-01-01,55,W/m2
RS,2024-01-01,125,W/m2
RS,2024-01-01,177,W/m2
RS,2024-01-01,177,W/m2
RS,2024-01-01,268,W/m2
RS,2024-01-01,255,W/m2
RS,2024-01-01,253,W/m2
RS,2024-01-01,172,W/m2
RS,2024-01-01,73,W/m2
RS,2024-01-01,15,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,8,W/m2
RS,2024-01-02,16,W/m2
RS,2024-01-02,30,W/m2
RS,2024-01-02,70,W/m2
RS,2024-01-02,80,W/m2
RS,2024-01-02,43,W/m2
RS,2024-01-02,99,W/m2
RS,2024-01-02,126,W/m2
RS,2024-01-02,33,W/m2
RS,2024-01-02,10,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,13,W/m2
RS,2024-01-03,113,W/m2
RS,2024-01-03,226,W/m2
RS,2024-01-03,311,W/m2
RS,2024-01-03,92,W/m2
RS,2024-01-03,329,W/m2
RS,2024-01-03,368,W/m2
RS,2024-01-03,308,W/m2
RS,2024-01-03,197,W/m2
RS,2024-01-03,62,W/m2
RS,2024-01-03,19,W/m2
RS,2024-01-03,1,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,2,W/m2
RS,2024-01-04,25,W/m2
RS,2024-01-04,28,W/m2
RS,2024-01-04,53,W/m2
RS,2024-01-04,47,W/m2
RS,2024-01-04,48,W/m2
RS,2024-01-04,84,W/m2
RS,2024-01-04,58,W/m2
RS,2024-01-04,44,W/m2
RS,2024-01-04,24,W/m2
RS,2024-01-04,5,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,11,W/m2
RS,2024-01-05,107,W/m2
RS,2024-01-05,221,W/m2
RS,2024-01-05,305,W/m2
RS,2024-01-05,89,W/m2
RS,2024-01-05,295,W/m2
RS,2024-01-05,367,W/m2
RS,2024-01-05,309,W/m2
RS,2024-01-05,222,W/m2
RS,2024-01-05,118,W/m2
RS,2024-01-05,27,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,10,W/m2
RS,2024-01-06,85,W/m2
RS,2024-01-06,239,W/m2
RS,2024-01-06,290,W/m2
RS,2024-01-06,104,W/m2
RS,2024-01-06,304,W/m2
RS,2024-01-06,337,W/m2
RS,2024-01-06,283,W/m2
RS,2024-01-06,209,W/m2
RS,2024-01-06,99,W/m2
RS,2024-01-06,26,W/m2
RS,2024-01-06,1,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,4,W/m2
RS,2024-01-07,32,W/m2
RS,2024-01-07,79,W/m2
RS,2024-01-07,103,W/m2
RS,2024-01-07,114,W/m2
RS,2024-01-07,96,W/m2
RS,2024-01-07,39,W/m2
RS,2024-01-07,27,W/m2
RS,2024-01-07,22,W/m2
RS,2024-01-07,12,W/m2
RS,2024-01-07,4,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,12,W/m2
RS,2024-01-08,114,W/m2
RS,2024-01-08,230,W/m2
RS,2024-01-08,321,W/m2
RS,2024-01-08,106,W/m2
RS,2024-01-08,312,W/m2
RS,2024-01-08,381,W/m2
RS,2024-01-08,323,W/m2
RS,2024-01-08,206,W/m2
RS,2024-01-08,124,W/m2
RS,2024-01-08,30,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,5,W/m2
RS,2024-01-09,85,W/m2
RS,2024-01-09,181,W/m2
RS,2024-01-09,305,W/m2
RS,2024-01-09,158,W/m2
RS,2024-01-09,314,W/m2
RS,2024-01-09,348,W/m2
RS,2024-01-09,335,W/m2
RS,2024-01-09,232,W/m2
RS,2024-01-09,121,W/m2
RS,2024-01-09,32,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,8,W/m2
RS,2024-01-10,109,W/m2
RS,2024-01-10,225,W/m2
RS,2024-01-10,270,W/m2
RS,2024-01-10,148,W/m2
RS,2024-01-10,253,W/m2
RS,2024-01-10,318,W/m2
RS,2024-01-10,286,W/m2
RS,2024-01-10,174,W/m2
RS,2024-01-10,87,W/m2
RS,2024-01-10,28,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,4,W/m2
RS,2024-01-11,74,W/m2
RS,2024-01-11,266,W/m2
RS,2024-01-11,347,W/m2
RS,2024-01-11,107,W/m2
RS,2024-01-11,343,W/m2
RS,2024-01-11,359,W/m2
RS,2024-01-11,347,W/m2
RS,2024-01-11,237,W/m2
RS,2024-01-11,128,W/m2
RS,2024-01-11,36,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,6,W/m2
RS,2024-01-16,208,W/m2
RS,2024-01-16,187,W/m2
RS,2024-01-16,175,W/m2
RS,2024-01-16,205,W/m2
RS,2024-01-16,129,W/m2
RS,2024-01-16,39,W/m2
RS,2024-01-16,1,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,4,W/m2
RS,2024-01-17,70,W/m2
RS,2024-01-17,243,W/m2
RS,2024-01-17,330,W/m2
RS,2024-01-17,139,W/m2
RS,2024-01-17,250,W/m2
RS,2024-01-17,292,W/m2
RS,2024-01-17,276,W/m2
RS,2024-01-17,187,W/m2
RS,2024-01-17,130,W/m2
RS,2024-01-17,39,W/m2
RS,2024-01-17,2,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,4,W/m2
RS,2024-01-18,44,W/m2
RS,2024-01-18,111,W/m2
RS,2024-01-18,210,W/m2
RS,2024-01-18,205,W/m2
RS,2024-01-18,284,W/m2
RS,2024-01-18,317,W/m2
RS,2024-01-18,271,W/m2
RS,2024-01-18,199,W/m2
RS,2024-01-18,95,W/m2
RS,2024-01-18,36,W/m2
RS,2024-01-18,2,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,10,W/m2
RS,2024-01-19,113,W/m2
RS,2024-01-19,227,W/m2
RS,2024-01-19,319,W/m2
RS,2024-01-19,118,W/m2
RS,2024-01-19,241,W/m2
RS,2024-01-19,386,W/m2
RS,2024-01-19,327,W/m2
RS,2024-01-19,211,W/m2
RS,2024-01-19,46,W/m2
RS,2024-01-19,18,W/m2
RS,2024-01-19,1,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
