Parametro,Fecha,valor,Unidad
,,,
TMP,2024-01-01,15.25,°C
TMP,2024-01-01,14.85,°C
TMP,2024-01-01,14.58,°C
TMP,2024-01-01,14.86,°C
TMP,2024-01-01,14.59,°C
TMP,2024-01-01,14.38,°C
TMP,2024-01-01,13.53,°C
TMP,2024-01-01,12.58,°C
TMP,2024-01-01,15.66,°C
TMP,2024-01-01,17.61,°C
TMP,2024-01-01,19.14,°C
TMP,2024-01-01,21.11,°C
TMP,2024-01-01,22.9,°C
TMP,2024-01-01,23.78,°C
TMP,2024-01-01,24.92,°C
TMP,2024-01-01,24.69,°C
TMP,2024-01-01,23.28,°C
TMP,2024-01-01,21.44,°C
TMP,2024-01-01,19.78,°C
TMP,2024-01-01,18.58,°C
TMP,2024-01-01,18.07,°C
TMP,2024-01-01,17.24,°C
TMP,2024-01-01,16.53,°C
TMP,2024-01-02,16.38,°C
TMP,2024-01-02,15.92,°C
TMP,2024-01-02,15.29,°C
TMP,2024-01-02,14.9,°C
TMP,2024-01-02,14.95,°C
TMP,2024-01-02,14.84,°C
TMP,2024-01-02,14.78,°C
TMP,2024-01-02,14.69,°C
TMP,2024-01-02,14.59,°C
TMP,2024-01-02,14.54,°C
TMP,2024-01-02,14.59,°C
TMP,2024-01-02,14.69,°C
TMP,2024-01-02,15.13,°C
TMP,2024-01-02,15.71,°C
TMP,2024-01-02,15.85,°C
TMP,2024-01-02,16.15,°C
TMP,2024-01-02,17.5,°C
TMP,2024-01-02,17.47,°C
TMP,2024-01-02,17.02,°C
TMP,2024-01-02,17.02,°C
TMP,2024-01-02,17,°C
TMP,2024-01-02,16.24,°C
TMP,2024-01-02,15.43,°C
TMP,2024-01-02,14.59,°C
TMP,2024-01-03,13.38,°C
TMP,2024-01-03,12.72,°C
TMP,2024-01-03,12.15,°C
TMP,2024-01-03,11.9,°C
TMP,2024-01-03,12.01,°C
TMP,2024-01-03,12.02,°C
TMP,2024-01-03,11.96,°C
TMP,2024-01-03,12.04,°C
TMP,2024-01-03,11.93,°C
TMP,2024-01-03,12.73,°C
TMP,2024-01-03,14.34,°C
TMP,2024-01-03,16.19,°C
TMP,2024-01-03,17.71,°C
TMP,2024-01-03,19.49,°C
TMP,2024-01-03,20.69,°C
TMP,2024-01-03,21.77,°C
TMP,2024-01-03,21.68,°C
TMP,2024-01-03,19.72,°C
TMP,2024-01-03,18.42,°C
TMP,2024-01-03,17.02,°C
TMP,2024-01-03,15.79,°C
TMP,2024-01-03,14.64,°C
TMP,2024-01-03,13.59,°C
TMP,2024-01-03,13.49,°C
TMP,2024-01-04,13.47,°C
TMP,2024-01-04,13.24,°C
TMP,2024-01-04,11.55,°C
TMP,2024-01-04,9.96,°C
TMP,2024-01-04,9.69,°C
TMP,2024-01-04,9.44,°C
TMP,2024-01-04,9.18,°C
TMP,2024-01-04,9.35,°C
TMP,2024-01-04,9.28,°C
TMP,2024-01-04,9.38,°C
TMP,2024-01-04,9.49,°C
TMP,2024-01-04,9.49,°C
TMP,2024-01-04,9.62,°C
TMP,2024-01-04,9.79,°C
TMP,2024-01-04,10.11,°C
TMP,2024-01-04,10.35,°C
TMP,2024-01-04,10.52,°C
TMP,2024-01-04,10.67,°C
TMP,2024-01-04,10.89,°C
TMP,2024-01-04,11.32,°C
TMP,2024-01-04,11.57,°C
TMP,2024-01-04,11.96,°C
TMP,2024-01-04,12.48,°C
TMP,2024-01-04,12.79,°C
TMP,2024-01-05,12.65,°C
TMP,2024-01-05,12.66,°C
TMP,2024-01-05,12.33,°C
TMP,2024-01-05,11.88,°C
TMP,2024-01-05,11.63,°C
TMP,2024-01-05,11.54,°C
TMP,2024-01-05,11.38,°C
TMP,2024-01-05,10.82,°C
TMP,2024-01-05,10.52,°C
TMP,2024-01-05,11.63,°C
TMP,2024-01-05,14.02,°C
TMP,2024-01-05,16.47,°C
TMP,2024-01-05,18.52,°C
TMP,2024-01-05,20.22,°C
TMP,2024-01-05,21.87,°C
TMP,2024-01-05,23.06,°C
TMP,2024-01-05,23.65,°C
TMP,2024-01-05,23.35,°C
TMP,2024-01-05,21.05,°C
TMP,2024-01-05,17.86,°C
TMP,2024-01-05,16.35,°C
TMP,2024-01-05,15.48,°C
TMP,2024-01-05,14.72,°C
TMP,2024-01-05,13.24,°C
TMP,2024-01-06,12.37,°C
TMP,2024-01-06,11.75,°C
TMP,2024-01-06,11.09,°C
TMP,2024-01-06,10.73,°C
TMP,2024-01-06,10.62,°C
TMP,2024-01-06,10.34,°C
TMP,2024-01-06,9.88,°C
TMP,2024-01-06,9.47,°C
TMP,2024-01-06,9.8,°C
TMP,2024-01-06,11.04,°C
TMP,2024-01-06,15.32,°C
TMP,2024-01-06,17.42,°C
TMP,2024-01-06,19.77,°C
TMP,2024-01-06,20.89,°C
TMP,2024-01-06,21.53,°C
TMP,2024-01-06,21.65,°C
TMP,2024-01-06,22.4,°C
TMP,2024-01-06,22.38,°C
TMP,2024-01-06,21.1,°C
TMP,2024-01-06,19.56,°C
TMP,2024-01-06,18.18,°C
TMP,2024-01-06,16.84,°C
TMP,2024-01-06,16.57,°C
TMP,2024-01-06,15.96,°C
TMP,2024-01-07,15.25,°C
TMP,2024-01-07,15,°C
TMP,2024-01-07,14.6,°C
TMP,2024-01-07,14.27,°C
TMP,2024-01-07,13.85,°C
TMP,2024-01-07,13.15,°C
TMP,2024-01-07,12.76,°C
TMP,2024-01-07,12.5,°C
TMP,2024-01-07,12.54,°C
TMP,2024-01-07,13.02,°C
TMP,2024-01-07,13.98,°C
TMP,2024-01-07,14.67,°C
TMP,2024-01-07,15.87,°C
TMP,2024-01-07,16.12,°C
TMP,2024-01-07,16.29,°C
TMP,2024-01-07,17.68,°C
TMP,2024-01-07,19.49,°C
TMP,2024-01-07,19.19,°C
TMP,2024-01-07,18.85,°C
TMP,2024-01-07,18.55,°C
TMP,2024-01-07,18.19,°C
TMP,2024-01-07,17.81,°C
TMP,2024-01-07,17.65,°C
TMP,2024-01-08,17.43,°C
TMP,2024-01-08,16.38,°C
TMP,2024-01-08,14.88,°C
TMP,2024-01-08,13.93,°C
TMP,2024-01-08,13.65,°C
TMP,2024-01-08,13.5,°C
TMP,2024-01-08,13.78,°C
TMP,2024-01-08,13.48,°C
TMP,2024-01-08,13.19,°C
TMP,2024-01-08,14.25,°C
TMP,2024-01-08,17.71,°C
TMP,2024-01-08,21.13,°C
TMP,2024-01-08,23.84,°C
TMP,2024-01-08,26.2,°C
TMP,2024-01-08,28.56,°C
TMP,2024-01-08,30.41,°C
TMP,2024-01-08,31.41,°C
TMP,2024-01-08,31.55,°C
TMP,2024-01-08,29.4,°C
TMP,2024-01-08,24.47,°C
TMP,2024-01-08,19.15,°C
TMP,2024-01-08,17.29,°C
TMP,2024-01-08,16.03,°C
TMP,2024-01-08,15.11,°C
TMP,2024-01-09,14.52,°C
TMP,2024-01-09,13.85,°C
TMP,2024-01-09,13.38,°C
TMP,2024-01-09,13.85,°C
TMP,2024-01-09,13.69,°C
TMP,2024-01-09,12.74,°C
TMP,2024-01-09,11.52,°C
TMP,2024-01-09,9.08,°C
TMP,2024-01-09,8.77,°C
TMP,2024-01-09,9.97,°C
TMP,2024-01-09,11.48,°C
TMP,2024-01-09,13.64,°C
TMP,2024-01-09,15.93,°C
TMP,2024-01-09,17.2,°C
TMP,2024-01-09,17.85,°C
TMP,2024-01-09,18.99,°C
TMP,2024-01-09,19.01,°C
TMP,2024-01-09,18.49,°C
TMP,2024-01-09,16.92,°C
TMP,2024-01-09,14.77,°C
TMP,2024-01-09,13.02,°C
TMP,2024-01-09,11.99,°C
TMP,2024-01-09,11.09,°C
TMP,2024-01-09,10.13,°C
TMP,2024-01-10,10,°C
TMP,2024-01-10,9.09,°C
TMP,2024-01-10,8.24,°C
TMP,2024-01-10,7.88,°C
TMP,2024-01-10,7.45,°C
TMP,2024-01-10,7.5,°C
TMP,2024-01-10,7.46,°C
TMP,2024-01-10,7.35,°C
TMP,2024-01-10,7.54,°C
TMP,2024-01-10,9.64,°C
TMP,2024-01-10,12.57,°C
TMP,2024-01-10,14.95,°C
TMP,2024-01-10,17.11,°C
TMP,2024-01-10,19.25,°C
TMP,2024-01-10,20.67,°C
TMP,2024-01-10,22.41,°C
TMP,2024-01-10,22.94,°C
TMP,2024-01-10,21.94,°C
TMP,2024-01-10,20.37,°C
TMP,2024-01-10,18.33,°C
TMP,2024-01-10,16.5,°C
TMP,2024-01-10,15.21,°C
TMP,2024-01-10,13.78,°C
TMP,2024-01-10,12.88,°C
TMP,2024-01-11,12.25,°C
TMP,2024-01-11,12.14,°C
TMP,2024-01-11,11.89,°C
TMP,2024-01-11,11.96,°C
TMP,2024-01-11,12.54,°C
TMP,2024-01-11,12.56,°C
TMP,2024-01-11,12.15,°C
TMP,2024-01-11,11.59,°C
TMP,2024-01-11,11.23,°C
TMP,2024-01-11,11.39,°C
TMP,2024-01-11,17.08,°C
TMP,2024-01-11,22.45,°C
TMP,2024-01-11,26.95,°C
TMP,2024-01-11,29.75,°C
TMP,2024-01-11,30.57,°C
TMP,2024-01-11,32.27,°C
TMP,2024-01-11,32.01,°C
TMP,2024-01-11,30.84,°C
TMP,2024-01-11,28.75,°C
TMP,2024-01-11,24.82,°C
TMP,2024-01-11,22.75,°C
TMP,2024-01-11,22,°C
TMP,2024-01-11,19.67,°C
TMP,2024-01-11,17.93,°C
TMP,2024-01-12,17.32,°C
TMP,2024-01-12,17.1,°C
TMP,2024-01-12,16.08,°C
TMP,2024-01-12,15,°C
TMP,2024-01-12,16.1,°C
TMP,2024-01-12,18.34,°C
TMP,2024-01-12,20.02,°C
TMP,2024-01-12,17.89,°C
TMP,2024-01-12,17.27,°C
TMP,2024-01-16,2.2,°C
TMP,2024-01-16,3.03,°C
TMP,2024-01-16,4,°C
TMP,2024-01-16,4.71,°C
TMP,2024-01-16,5.32,°C
TMP,2024-01-16,4.59,°C
TMP,2024-01-16,3.69,°C
TMP,2024-01-16,3.3,°C
TMP,2024-01-16,3.07,°C
TMP,2024-01-16,2.42,°C
TMP,2024-01-16,1.39,°C
TMP,2024-01-17,0.9,°C
TMP,2024-01-17,0.62,°C
TMP,2024-01-17,0.24,°C
TMP,2024-01-17,-0.1,°C
TMP,2024-01-17,0.13,°C
TMP,2024-01-17,-0.29,°C
TMP,2024-01-17,-0.88,°C
TMP,2024-01-17,-1.06,°C
TMP,2024-01-17,-1.1,°C
TMP,2024-01-17,-0.48,°C
TMP,2024-01-17,1.66,°C
TMP,2024-01-17,3.87,°C
TMP,2024-01-17,4.98,°C
TMP,2024-01-17,6.1,°C
TMP,2024-01-17,7.25,°C
TMP,2024-01-17,7.59,°C
TMP,2024-01-17,8.07,°C
TMP,2024-01-17,8.9,°C
TMP,2024-01-17,8.83,°C
TMP,2024-01-17,7.82,°C
TMP,2024-01-17,6.78,°C
TMP,2024-01-17,6.42,°C
TMP,2024-01-17,5.8,°C
TMP,2024-01-17,5.67,°C
TMP,2024-01-18,5.2,°C
TMP,2024-01-18,5.19,°C
TMP,2024-01-18,5.14,°C
TMP,2024-01-18,4.83,°C
TMP,2024-01-18,5.05,°C
TMP,2024-01-18,5.6,°C
TMP,2024-01-18,6.12,°C
TMP,2024-01-18,6.83,°C
TMP,2024-01-18,7.22,°C
TMP,2024-01-18,8.78,°C
TMP,2024-01-18,10.6,°C
TMP,2024-01-18,14.51,°C
TMP,2024-01-18,18.69,°C
TMP,2024-01-18,22.77,°C
TMP,2024-01-18,25.49,°C
TMP,2024-01-18,27.44,°C
TMP,2024-01-18,28.04,°C
TMP,2024-01-18,26.8,°C
TMP,2024-01-18,24.9,°C
TMP,2024-01-18,21.34,°C
TMP,2024-01-18,19.16,°C
TMP,2024-01-18,18.37,°C
TMP,2024-01-18,16.93,°C
TMP,2024-01-18,15.3,°C
TMP,2024-01-19,14.48,°C
TMP,2024-01-19,13.62,°C
TMP,2024-01-19,13.62,°C
TMP,2024-01-19,13.15,°C
TMP,2024-01-19,13.03,°C
TMP,2024-01-19,12.9,°C
TMP,2024-01-19,13.13,°C
TMP,2024-01-19,12.46,°C
TMP,2024-01-19,12.46,°C
TMP,2024-01-19,13.29,°C
TMP,2024-01-19,15.79,°C
TMP,2024-01-19,19.95,°C
TMP,2024-01-19,22.21,°C
TMP,2024-01-19,23.32,°C
TMP,2024-01-19,22.57,°C
TMP,2024-01-19,21.52,°C
TMP,2024-01-19,20.74,°C
TMP,2024-01-19,19.5,°C
TMP,2024-01-19,18.36,°C
TMP,2024-01-19,16.95,°C
TMP,2024-01-19,15.47,°C
TMP,2024-01-19,14.4,°C
TMP,2024-01-19,13.92,°C
TMP,2024-01-19,13.57,°C
TMP,2024-01-20,13.33,°C
TMP,2024-01-20,13.04,°C
TMP,2024-01-20,12.63,°C
TMP,2024-01-20,11.55,°C
TMP,2024-01-20,10.78,°C
TMP,2024-01-20,10.2,°C
TMP,2024-01-20,8.99,°C
TMP,2024-01-20,8.9,°C
TMP,2024-01-20,8.52,°C
TMP,2024-01-20,8.09,°C
TMP,2024-01-20,8.55,°C
TMP,2024-01-20,8.88,°C
TMP,2024-01-20,8.94,°C
TMP,2024-01-20,9.04,°C
TMP,2024-01-20,8.91,°C
TMP,2024-01-20,8.8,°C
TMP,2024-01-20,8.11,°C
TMP,2024-01-20,7.63,°C
TMP,2024-01-20,6.8,°C
