Parametro,Fecha,valor,Unidad
,,,
VV,2024-01-01,1.194,m/s
VV,2024-01-01,1.417,m/s
VV,2024-01-01,1.583,m/s
VV,2024-01-01,1.306,m/s
VV,2024-01-01,1.444,m/s
VV,2024-01-01,0.944,m/s
VV,2024-01-01,0.194,m/s
VV,2024-01-01,0.722,m/s
VV,2024-01-01,2.278,m/s
VV,2024-01-01,2.472,m/s
VV,2024-01-01,2.556,m/s
VV,2024-01-01,2.389,m/s
VV,2024-01-01,1.972,m/s
VV,2024-01-01,1.222,m/s
VV,2024-01-01,1,m/s
VV,2024-01-01,0.528,m/s
VV,2024-01-01,1.694,m/s
VV,2024-01-01,2.667,m/s
VV,2024-01-01,1.333,m/s
VV,2024-01-01,1.917,m/s
VV,2024-01-01,1.833,m/s
VV,2024-01-01,1.778,m/s
VV,2024-01-01,1.75,m/s
VV,2024-01-02,1.806,m/s
VV,2024-01-02,1.917,m/s
VV,2024-01-02,1.75,m/s
VV,2024-01-02,1.167,m/s
VV,2024-01-02,1.194,m/s
VV,2024-01-02,1.556,m/s
VV,2024-01-02,1.528,m/s
VV,2024-01-02,1.472,m/s
VV,2024-01-02,1.25,m/s
VV,2024-01-02,1.472,m/s
VV,2024-01-02,1.222,m/s
VV,2024-01-02,1.222,m/s
VV,2024-01-02,0.472,m/s
VV,2024-01-02,0.694,m/s
VV,2024-01-02,1.278,m/s
VV,2024-01-02,1.083,m/s
VV,2024-01-02,1,m/s
VV,2024-01-02,1.111,m/s
VV,2024-01-02,0.528,m/s
VV,2024-01-02,0.25,m/s
VV,2024-01-02,0.944,m/s
VV,2024-01-02,0.306,m/s
VV,2024-01-02,1.028,m/s
VV,2024-01-02,0.389,m/s
VV,2024-01-03,1.5,m/s
VV,2024-01-03,2.222,m/s
VV,2024-01-03,1.861,m/s
VV,2024-01-03,2.333,m/s
VV,2024-01-03,2.556,m/s
VV,2024-01-03,2.472,m/s
VV,2024-01-03,1.556,m/s
VV,2024-01-03,2.083,m/s
VV,2024-01-03,1.278,m/s
VV,2024-01-03,1.472,m/s
VV,2024-01-03,2.5,m/s
VV,2024-01-03,2.278,m/s
VV,2024-01-03,2.417,m/s
VV,2024-01-03,1.667,m/s
VV,2024-01-03,1.528,m/s
VV,2024-01-03,0.194,m/s
VV,2024-01-03,1.583,m/s
VV,2024-01-03,2.75,m/s
VV,2024-01-03,2.667,m/s
VV,2024-01-03,1.861,m/s
VV,2024-01-03,1.472,m/s
VV,2024-01-03,1.75,m/s
VV,2024-01-03,1.694,m/s
VV,2024-01-03,1.583,m/s
VV,2024-01-04,1.333,m/s
VV,2024-01-04,1.639,m/s
VV,2024-01-04,2.611,m/s
VV,2024-01-04,3,m/s
VV,2024-01-04,2.667,m/s
VV,2024-01-04,2,m/s
VV,2024-01-04,1.944,m/s
VV,2024-01-04,2.25,m/s
VV,2024-01-04,2.194,m/s
VV,2024-01-04,2.056,m/s
VV,2024-01-04,1.861,m/s
VV,2024-01-04,2.139,m/s
VV,2024-01-04,1.639,m/s
VV,2024-01-04,1,m/s
VV,2024-01-04,1.278,m/s
VV,2024-01-04,1.306,m/s
VV,2024-01-04,0.917,m/s
VV,2024-01-04,1.111,m/s
VV,2024-01-04,1.417,m/s
VV,2024-01-04,0.194,m/s
VV,2024-01-04,0.972,m/s
VV,2024-01-04,0.639,m/s
VV,2024-01-04,0.917,m/s
VV,2024-01-04,2.167,m/s
VV,2024-01-05,2.417,m/s
VV,2024-01-05,2.861,m/s
VV,2024-01-05,3,m/s
VV,2024-01-05,2.972,m/s
VV,2024-01-05,3.306,m/s
VV,2024-01-05,3.083,m/s
VV,2024-01-05,3.694,m/s
VV,2024-01-05,2.972,m/s
VV,2024-01-05,2.833,m/s
VV,2024-01-05,2.833,m/s
VV,2024-01-05,3.444,m/s
VV,2024-01-05,2.944,m/s
VV,2024-01-05,2.5,m/s
VV,2024-01-05,2.389,m/s
VV,2024-01-05,1.583,m/s
VV,2024-01-05,0.833,m/s
VV,2024-01-05,0.611,m/s
VV,2024-01-05,1.167,m/s
VV,2024-01-05,2.583,m/s
VV,2024-01-05,2.111,m/s
VV,2024-01-05,1.417,m/s
VV,2024-01-05,1.25,m/s
VV,2024-01-05,1.028,m/s
VV,2024-01-05,0.306,m/s
VV,2024-01-06,0.139,m/s
VV,2024-01-06,0.583,m/s
VV,2024-01-06,1,m/s
VV,2024-01-06,0.861,m/s
VV,2024-01-06,1.333,m/s
VV,2024-01-06,1.111,m/s
VV,2024-01-06,0.889,m/s
VV,2024-01-06,0.917,m/s
VV,2024-01-06,1.25,m/s
VV,2024-01-06,1.861,m/s
VV,2024-01-06,1.778,m/s
VV,2024-01-06,1.889,m/s
VV,2024-01-06,0.25,m/s
VV,2024-01-06,1.111,m/s
VV,2024-01-06,0.722,m/s
VV,2024-01-06,1.306,m/s
VV,2024-01-06,1.028,m/s
VV,2024-01-06,0.806,m/s
VV,2024-01-06,0.778,m/s
VV,2024-01-06,0.556,m/s
VV,2024-01-06,0.444,m/s
VV,2024-01-06,0.694,m/s
VV,2024-01-06,0.944,m/s
VV,2024-01-06,0.528,m/s
VV,2024-01-07,0.444,m/s
VV,2024-01-07,0.056,m/s
VV,2024-01-07,0.25,m/s
VV,2024-01-07,0.417,m/s
VV,2024-01-07,0.333,m/s
VV,2024-01-07,0.333,m/s
VV,2024-01-07,0.75,m/s
VV,2024-01-07,0.389,m/s
VV,2024-01-07,1.472,m/s
VV,2024-01-07,1.722,m/s
VV,2024-01-07,2.444,m/s
VV,2024-01-07,2.139,m/s
VV,2024-01-07,1.861,m/s
VV,2024-01-07,1.167,m/s
VV,2024-01-07,1.361,m/s
VV,2024-01-07,1.222,m/s
VV,2024-01-07,3.639,m/s
VV,2024-01-07,4.444,m/s
VV,2024-01-07,4.222,m/s
VV,2024-01-07,3.861,m/s
VV,2024-01-07,3.111,m/s
VV,2024-01-07,2.611,m/s
VV,2024-01-07,1.583,m/s
VV,2024-01-08,2.389,m/s
VV,2024-01-08,0.139,m/s
VV,2024-01-08,0.75,m/s
VV,2024-01-08,1.333,m/s
VV,2024-01-08,1.556,m/s
VV,2024-01-08,1.5,m/s
VV,2024-01-08,1.361,m/s
VV,2024-01-08,1.167,m/s
VV,2024-01-08,0.806,m/s
VV,2024-01-08,1.139,m/s
VV,2024-01-08,1.167,m/s
VV,2024-01-08,0.528,m/s
VV,2024-01-08,0.778,m/s
VV,2024-01-08,1.25,m/s
VV,2024-01-08,1.083,m/s
VV,2024-01-08,1.75,m/s
VV,2024-01-08,1.75,m/s
VV,2024-01-08,1.417,m/s
VV,2024-01-08,1.167,m/s
VV,2024-01-08,2.722,m/s
VV,2024-01-08,5.5,m/s
VV,2024-01-08,4.833,m/s
VV,2024-01-08,4.139,m/s
