Parametro,Fecha,valor,Unidad
,,,
DV,2024-01-01,289,°A
DV,2024-01-01,291,°A
DV,2024-01-01,291,°A
DV,2024-01-01,297,°A
DV,2024-01-01,292,°A
DV,2024-01-01,283,°A
DV,2024-01-01,291,°A
DV,2024-01-01,223,°A
DV,2024-01-01,164,°A
DV,2024-01-01,163,°A
DV,2024-01-01,195,°A
DV,2024-01-01,300,°A
DV,2024-01-01,287,°A
DV,2024-01-01,46,°A
DV,2024-01-01,60,°A
DV,2024-01-01,51,°A
DV,2024-01-01,72,°A
DV,2024-01-01,125,°A
DV,2024-01-01,118,°A
DV,2024-01-01,121,°A
DV,2024-01-01,109,°A
DV,2024-01-01,95,°A
DV,2024-01-01,98,°A
DV,2024-01-02,94,°A
DV,2024-01-02,99,°A
DV,2024-01-02,88,°A
DV,2024-01-02,107,°A
DV,2024-01-02,26,°A
DV,2024-01-02,50,°A
DV,2024-01-02,71,°A
DV,2024-01-02,50,°A
DV,2024-01-02,78,°A
DV,2024-01-02,104,°A
DV,2024-01-02,81,°A
DV,2024-01-02,81,°A
DV,2024-01-02,64,°A
DV,2024-01-02,69,°A
DV,2024-01-02,37,°A
DV,2024-01-02,112,°A
DV,2024-01-02,96,°A
DV,2024-01-02,86,°A
DV,2024-01-02,247,°A
DV,2024-01-02,223,°A
DV,2024-01-02,251,°A
DV,2024-01-02,303,°A
DV,2024-01-02,159,°A
DV,2024-01-02,28,°A
DV,2024-01-03,290,°A
DV,2024-01-03,291,°A
DV,2024-01-03,5,°A
DV,2024-01-03,120,°A
DV,2024-01-03,61,°A
DV,2024-01-03,330,°A
DV,2024-01-03,309,°A
DV,2024-01-03,324,°A
DV,2024-01-03,272,°A
DV,2024-01-03,281,°A
DV,2024-01-03,314,°A
DV,2024-01-03,56,°A
DV,2024-01-03,51,°A
DV,2024-01-03,103,°A
DV,2024-01-03,132,°A
DV,2024-01-03,110,°A
DV,2024-01-03,105,°A
DV,2024-01-03,106,°A
DV,2024-01-03,106,°A
DV,2024-01-03,109,°A
DV,2024-01-03,103,°A
DV,2024-01-04,120,°A
DV,2024-01-04,109,°A
DV,2024-01-04,92,°A
DV,2024-01-04,96,°A
DV,2024-01-04,102,°A
DV,2024-01-04,102,°A
DV,2024-01-04,100,°A
DV,2024-01-04,98,°A
DV,2024-01-04,92,°A
DV,2024-01-04,97,°A
DV,2024-01-04,98,°A
DV,2024-01-04,93,°A
DV,2024-01-04,81,°A
DV,2024-01-04,87,°A
DV,2024-01-04,87,°A
DV,2024-01-04,86,°A
DV,2024-01-04,78,°A
DV,2024-01-04,76,°A
DV,2024-01-04,61,°A
DV,2024-01-04,306,°A
DV,2024-01-04,283,°A
DV,2024-01-04,307,°A
DV,2024-01-04,308,°A
DV,2024-01-04,271,°A
DV,2024-01-05,262,°A
DV,2024-01-05,266,°A
DV,2024-01-05,306,°A
DV,2024-01-05,299,°A
DV,2024-01-05,307,°A
DV,2024-01-05,305,°A
DV,2024-01-05,293,°A
DV,2024-01-05,286,°A
DV,2024-01-05,302,°A
DV,2024-01-05,296,°A
DV,2024-01-05,281,°A
DV,2024-01-05,317,°A
DV,2024-01-05,23,°A
DV,2024-01-05,32,°A
DV,2024-01-05,96,°A
DV,2024-01-05,123,°A
DV,2024-01-05,133,°A
DV,2024-01-05,132,°A
DV,2024-01-05,142,°A
DV,2024-01-05,129,°A
DV,2024-01-05,135,°A
DV,2024-01-05,186,°A
