Parametro,Fecha,valor,Unidad
,,,
HR,2024-01-01,58,%
HR,2024-01-01,61,%
HR,2024-01-01,62,%
HR,2024-01-01,53,%
HR,2024-01-01,55,%
HR,2024-01-01,42,%
HR,2024-01-01,43,%
HR,2024-01-01,48,%
HR,2024-01-01,43,%
HR,2024-01-01,35,%
HR,2024-01-01,33,%
HR,2024-01-01,36,%
HR,2024-01-01,37,%
HR,2024-01-01,41,%
HR,2024-01-01,42,%
HR,2024-01-01,45,%
HR,2024-01-01,47,%
HR,2024-01-01,50,%
HR,2024-01-01,60,%
HR,2024-01-01,64,%
HR,2024-01-01,66,%
HR,2024-01-01,65,%
HR,2024-01-01,65,%
HR,2024-01-02,69,%
HR,2024-01-02,81,%
HR,2024-01-02,88,%
HR,2024-01-02,89,%
HR,2024-01-02,87,%
HR,2024-01-02,87,%
HR,2024-01-02,89,%
HR,2024-01-02,91,%
HR,2024-01-02,91,%
HR,2024-01-02,89,%
HR,2024-01-02,88,%
HR,2024-01-02,88,%
HR,2024-01-02,89,%
HR,2024-01-02,89,%
HR,2024-01-02,89,%
HR,2024-01-02,88,%
HR,2024-01-02,83,%
HR,2024-01-02,82,%
HR,2024-01-02,82,%
HR,2024-01-02,81,%
HR,2024-01-02,79,%
HR,2024-01-02,79,%
HR,2024-01-02,84,%
HR,2024-01-02,86,%
HR,2024-01-03,87,%
HR,2024-01-03,88,%
HR,2024-01-03,89,%
HR,2024-01-03,90,%
HR,2024-01-03,89,%
HR,2024-01-03,89,%
HR,2024-01-03,88,%
HR,2024-01-03,88,%
HR,2024-01-03,88,%
HR,2024-01-03,86,%
HR,2024-01-03,71,%
HR,2024-01-03,62,%
HR,2024-01-03,63,%
HR,2024-01-03,47,%
HR,2024-01-03,49,%
HR,2024-01-03,59,%
HR,2024-01-03,60,%
HR,2024-01-03,59,%
HR,2024-01-03,60,%
HR,2024-01-03,54,%
HR,2024-01-03,54,%
HR,2024-01-04,57,%
HR,2024-01-04,58,%
HR,2024-01-04,66,%
HR,2024-01-04,79,%
HR,2024-01-04,86,%
HR,2024-01-04,89,%
HR,2024-01-04,91,%
HR,2024-01-04,91,%
HR,2024-01-04,92,%
HR,2024-01-04,93,%
HR,2024-01-04,93,%
HR,2024-01-04,93,%
HR,2024-01-04,91,%
HR,2024-01-04,87,%
HR,2024-01-04,84,%
HR,2024-01-04,85,%
HR,2024-01-04,84,%
HR,2024-01-04,83,%
HR,2024-01-04,81,%
HR,2024-01-04,80,%
HR,2024-01-04,81,%
HR,2024-01-04,84,%
HR,2024-01-04,88,%
HR,2024-01-04,87,%
HR,2024-01-05,86,%
HR,2024-01-05,88,%
HR,2024-01-05,88,%
HR,2024-01-05,87,%
HR,2024-01-05,84,%
HR,2024-01-05,82,%
HR,2024-01-05,83,%
HR,2024-01-05,84,%
HR,2024-01-05,82,%
HR,2024-01-05,77,%
HR,2024-01-05,59,%
HR,2024-01-05,53,%
HR,2024-01-05,49,%
HR,2024-01-05,43,%
HR,2024-01-05,39,%
HR,2024-01-05,37,%
HR,2024-01-05,38,%
HR,2024-01-05,39,%
HR,2024-01-05,44,%
HR,2024-01-05,48,%
HR,2024-01-05,47,%
HR,2024-01-05,56,%
HR,2024-01-05,56,%
HR,2024-01-05,61,%
HR,2024-01-06,66,%
HR,2024-01-06,67,%
HR,2024-01-06,70,%
HR,2024-01-06,70,%
HR,2024-01-06,73,%
HR,2024-01-06,76,%
HR,2024-01-06,77,%
HR,2024-01-06,76,%
HR,2024-01-06,79,%
HR,2024-01-06,68,%
HR,2024-01-06,53,%
HR,2024-01-06,47,%
HR,2024-01-06,42,%
HR,2024-01-06,42,%
HR,2024-01-06,44,%
HR,2024-01-06,44,%
HR,2024-01-06,44,%
