Parametro,Fecha,valor,Unidad
,,,
NO,2024-01-01,0.011,ppm
NO,2024-01-01,0.017,ppm
NO,2024-01-01,0.014,ppm
NO,2024-01-01,0.009,ppm
NO,2024-01-01,0.007,ppm
NO,2024-01-01,0.007,ppm
NO,2024-01-01,0.007,ppm
NO,2024-01-01,0.008,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.006,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.005,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.004,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-01,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.003,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.004,ppm
NO,2024-01-02,0.005,ppm
NO,2024-01-02,0.006,ppm
NO,2024-01-02,0.006,ppm
NO,2024-01-02,0.007,ppm
NO,2024-01-02,0.008,ppm
NO,2024-01-02,0.009,ppm
NO,2024-01-02,0.012,ppm
NO,2024-01-02,0.013,ppm
NO,2024-01-02,0.024,ppm
NO,2024-01-02,0.027,ppm
NO,2024-01-02,0.019,ppm
NO,2024-01-02,0.02,ppm
NO,2024-01-02,0.02,ppm
NO,2024-01-02,0.025,ppm
NO,2024-01-02,0.023,ppm
NO,2024-01-02,0.04,ppm
NO,2024-01-02,0.059,ppm
NO,2024-01-02,0.058,ppm
NO,2024-01-03,0.034,ppm
NO,2024-01-03,0.024,ppm
NO,2024-01-03,0.012,ppm
NO,2024-01-03,0.008,ppm
NO,2024-01-03,0.007,ppm
NO,2024-01-03,0.007,ppm
NO,2024-01-03,0.008,ppm
NO,2024-01-03,0.01,ppm
NO,2024-01-03,0.014,ppm
NO,2024-01-03,0.043,ppm
NO,2024-01-03,0.028,ppm
NO,2024-01-03,0.018,ppm
NO,2024-01-03,0.015,ppm
NO,2024-01-03,0.005,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.004,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-03,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.003,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.004,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.007,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.009,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.007,ppm
NO,2024-01-04,0.007,ppm
NO,2024-01-04,0.006,ppm
NO,2024-01-04,0.005,ppm
NO,2024-01-04,0.008,ppm
NO,2024-01-04,0.011,ppm
NO,2024-01-04,0.024,ppm
NO,2024-01-04,0.037,ppm
NO,2024-01-04,0.035,ppm
NO,2024-01-05,0.012,ppm
NO,2024-01-05,0.016,ppm
NO,2024-01-05,0.012,ppm
NO,2024-01-05,0.007,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.015,ppm
NO,2024-01-05,0.031,ppm
NO,2024-01-05,0.039,ppm
NO,2024-01-05,0.066,ppm
NO,2024-01-05,0.034,ppm
NO,2024-01-05,0.038,ppm
NO,2024-01-05,0.019,ppm
NO,2024-01-05,0.008,ppm
NO,2024-01-05,0.007,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.007,ppm
NO,2024-01-05,0.006,ppm
NO,2024-01-05,0.015,ppm
NO,2024-01-05,0.019,ppm
NO,2024-01-05,0.032,ppm
NO,2024-01-06,0.041,ppm
NO,2024-01-06,0.028,ppm
NO,2024-01-06,0.032,ppm
NO,2024-01-06,0.009,ppm
NO,2024-01-06,0.021,ppm
NO,2024-01-06,0.028,ppm
NO,2024-01-06,0.037,ppm
NO,2024-01-06,0.084,ppm
NO,2024-01-06,0.115,ppm
NO,2024-01-06,0.065,ppm
NO,2024-01-06,0.043,ppm
NO,2024-01-06,0.051,ppm
NO,2024-01-06,0.028,ppm
NO,2024-01-06,0.02,ppm
NO,2024-01-06,0.012,ppm
NO,2024-01-06,0.008,ppm
NO,2024-01-06,0.006,ppm
NO,2024-01-06,0.005,ppm
NO,2024-01-06,0.005,ppm
NO,2024-01-06,0.009,ppm
NO,2024-01-06,0.029,ppm
NO,2024-01-06,0.047,ppm
NO,2024-01-06,0.042,ppm
NO,2024-01-06,0.042,ppm
NO,2024-01-07,0.046,ppm
NO,2024-01-07,0.04,ppm
NO,2024-01-07,0.015,ppm
NO,2024-01-07,0.009,ppm
NO,2024-01-07,0.009,ppm
NO,2024-01-07,0.029,ppm
NO,2024-01-07,0.037,ppm
NO,2024-01-07,0.036,ppm
NO,2024-01-07,0.033,ppm
NO,2024-01-07,0.029,ppm
NO,2024-01-07,0.016,ppm
NO,2024-01-07,0.008,ppm
NO,2024-01-07,0.008,ppm
NO,2024-01-07,0.007,ppm
NO,2024-01-07,0.006,ppm
NO,2024-01-07,0.006,ppm
NO,2024-01-07,0.006,ppm
NO,2024-01-07,0.007,ppm
