Parametro,Fecha,valor,Unidad
,,,
NOx,2024-01-01,0.034,ppm
NOx,2024-01-01,0.047,ppm
NOx,2024-01-01,0.04,ppm
NOx,2024-01-01,0.029,ppm
NOx,2024-01-01,0.024,ppm
NOx,2024-01-01,0.022,ppm
NOx,2024-01-01,0.019,ppm
NOx,2024-01-01,0.028,ppm
NOx,2024-01-01,0.016,ppm
NOx,2024-01-01,0.014,ppm
NOx,2024-01-01,0.015,ppm
NOx,2024-01-01,0.015,ppm
NOx,2024-01-01,0.015,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.013,ppm
NOx,2024-01-01,0.017,ppm
NOx,2024-01-01,0.014,ppm
NOx,2024-01-01,0.012,ppm
NOx,2024-01-01,0.011,ppm
NOx,2024-01-01,0.01,ppm
NOx,2024-01-01,0.009,ppm
NOx,2024-01-02,0.009,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.008,ppm
NOx,2024-01-02,0.01,ppm
NOx,2024-01-02,0.012,ppm
NOx,2024-01-02,0.017,ppm
NOx,2024-01-02,0.015,ppm
NOx,2024-01-02,0.017,ppm
NOx,2024-01-02,0.017,ppm
NOx,2024-01-02,0.019,ppm
NOx,2024-01-02,0.024,ppm
NOx,2024-01-02,0.027,ppm
NOx,2024-01-02,0.042,ppm
NOx,2024-01-02,0.047,ppm
NOx,2024-01-02,0.039,ppm
NOx,2024-01-02,0.043,ppm
NOx,2024-01-02,0.047,ppm
NOx,2024-01-02,0.054,ppm
NOx,2024-01-02,0.052,ppm
NOx,2024-01-02,0.07,ppm
NOx,2024-01-02,0.081,ppm
NOx,2024-01-02,0.078,ppm
NOx,2024-01-03,0.052,ppm
NOx,2024-01-03,0.042,ppm
NOx,2024-01-03,0.027,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.014,ppm
NOx,2024-01-03,0.014,ppm
NOx,2024-01-03,0.018,ppm
NOx,2024-01-03,0.023,ppm
NOx,2024-01-03,0.032,ppm
NOx,2024-01-03,0.064,ppm
NOx,2024-01-03,0.048,ppm
NOx,2024-01-03,0.036,ppm
NOx,2024-01-03,0.032,ppm
NOx,2024-01-03,0.02,ppm
NOx,2024-01-03,0.023,ppm
NOx,2024-01-03,0.017,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.015,ppm
NOx,2024-01-03,0.013,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-03,0.01,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.009,ppm
NOx,2024-01-04,0.011,ppm
NOx,2024-01-04,0.007,ppm
NOx,2024-01-04,0.007,ppm
NOx,2024-01-04,0.008,ppm
NOx,2024-01-04,0.01,ppm
NOx,2024-01-04,0.013,ppm
NOx,2024-01-04,0.014,ppm
NOx,2024-01-04,0.013,ppm
NOx,2024-01-04,0.017,ppm
NOx,2024-01-04,0.019,ppm
NOx,2024-01-04,0.021,ppm
NOx,2024-01-04,0.022,ppm
NOx,2024-01-04,0.019,ppm
NOx,2024-01-04,0.019,ppm
NOx,2024-01-04,0.018,ppm
NOx,2024-01-04,0.018,ppm
NOx,2024-01-04,0.031,ppm
NOx,2024-01-04,0.034,ppm
NOx,2024-01-04,0.052,ppm
NOx,2024-01-04,0.065,ppm
NOx,2024-01-04,0.064,ppm
NOx,2024-01-05,0.038,ppm
NOx,2024-01-05,0.042,ppm
NOx,2024-01-05,0.036,ppm
NOx,2024-01-05,0.021,ppm
NOx,2024-01-05,0.017,ppm
NOx,2024-01-05,0.017,ppm
NOx,2024-01-05,0.034,ppm
NOx,2024-01-05,0.054,ppm
NOx,2024-01-05,0.064,ppm
NOx,2024-01-05,0.092,ppm
NOx,2024-01-05,0.058,ppm
NOx,2024-01-05,0.067,ppm
NOx,2024-01-05,0.04,ppm
NOx,2024-01-05,0.02,ppm
NOx,2024-01-05,0.019,ppm
NOx,2024-01-05,0.019,ppm
