Parametro,Fecha,valor,Unidad
,,,
PB,2024-01-01,724.5,mmHg
PB,2024-01-01,724.6,mmHg
PB,2024-01-01,724.7,mmHg
PB,2024-01-01,724.7,mmHg
PB,2024-01-01,724.7,mmHg
PB,2024-01-01,724.7,mmHg
PB,2024-01-01,725.4,mmHg
PB,2024-01-01,726.2,mmHg
PB,2024-01-01,727.2,mmHg
PB,2024-01-01,727.6,mmHg
PB,2024-01-01,728.3,mmHg
PB,2024-01-01,728.3,mmHg
PB,2024-01-01,727.6,mmHg
PB,2024-01-01,727,mmHg
PB,2024-01-01,726.3,mmHg
PB,2024-01-01,726.2,mmHg
PB,2024-01-01,726.4,mmHg
PB,2024-01-01,726.6,mmHg
PB,2024-01-01,727.1,mmHg
PB,2024-01-01,727.3,mmHg
PB,2024-01-01,727.3,mmHg
PB,2024-01-01,727.1,mmHg
PB,2024-01-01,726.9,mmHg
PB,2024-01-02,726.3,mmHg
PB,2024-01-02,726.4,mmHg
PB,2024-01-02,726.6,mmHg
PB,2024-01-02,726.2,mmHg
PB,2024-01-02,725.8,mmHg
PB,2024-01-02,725.5,mmHg
PB,2024-01-02,725.2,mmHg
PB,2024-01-02,725.2,mmHg
PB,2024-01-02,725.6,mmHg
PB,2024-01-02,725.5,mmHg
PB,2024-01-02,725.4,mmHg
PB,2024-01-02,725.5,mmHg
PB,2024-01-02,725,mmHg
PB,2024-01-02,724,mmHg
PB,2024-01-02,723.5,mmHg
PB,2024-01-02,722.5,mmHg
PB,2024-01-02,722,mmHg
PB,2024-01-02,722,mmHg
PB,2024-01-02,722.2,mmHg
PB,2024-01-02,722.7,mmHg
PB,2024-01-02,723,mmHg
PB,2024-01-02,723.3,mmHg
PB,2024-01-02,723.6,mmHg
PB,2024-01-02,723.9,mmHg
PB,2024-01-03,724.1,mmHg
PB,2024-01-03,724.2,mmHg
PB,2024-01-03,724.3,mmHg
PB,2024-01-03,724.6,mmHg
PB,2024-01-03,725,mmHg
PB,2024-01-03,725.2,mmHg
PB,2024-01-03,725.5,mmHg
PB,2024-01-03,725.9,mmHg
PB,2024-01-03,726.2,mmHg
PB,2024-01-03,726.7,mmHg
PB,2024-01-03,727.2,mmHg
PB,2024-01-03,727.3,mmHg
PB,2024-01-03,726.9,mmHg
PB,2024-01-03,724.3,mmHg
PB,2024-01-03,724.3,mmHg
PB,2024-01-03,724.5,mmHg
PB,2024-01-03,724.9,mmHg
PB,2024-01-03,725.6,mmHg
PB,2024-01-03,725.8,mmHg
PB,2024-01-03,725.9,mmHg
PB,2024-01-03,725.8,mmHg
PB,2024-01-04,725.5,mmHg
PB,2024-01-04,725.2,mmHg
PB,2024-01-04,724.7,mmHg
PB,2024-01-04,724.5,mmHg
PB,2024-01-04,724.1,mmHg
PB,2024-01-04,724.2,mmHg
PB,2024-01-04,724,mmHg
PB,2024-01-04,724,mmHg
PB,2024-01-04,724.3,mmHg
PB,2024-01-04,724.4,mmHg
PB,2024-01-04,724.4,mmHg
PB,2024-01-04,723.9,mmHg
PB,2024-01-04,723.3,mmHg
PB,2024-01-04,722.4,mmHg
PB,2024-01-04,721.1,mmHg
PB,2024-01-04,720.4,mmHg
PB,2024-01-04,720.2,mmHg
PB,2024-01-04,719.9,mmHg
PB,2024-01-04,719.7,mmHg
PB,2024-01-04,719.5,mmHg
PB,2024-01-04,719.5,mmHg
PB,2024-01-04,719.5,mmHg
PB,2024-01-04,719.7,mmHg
PB,2024-01-04,720.1,mmHg
PB,2024-01-05,720.5,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.7,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.6,mmHg
PB,2024-01-05,720.9,mmHg
PB,2024-01-05,721.3,mmHg
PB,2024-01-05,721.7,mmHg
PB,2024-01-05,721.8,mmHg
PB,2024-01-05,721.5,mmHg
PB,2024-01-05,720.8,mmHg
PB,2024-01-05,720,mmHg
PB,2024-01-05,719.5,mmHg
PB,2024-01-05,719.4,mmHg
PB,2024-01-05,719.2,mmHg
PB,2024-01-05,719.5,mmHg
PB,2024-01-05,719.6,mmHg
PB,2024-01-05,720.1,mmHg
PB,2024-01-05,720.5,mmHg
PB,2024-01-05,720.8,mmHg
PB,2024-01-05,720.7,mmHg
PB,2024-01-06,720.5,mmHg
PB,2024-01-06,720.2,mmHg
PB,2024-01-06,720,mmHg
PB,2024-01-06,720.1,mmHg
PB,2024-01-06,720.1,mmHg
PB,2024-01-06,720.1,mmHg
PB,2024-01-06,719.7,mmHg
PB,2024-01-06,720.3,mmHg
PB,2024-01-06,720.8,mmHg
PB,2024-01-06,721.7,mmHg
PB,2024-01-06,722.3,mmHg
PB,2024-01-06,722.5,mmHg
PB,2024-01-06,722.1,mmHg
PB,2024-01-06,721.2,mmHg
PB,2024-01-06,720.5,mmHg
PB,2024-01-06,720.2,mmHg
PB,2024-01-06,720.3,mmHg
PB,2024-01-06,720.8,mmHg
PB,2024-01-06,721.6,mmHg
PB,2024-01-06,722.3,mmHg
PB,2024-01-06,723.2,mmHg
PB,2024-01-06,724,mmHg
PB,2024-01-06,724.6,mmHg
PB,2024-01-06,724.7,mmHg
PB,2024-01-07,724.7,mmHg
PB,2024-01-07,724.7,mmHg
PB,2024-01-07,724.6,mmHg
PB,2024-01-07,724.5,mmHg
PB,2024-01-07,724.2,mmHg
PB,2024-01-07,724.3,mmHg
PB,2024-01-07,724.5,mmHg
PB,2024-01-07,724.7,mmHg
PB,2024-01-07,724.7,mmHg
PB,2024-01-07,724.8,mmHg
PB,2024-01-07,725.1,mmHg
PB,2024-01-07,725,mmHg
PB,2024-01-07,724.2,mmHg
PB,2024-01-07,722.7,mmHg
PB,2024-01-07,721.8,mmHg
PB,2024-01-07,720.9,mmHg
PB,2024-01-07,720.2,mmHg
PB,2024-01-07,720,mmHg
PB,2024-01-07,719.7,mmHg
PB,2024-01-07,719.3,mmHg
PB,2024-01-07,718.8,mmHg
PB,2024-01-07,718.4,mmHg
PB,2024-01-07,718.1,mmHg
PB,2024-01-07,717.9,mmHg
PB,2024-01-08,717.3,mmHg
PB,2024-01-08,716.3,mmHg
PB,2024-01-08,715.3,mmHg
PB,2024-01-08,714.5,mmHg
PB,2024-01-08,714,mmHg
PB,2024-01-08,713.8,mmHg
PB,2024-01-08,713.8,mmHg
PB,2024-01-08,713.7,mmHg
PB,2024-01-08,713.6,mmHg
PB,2024-01-08,714.1,mmHg
PB,2024-01-08,714.4,mmHg
PB,2024-01-08,714.2,mmHg
PB,2024-01-08,713.6,mmHg
PB,2024-01-08,712.5,mmHg
PB,2024-01-08,711.4,mmHg
PB,2024-01-08,710.7,mmHg
PB,2024-01-08,710.7,mmHg
PB,2024-01-08,710.7,mmHg
PB,2024-01-08,711.1,mmHg
PB,2024-01-08,713,mmHg
PB,2024-01-08,715.6,mmHg
PB,2024-01-08,717.1,mmHg
PB,2024-01-08,718.8,mmHg
PB,2024-01-08,720.1,mmHg
PB,2024-01-09,721.1,mmHg
PB,2024-01-09,721.8,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-09,721.9,mmHg
PB,2024-01-09,721.9,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-09,722.6,mmHg
PB,2024-01-09,723.4,mmHg
PB,2024-01-09,724,mmHg
PB,2024-01-09,724.7,mmHg
PB,2024-01-09,725.7,mmHg
PB,2024-01-09,725.6,mmHg
PB,2024-01-09,724.9,mmHg
PB,2024-01-09,723.9,mmHg
PB,2024-01-09,722.8,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-09,721.8,mmHg
PB,2024-01-09,721.6,mmHg
PB,2024-01-09,721.4,mmHg
PB,2024-01-09,721.6,mmHg
PB,2024-01-09,722,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-09,722.1,mmHg
PB,2024-01-10,721.9,mmHg
PB,2024-01-10,721.6,mmHg
PB,2024-01-10,721.3,mmHg
PB,2024-01-10,720.8,mmHg
PB,2024-01-10,720.3,mmHg
PB,2024-01-10,720.3,mmHg
