Parametro,Fecha,Hora,Concentraciones horarias,Unidad
,,,,
PM2.5,2024-01-01,0:00 - 1:00,62,µg/m³
PM2.5,2024-01-02,0:00 - 1:00,11,µg/m³
PM2.5,2024-01-02,1:00 - 2:00,10,µg/m³
PM2.5,2024-01-02,2:00 - 3:00,8,µg/m³
PM2.5,2024-01-02,6:00 - 7:00,11,µg/m³
PM2.5,2024-01-02,7:00 - 8:00,9,µg/m³
PM2.5,2024-01-02,8:00 - 9:00,7,µg/m³
PM2.5,2024-01-02,9:00 - 10:00,7,µg/m³
PM2.5,2024-01-02,10:00 - 11:00,11,µg/m³
PM2.5,2024-01-02,11:00 - 12:00,15,µg/m³
PM2.5,2024-01-02,12:00 - 13:00,22,µg/m³
PM2.5,2024-01-02,13:00 - 14:00,26,µg/m³
PM2.5,2024-01-02,14:00 - 15:00,30,µg/m³
PM2.5,2024-01-02,15:00 - 16:00,37,µg/m³
PM2.5,2024-01-02,16:00 - 17:00,35,µg/m³
PM2.5,2024-01-02,17:00 - 18:00,34,µg/m³
PM2.5,2024-01-02,18:00 - 19:00,30,µg/m³
PM2.5,2024-01-02,19:00 - 20:00,28,µg/m³
PM2.5,2024-01-02,20:00 - 21:00,38,µg/m³
PM2.5,2024-01-02,21:00 - 22:00,45,µg/m³
PM2.5,2024-01-02,22:00 - 23:00,33,µg/m³
PM2.5,2024-01-03,23:00 - 0:00,23,µg/m³
PM2.5,2024-01-03,0:00 - 1:00,18,µg/m³
PM2.5,2024-01-03,1:00 - 2:00,17,µg/m³
PM2.5,2024-01-03,2:00 - 3:00,13,µg/m³
PM2.5,2024-01-03,3:00 - 4:00,12,µg/m³
PM2.5,2024-01-03,4:00 - 5:00,11,µg/m³
PM2.5,2024-01-03,5:00 - 6:00,11,µg/m³
PM2.5,2024-01-03,6:00 - 7:00,11,µg/m³
PM2.5,2024-01-03,7:00 - 8:00,16,µg/m³
PM2.5,2024-01-03,9:00 - 10:00,27,µg/m³
PM2.5,2024-01-03,10:00 - 11:00,23,µg/m³
PM2.5,2024-01-03,11:00 - 12:00,27,µg/m³
PM2.5,2024-01-03,15:00 - 16:00,21,µg/m³
PM2.5,2024-01-03,16:00 - 17:00,20,µg/m³
PM2.5,2024-01-03,17:00 - 18:00,17,µg/m³
PM2.5,2024-01-03,18:00 - 19:00,14,µg/m³
PM2.5,2024-01-03,19:00 - 20:00,14,µg/m³
PM2.5,2024-01-03,20:00 - 21:00,11,µg/m³
PM2.5,2024-01-03,21:00 - 22:00,9,µg/m³
PM2.5,2024-01-03,22:00 - 23:00,8,µg/m³
PM2.5,2024-01-04,23:00 - 0:00,8,µg/m³
PM2.5,2024-01-04,0:00 - 1:00,8,µg/m³
PM2.5,2024-01-04,2:00 - 3:00,13,µg/m³
PM2.5,2024-01-04,3:00 - 4:00,15,µg/m³
PM2.5,2024-01-04,4:00 - 5:00,14,µg/m³
PM2.5,2024-01-04,5:00 - 6:00,15,µg/m³
PM2.5,2024-01-04,6:00 - 7:00,16,µg/m³
PM2.5,2024-01-04,7:00 - 8:00,18,µg/m³
PM2.5,2024-01-04,8:00 - 9:00,16,µg/m³
PM2.5,2024-01-04,9:00 - 10:00,14,µg/m³
PM2.5,2024-01-04,11:00 - 12:00,18,µg/m³
PM2.5,2024-01-04,12:00 - 13:00,14,µg/m³
PM2.5,2024-01-04,14:00 - 15:00,21,µg/m³
PM2.5,2024-01-04,15:00 - 16:00,15,µg/m³
PM2.5,2024-01-04,16:00 - 17:00,9,µg/m³
PM2.5,2024-01-04,17:00 - 18:00,8,µg/m³
PM2.5,2024-01-04,18:00 - 19:00,10,µg/m³
PM2.5,2024-01-04,19:00 - 20:00,12,µg/m³
PM2.5,2024-01-04,20:00 - 21:00,17,µg/m³
PM2.5,2024-01-04,21:00 - 22:00,25,µg/m³
PM2.5,2024-01-04,22:00 - 23:00,28,µg/m³
PM2.5,2024-01-05,23:00 - 0:00,28,µg/m³
PM2.5,2024-01-05,0:00 - 1:00,28,µg/m³
PM2.5,2024-01-05,1:00 - 2:00,30,µg/m³
PM2.5,2024-01-05,2:00 - 3:00,14,µg/m³
PM2.5,2024-01-05,3:00 - 4:00,10,µg/m³
PM2.5,2024-01-05,4:00 - 5:00,11,µg/m³
PM2.5,2024-01-05,5:00 - 6:00,14,µg/m³
PM2.5,2024-01-05,6:00 - 7:00,18,µg/m³
PM2.5,2024-01-05,7:00 - 8:00,17,µg/m³
PM2.5,2024-01-05,8:00 - 9:00,21,µg/m³
PM2.5,2024-01-05,9:00 - 10:00,21,µg/m³
PM2.5,2024-01-05,10:00 - 11:00,25,µg/m³
PM2.5,2024-01-05,11:00 - 12:00,20,µg/m³
PM2.5,2024-01-05,12:00 - 13:00,14,µg/m³
PM2.5,2024-01-05,13:00 - 14:00,17,µg/m³
PM2.5,2024-01-05,14:00 - 15:00,19,µg/m³
PM2.5,2024-01-05,15:00 - 16:00,16,µg/m³
PM2.5,2024-01-05,16:00 - 17:00,17,µg/m³
PM2.5,2024-01-05,17:00 - 18:00,20,µg/m³
PM2.5,2024-01-05,18:00 - 19:00,16,µg/m³
PM2.5,2024-01-05,19:00 - 20:00,11,µg/m³
PM2.5,2024-01-05,20:00 - 21:00,16,µg/m³
PM2.5,2024-01-05,21:00 - 22:00,14,µg/m³
PM2.5,2024-01-05,22:00 - 23:00,16,µg/m³
PM2.5,2024-01-06,23:00 - 0:00,17,µg/m³
PM2.5,2024-01-06,0:00 - 1:00,12,µg/m³
PM2.5,2024-01-06,1:00 - 2:00,14,µg/m³
PM2.5,2024-01-06,2:00 - 3:00,12,µg/m³
PM2.5,2024-01-06,3:00 - 4:00,15,µg/m³
PM2.5,2024-01-06,4:00 - 5:00,18,µg/m³
PM2.5,2024-01-06,5:00 - 6:00,20,µg/m³
PM2.5,2024-01-06,6:00 - 7:00,22,µg/m³
PM2.5,2024-01-06,7:00 - 8:00,23,µg/m³
PM2.5,2024-01-06,8:00 - 9:00,27,µg/m³
PM2.5,2024-01-06,9:00 - 10:00,33,µg/m³
PM2.5,2024-01-06,10:00 - 11:00,40,µg/m³
PM2.5,2024-01-06,11:00 - 12:00,32,µg/m³
