Parametro,Fecha,valor,Unidad
,,,
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,7,W/m2
RS,2024-01-01,55,W/m2
RS,2024-01-01,132,W/m2
RS,2024-01-01,200,W/m2
RS,2024-01-01,237,W/m2
RS,2024-01-01,306,W/m2
RS,2024-01-01,254,W/m2
RS,2024-01-01,272,W/m2
RS,2024-01-01,164,W/m2
RS,2024-01-01,71,W/m2
RS,2024-01-01,14,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-01,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,1,W/m2
RS,2024-01-02,15,W/m2
RS,2024-01-02,42,W/m2
RS,2024-01-02,27,W/m2
RS,2024-01-02,34,W/m2
RS,2024-01-02,39,W/m2
RS,2024-01-02,23,W/m2
RS,2024-01-02,113,W/m2
RS,2024-01-02,76,W/m2
RS,2024-01-02,35,W/m2
RS,2024-01-02,8,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-02,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,5,W/m2
RS,2024-01-03,79,W/m2
RS,2024-01-03,211,W/m2
RS,2024-01-03,305,W/m2
RS,2024-01-03,361,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,220,W/m2
RS,2024-01-03,98,W/m2
RS,2024-01-03,17,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-03,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,2,W/m2
RS,2024-01-04,11,W/m2
RS,2024-01-04,19,W/m2
RS,2024-01-04,33,W/m2
RS,2024-01-04,59,W/m2
RS,2024-01-04,68,W/m2
RS,2024-01-04,52,W/m2
RS,2024-01-04,64,W/m2
RS,2024-01-04,61,W/m2
RS,2024-01-04,35,W/m2
RS,2024-01-04,8,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-04,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,6,W/m2
RS,2024-01-05,77,W/m2
RS,2024-01-05,209,W/m2
RS,2024-01-05,302,W/m2
RS,2024-01-05,362,W/m2
RS,2024-01-05,387,W/m2
RS,2024-01-05,369,W/m2
RS,2024-01-05,319,W/m2
RS,2024-01-05,233,W/m2
RS,2024-01-05,127,W/m2
RS,2024-01-05,19,W/m2
RS,2024-01-05,1,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-05,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,8,W/m2
RS,2024-01-06,90,W/m2
RS,2024-01-06,216,W/m2
RS,2024-01-06,274,W/m2
RS,2024-01-06,357,W/m2
RS,2024-01-06,387,W/m2
RS,2024-01-06,341,W/m2
RS,2024-01-06,263,W/m2
RS,2024-01-06,162,W/m2
RS,2024-01-06,96,W/m2
RS,2024-01-06,26,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-06,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,4,W/m2
RS,2024-01-07,28,W/m2
RS,2024-01-07,92,W/m2
RS,2024-01-07,96,W/m2
RS,2024-01-07,128,W/m2
RS,2024-01-07,198,W/m2
RS,2024-01-07,57,W/m2
RS,2024-01-07,40,W/m2
RS,2024-01-07,37,W/m2
RS,2024-01-07,33,W/m2
RS,2024-01-07,5,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-07,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,6,W/m2
RS,2024-01-08,79,W/m2
RS,2024-01-08,219,W/m2
RS,2024-01-08,317,W/m2
RS,2024-01-08,380,W/m2
RS,2024-01-08,405,W/m2
RS,2024-01-08,391,W/m2
RS,2024-01-08,332,W/m2
RS,2024-01-08,221,W/m2
RS,2024-01-08,135,W/m2
RS,2024-01-08,25,W/m2
RS,2024-01-08,1,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-08,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,5,W/m2
RS,2024-01-09,73,W/m2
RS,2024-01-09,177,W/m2
RS,2024-01-09,299,W/m2
RS,2024-01-09,373,W/m2
RS,2024-01-09,380,W/m2
RS,2024-01-09,378,W/m2
RS,2024-01-09,345,W/m2
RS,2024-01-09,240,W/m2
RS,2024-01-09,131,W/m2
RS,2024-01-09,24,W/m2
RS,2024-01-09,1,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-09,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,8,W/m2
RS,2024-01-10,91,W/m2
RS,2024-01-10,204,W/m2
RS,2024-01-10,312,W/m2
RS,2024-01-10,393,W/m2
RS,2024-01-10,297,W/m2
RS,2024-01-10,319,W/m2
RS,2024-01-10,279,W/m2
RS,2024-01-10,166,W/m2
RS,2024-01-10,90,W/m2
RS,2024-01-10,24,W/m2
RS,2024-01-10,1,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-10,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,4,W/m2
RS,2024-01-11,100,W/m2
RS,2024-01-11,225,W/m2
RS,2024-01-11,329,W/m2
RS,2024-01-11,427,W/m2
RS,2024-01-11,460,W/m2
RS,2024-01-11,348,W/m2
RS,2024-01-11,274,W/m2
RS,2024-01-11,195,W/m2
RS,2024-01-11,123,W/m2
RS,2024-01-11,28,W/m2
RS,2024-01-11,1,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-11,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,0,W/m2
RS,2024-01-12,6,W/m2
RS,2024-01-16,171,W/m2
RS,2024-01-16,138,W/m2
RS,2024-01-16,78,W/m2
RS,2024-01-16,108,W/m2
RS,2024-01-16,99,W/m2
RS,2024-01-16,31,W/m2
RS,2024-01-16,1,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-16,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,4,W/m2
RS,2024-01-17,92,W/m2
RS,2024-01-17,215,W/m2
RS,2024-01-17,316,W/m2
RS,2024-01-17,369,W/m2
RS,2024-01-17,301,W/m2
RS,2024-01-17,314,W/m2
RS,2024-01-17,296,W/m2
RS,2024-01-17,199,W/m2
RS,2024-01-17,126,W/m2
RS,2024-01-17,33,W/m2
RS,2024-01-17,1,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-17,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,4,W/m2
RS,2024-01-18,48,W/m2
RS,2024-01-18,117,W/m2
RS,2024-01-18,214,W/m2
RS,2024-01-18,299,W/m2
RS,2024-01-18,327,W/m2
RS,2024-01-18,305,W/m2
RS,2024-01-18,262,W/m2
RS,2024-01-18,188,W/m2
RS,2024-01-18,100,W/m2
RS,2024-01-18,35,W/m2
RS,2024-01-18,1,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-18,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,8,W/m2
RS,2024-01-19,102,W/m2
RS,2024-01-19,216,W/m2
RS,2024-01-19,304,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,389,W/m2
RS,2024-01-19,342,W/m2
RS,2024-01-19,259,W/m2
RS,2024-01-19,147,W/m2
RS,2024-01-19,21,W/m2
RS,2024-01-19,1,W/m2
RS,2024-01-19,0,W/m2
RS,2024-01-19,0,W/m2
