Parametro,Fecha,valor,Unidad
,,,
TMP,2024-01-01,14.28,°C
TMP,2024-01-01,13.5,°C
TMP,2024-01-01,13.18,°C
TMP,2024-01-01,14.62,°C
TMP,2024-01-01,13.96,°C
TMP,2024-01-01,16.39,°C
TMP,2024-01-01,15.95,°C
TMP,2024-01-01,15.68,°C
TMP,2024-01-01,18.19,°C
TMP,2024-01-01,19.75,°C
TMP,2024-01-01,20.59,°C
TMP,2024-01-01,21.01,°C
TMP,2024-01-01,22.28,°C
TMP,2024-01-01,22.38,°C
TMP,2024-01-01,22.94,°C
TMP,2024-01-01,22.62,°C
TMP,2024-01-01,22.16,°C
TMP,2024-01-01,21.26,°C
TMP,2024-01-01,19.99,°C
TMP,2024-01-01,19.31,°C
TMP,2024-01-01,18.73,°C
TMP,2024-01-01,18.14,°C
TMP,2024-01-01,17.77,°C
TMP,2024-01-02,17.28,°C
TMP,2024-01-02,16.1,°C
TMP,2024-01-02,15.13,°C
TMP,2024-01-02,15.06,°C
TMP,2024-01-02,15.37,°C
TMP,2024-01-02,15.17,°C
TMP,2024-01-02,14.96,°C
TMP,2024-01-02,14.7,°C
TMP,2024-01-02,14.88,°C
TMP,2024-01-02,14.96,°C
TMP,2024-01-02,15.14,°C
TMP,2024-01-02,15.02,°C
TMP,2024-01-02,14.88,°C
TMP,2024-01-02,15.11,°C
TMP,2024-01-02,15.06,°C
TMP,2024-01-02,15.81,°C
TMP,2024-01-02,16.32,°C
TMP,2024-01-02,16.51,°C
TMP,2024-01-02,16.45,°C
TMP,2024-01-02,16.56,°C
TMP,2024-01-02,16.77,°C
TMP,2024-01-02,16.01,°C
TMP,2024-01-02,14.81,°C
TMP,2024-01-02,14.05,°C
TMP,2024-01-03,13.06,°C
TMP,2024-01-03,12.37,°C
TMP,2024-01-03,11.86,°C
TMP,2024-01-03,11.6,°C
TMP,2024-01-03,12.05,°C
TMP,2024-01-03,11.77,°C
TMP,2024-01-03,11.62,°C
TMP,2024-01-03,11.68,°C
TMP,2024-01-03,11.84,°C
TMP,2024-01-03,12.93,°C
TMP,2024-01-03,16,°C
TMP,2024-01-03,16.55,°C
TMP,2024-01-03,16.86,°C
TMP,2024-01-03,20.14,°C
TMP,2024-01-03,19.61,°C
TMP,2024-01-03,18.09,°C
TMP,2024-01-03,17.31,°C
TMP,2024-01-03,16.71,°C
TMP,2024-01-03,15.69,°C
TMP,2024-01-03,15.53,°C
TMP,2024-01-03,15.23,°C
TMP,2024-01-04,14.92,°C
TMP,2024-01-04,14.76,°C
TMP,2024-01-04,13.01,°C
TMP,2024-01-04,10.46,°C
TMP,2024-01-04,9.47,°C
TMP,2024-01-04,8.98,°C
TMP,2024-01-04,8.74,°C
TMP,2024-01-04,8.66,°C
TMP,2024-01-04,8.42,°C
TMP,2024-01-04,8.25,°C
TMP,2024-01-04,8.22,°C
TMP,2024-01-04,8.5,°C
TMP,2024-01-04,9.49,°C
TMP,2024-01-04,10.22,°C
TMP,2024-01-04,10.34,°C
TMP,2024-01-04,10.6,°C
TMP,2024-01-04,10.92,°C
TMP,2024-01-04,11.05,°C
TMP,2024-01-04,11.43,°C
TMP,2024-01-04,11.74,°C
TMP,2024-01-04,11.86,°C
TMP,2024-01-04,11.72,°C
TMP,2024-01-04,11.64,°C
TMP,2024-01-04,12.03,°C
TMP,2024-01-05,12.39,°C
TMP,2024-01-05,12.55,°C
TMP,2024-01-05,12.75,°C
TMP,2024-01-05,12.39,°C
TMP,2024-01-05,12,°C
TMP,2024-01-05,11.5,°C
TMP,2024-01-05,10.83,°C
TMP,2024-01-05,10.65,°C
TMP,2024-01-05,10.57,°C
TMP,2024-01-05,12.28,°C
TMP,2024-01-05,15.87,°C
TMP,2024-01-05,17.52,°C
TMP,2024-01-05,18.62,°C
TMP,2024-01-05,19.59,°C
TMP,2024-01-05,20.49,°C
TMP,2024-01-05,21.12,°C
TMP,2024-01-05,21.33,°C
TMP,2024-01-05,20.95,°C
TMP,2024-01-05,19.72,°C
TMP,2024-01-05,17.99,°C
TMP,2024-01-05,17.54,°C
TMP,2024-01-05,15.87,°C
TMP,2024-01-05,15.18,°C
TMP,2024-01-05,13.8,°C
TMP,2024-01-06,12.85,°C
TMP,2024-01-06,12.41,°C
TMP,2024-01-06,11.72,°C
TMP,2024-01-06,11.57,°C
TMP,2024-01-06,10.79,°C
TMP,2024-01-06,10.13,°C
TMP,2024-01-06,10.31,°C
TMP,2024-01-06,10.29,°C
TMP,2024-01-06,9.44,°C
TMP,2024-01-06,12.68,°C
TMP,2024-01-06,16.05,°C
TMP,2024-01-06,17.92,°C
TMP,2024-01-06,19.12,°C
TMP,2024-01-06,19.56,°C
TMP,2024-01-06,19.81,°C
TMP,2024-01-06,20.28,°C
TMP,2024-01-06,20.38,°C
TMP,2024-01-06,20.38,°C
TMP,2024-01-06,19.43,°C
TMP,2024-01-06,17.22,°C
TMP,2024-01-06,16.35,°C
TMP,2024-01-06,15.78,°C
TMP,2024-01-06,15.61,°C
TMP,2024-01-06,14.92,°C
TMP,2024-01-07,14.65,°C
TMP,2024-01-07,14.55,°C
TMP,2024-01-07,15.95,°C
TMP,2024-01-07,14.7,°C
TMP,2024-01-07,13.92,°C
TMP,2024-01-07,13.79,°C
TMP,2024-01-07,13.39,°C
TMP,2024-01-07,13.13,°C
TMP,2024-01-07,12.98,°C
TMP,2024-01-07,13.23,°C
TMP,2024-01-07,12.96,°C
TMP,2024-01-07,13.55,°C
TMP,2024-01-07,14.12,°C
TMP,2024-01-07,15.33,°C
TMP,2024-01-07,15.49,°C
TMP,2024-01-07,16,°C
TMP,2024-01-07,16.86,°C
TMP,2024-01-07,17.83,°C
TMP,2024-01-07,18.23,°C
TMP,2024-01-07,17.9,°C
TMP,2024-01-07,17.66,°C
TMP,2024-01-07,17.31,°C
TMP,2024-01-07,16.88,°C
TMP,2024-01-07,16.66,°C
TMP,2024-01-08,16.5,°C
TMP,2024-01-08,14.91,°C
TMP,2024-01-08,13.65,°C
TMP,2024-01-08,13.67,°C
TMP,2024-01-08,14.82,°C
TMP,2024-01-08,14.67,°C
TMP,2024-01-08,14.12,°C
TMP,2024-01-08,13.86,°C
TMP,2024-01-08,12.52,°C
TMP,2024-01-08,14.63,°C
TMP,2024-01-08,18.06,°C
TMP,2024-01-08,21.71,°C
TMP,2024-01-08,23.5,°C
TMP,2024-01-08,25.38,°C
TMP,2024-01-08,28.48,°C
TMP,2024-01-08,29.39,°C
TMP,2024-01-08,29.35,°C
TMP,2024-01-08,29.18,°C
TMP,2024-01-08,26.78,°C
TMP,2024-01-08,22.23,°C
TMP,2024-01-08,18.22,°C
TMP,2024-01-08,16.35,°C
TMP,2024-01-08,15.31,°C
TMP,2024-01-08,14.34,°C
TMP,2024-01-09,13.57,°C
TMP,2024-01-09,13.1,°C
TMP,2024-01-09,12.88,°C
