Parametro,Fecha,valor,Unidad
,,,
VV,2024-01-01,1.639,m/s
VV,2024-01-01,1.028,m/s
VV,2024-01-01,1.972,m/s
VV,2024-01-01,2.333,m/s
VV,2024-01-01,2.111,m/s
VV,2024-01-01,2.694,m/s
VV,2024-01-01,2.667,m/s
VV,2024-01-01,1.611,m/s
VV,2024-01-01,1.444,m/s
VV,2024-01-01,1.75,m/s
VV,2024-01-01,1.694,m/s
VV,2024-01-01,1.472,m/s
VV,2024-01-01,1.611,m/s
VV,2024-01-01,1.556,m/s
VV,2024-01-01,2.194,m/s
VV,2024-01-01,2.333,m/s
VV,2024-01-01,1.806,m/s
VV,2024-01-01,2.5,m/s
VV,2024-01-01,3.861,m/s
VV,2024-01-01,3.361,m/s
VV,2024-01-01,4.639,m/s
VV,2024-01-01,5.417,m/s
VV,2024-01-01,5.417,m/s
VV,2024-01-02,5.167,m/s
VV,2024-01-02,4.806,m/s
VV,2024-01-02,3.722,m/s
VV,2024-01-02,3,m/s
VV,2024-01-02,2.25,m/s
VV,2024-01-02,3.111,m/s
VV,2024-01-02,2.528,m/s
VV,2024-01-02,2.556,m/s
VV,2024-01-02,2.472,m/s
VV,2024-01-02,2.139,m/s
VV,2024-01-02,2.667,m/s
VV,2024-01-02,2.139,m/s
VV,2024-01-02,1.5,m/s
VV,2024-01-02,1.333,m/s
VV,2024-01-02,1.389,m/s
VV,2024-01-02,1.611,m/s
VV,2024-01-02,2.306,m/s
VV,2024-01-02,1.667,m/s
VV,2024-01-02,0.667,m/s
VV,2024-01-02,0.944,m/s
VV,2024-01-02,0.75,m/s
VV,2024-01-02,1.194,m/s
VV,2024-01-02,0.889,m/s
VV,2024-01-02,0.889,m/s
VV,2024-01-03,0.556,m/s
VV,2024-01-03,0.861,m/s
VV,2024-01-03,1.417,m/s
VV,2024-01-03,1.417,m/s
VV,2024-01-03,0.944,m/s
VV,2024-01-03,1.972,m/s
VV,2024-01-03,2.111,m/s
VV,2024-01-03,2,m/s
VV,2024-01-03,1.722,m/s
VV,2024-01-03,2.222,m/s
VV,2024-01-03,1.333,m/s
VV,2024-01-03,2.222,m/s
VV,2024-01-03,2.333,m/s
VV,2024-01-03,2.444,m/s
VV,2024-01-03,2.972,m/s
VV,2024-01-03,4.778,m/s
VV,2024-01-03,5,m/s
VV,2024-01-03,4.694,m/s
VV,2024-01-03,4.75,m/s
VV,2024-01-03,5.444,m/s
VV,2024-01-03,4.861,m/s
VV,2024-01-04,4.306,m/s
VV,2024-01-04,4.278,m/s
VV,2024-01-04,5.861,m/s
VV,2024-01-04,5.361,m/s
VV,2024-01-04,5.806,m/s
VV,2024-01-04,4.75,m/s
VV,2024-01-04,3.889,m/s
VV,2024-01-04,3.444,m/s
VV,2024-01-04,3.167,m/s
VV,2024-01-04,3.361,m/s
VV,2024-01-04,3.389,m/s
VV,2024-01-04,3.194,m/s
VV,2024-01-04,3.278,m/s
VV,2024-01-04,3.111,m/s
VV,2024-01-04,3.028,m/s
VV,2024-01-04,2.972,m/s
VV,2024-01-04,3.611,m/s
VV,2024-01-04,2.972,m/s
VV,2024-01-04,2.444,m/s
VV,2024-01-04,1.056,m/s
VV,2024-01-04,0.778,m/s
VV,2024-01-04,1.028,m/s
VV,2024-01-04,0.917,m/s
VV,2024-01-04,1.917,m/s
VV,2024-01-05,2.472,m/s
VV,2024-01-05,2.028,m/s
VV,2024-01-05,1.694,m/s
VV,2024-01-05,1.167,m/s
VV,2024-01-05,1.278,m/s
VV,2024-01-05,1.389,m/s
VV,2024-01-05,1.278,m/s
VV,2024-01-05,1.556,m/s
VV,2024-01-05,1.528,m/s
VV,2024-01-05,2.333,m/s
VV,2024-01-05,2.778,m/s
VV,2024-01-05,2.444,m/s
VV,2024-01-05,2.306,m/s
VV,2024-01-05,2.028,m/s
VV,2024-01-05,2.139,m/s
VV,2024-01-05,2.278,m/s
VV,2024-01-05,2.833,m/s
VV,2024-01-05,2.889,m/s
VV,2024-01-05,2.333,m/s
VV,2024-01-05,3.667,m/s
VV,2024-01-05,2.639,m/s
VV,2024-01-05,1.639,m/s
VV,2024-01-05,1.556,m/s
VV,2024-01-05,0.972,m/s
VV,2024-01-06,1.056,m/s
VV,2024-01-06,1.028,m/s
VV,2024-01-06,1.056,m/s
VV,2024-01-06,1.083,m/s
VV,2024-01-06,1.083,m/s
VV,2024-01-06,1.194,m/s
VV,2024-01-06,1.028,m/s
VV,2024-01-06,1.167,m/s
VV,2024-01-06,0.889,m/s
VV,2024-01-06,2.167,m/s
VV,2024-01-06,1.611,m/s
VV,2024-01-06,1.611,m/s
